dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.48442503809928894,5.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.49308276176452637,7.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.4054851233959198,8.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.43450766801834106,10.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.46504122018814087,12.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.45650836229324343,12.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.03248765490074783,12.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.7528314590454102,25.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.7870263457298279,31.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7563788294792175,38.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7645768523216248,48.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7533489465713501,57.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.7628324866294861,57.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.012806196978182338,57.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8515084981918335,21.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9050589799880981,31.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8745390772819519,36.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8319274187088013,44.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8833774924278259,53.4
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8692822933197022,53.4
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.025367594189972285,53.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9230519480519481,16.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,16.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9389081987323656,18.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,18.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9422727272727273,19.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,19.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9549691358024691,20.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,20.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9313123307575458,22.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,22.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9381028681234111,22.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.010725193339527931,22.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,22.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,22.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8472550564749146,10.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,10.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8176629213483146,12.8
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,12.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7773712737127372,14.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,14.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8327386458746311,15.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,15.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8197971781305113,17.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,17.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8189650151082217,17.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.023334380693510053,17.2
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,1.0,17.2
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.0,17.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.6843063737573433,56.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.2864583333333333,56.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.8012217274563785,64.9
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.4895833333333333,64.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7920855189514352,72.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.5208333333333334,72.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7742453498125452,78.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.46875,78.0
