dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.47500020265579224,2.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.4325079917907715,4.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.4790402054786682,5.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.4550943672657013,5.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.4001895785331726,6.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.399221807718277,7.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.3713717758655548,9.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.3783569931983948,9.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.4094577133655548,10.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.3942864239215851,12.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.39223265647888184,13.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.38766857981681824,13.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.36896198987960815,14.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.35869157314300537,16.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.35271504521369934,18.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.3520919978618622,18.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.45859721302986145,19.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.46984797716140747,21.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.4677252173423767,22.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.4582686126232147,22.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4062961101531982,22.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.042774001080451984,22.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8386520743370056,12.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8499866724014282,22.3
