dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6099492907524109,3.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5989946722984314,4.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.588868260383606,5.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5729782581329346,6.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.6603479981422424,6.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.606227695941925,6.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.02967170074913742,6.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.7956387996673584,19.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8196035623550415,22.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.752187967300415,26.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7664504051208496,28.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7664359211921692,30.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.7800633311271667,30.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.024306703068347278,30.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.9016920924186707,16.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9542630910873413,21.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9253624081611633,25.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.9011311531066895,29.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8876821994781494,32.4
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9140261888504029,32.4
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.023494407111271903,32.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9421428571428572,13.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,13.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.8938867307299121,14.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,14.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9404870129870131,15.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,15.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9391358024691356,16.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,16.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9213063866323228,17.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,17.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9273917579922483,17.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.01836639216962443,17.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,17.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,17.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8216443393748358,7.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,7.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8138426966292134,8.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,8.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7738934056007226,9.1
