dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.5481062531471252,3.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.5198349356651306,4.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.5695919394493103,6.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5372380018234253,6.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.672731876373291,7.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.6898223757743835,9.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.6652244925498962,9.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6613401174545288,9.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.6154261231422424,10.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.6238664388656616,11.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.6121938228607178,13.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.6034042239189148,13.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.6928867697715759,14.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.6740173697471619,15.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.6709401607513428,17.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6689043641090393,17.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.7401365041732788,17.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.7289899587631226,19.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.7036698460578918,21.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.7163923978805542,21.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6374558210372925,21.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.06163371836050419,21.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.889377772808075,14.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8955307006835938,21.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8879007697105408,32.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8854852914810181,32.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9369688630104065,43.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9519855976104736,50.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9431887865066528,65.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9399240016937256,65.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.9022333025932312,76.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.9173946380615234,84.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.9185664653778076,93.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9069107174873352,93.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8906626105308533,101.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8904421925544739,109.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8839552998542786,116.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8821737170219421,116.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.8900306224822998,123.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.8937970399856567,135.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.8880850076675415,145.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8833886384963989,145.5
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.899576473236084,145.5
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.022114147110118082,145.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9113311688311687,5.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,5.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9150974025974026,7.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,7.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9142532467532467,8.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,8.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9154545454545453,8.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,8.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.8932733592312411,9.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,9.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.8996933142506646,10.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,10.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.8772439173993049,12.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,12.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.8929053363320385,12.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,12.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9328896103896104,13.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,13.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9362662337662339,15.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,15.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.937012987012987,16.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,16.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9377272727272727,16.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,16.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.9482716049382716,17.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,17.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9483641975308642,19.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,19.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.9397839506172839,20.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,20.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9487962962962964,20.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,20.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1469,0.8934350439204808,21.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1469,1.0,21.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1469,0.8946568918829667,22.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1469,1.0,22.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1469,0.9011293837923519,23.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1469,1.0,23.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.897331748233274,23.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,23.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9184430398086854,23.5
