dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5231167674064636,3.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.42794370651245117,4.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.37502145767211914,5.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.40604227781295776,7.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.40759533643722534,8.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.42794390916824343,8.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.050502286454863446,8.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.6687562465667725,22.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.6579719185829163,26.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.656752347946167,31.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.6621738076210022,36.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.5995689630508423,40.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.6490446567535401,40.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.025091313836146618,40.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8468828201293945,16.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9000375270843506,22.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.851614236831665,29.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8155603408813477,35.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8551134467124939,39.4
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8538416743278503,39.4
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.02703524306121806,39.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9380194805194805,13.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,13.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.946105090983439,14.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,14.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9477597402597403,16.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,16.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9427777777777778,17.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,17.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9451819562776567,18.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,18.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9439688091636189,18.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.003382887866529324,18.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,18.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,18.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8593380614657211,7.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,7.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8377078651685395,8.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,8.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.8009485094850949,9.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.75,9.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8641029029558169,10.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.5,10.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8483245149911817,11.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,11.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8420843708132709,11.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.02250670072255455,11.5
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.85,11.5
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.2,11.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.6782998146721596,44.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.22395833333333334,44.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.8007318685736683,49.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.53125,49.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.8041986752289464,53.9
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.546875,53.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7895745798002421,58.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.578125,58.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.7913688308762015,62.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.5833333333333334,62.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7728347538302436,62.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.04758683238793226,62.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.4927083333333334,62.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.13576078072600103,62.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.7440709145824954,237.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.5662650602409639,237.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.7331437975505772,266.8
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.5421686746987951,266.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.82665273556231,297.5
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.7951807228915663,297.5
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.7317198805317181,317.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.6746987951807228,317.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.8003498225491446,343.1
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29607,0.7469879518072289,343.1
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41120,0.767187430155249,343.1
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41120,0.03895421955548999,343.1
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41120,0.6650602409638554,343.1
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41120,0.09858926527941582,343.1
