dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.6493577361106873,2.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.6574475169181824,4.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.6141565442085266,5.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6355583071708679,5.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.49396270513534546,6.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.5588803291320801,7.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.5375686287879944,8.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5199742317199707,8.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.4351532757282257,9.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.40311357378959656,10.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.41458192467689514,12.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.4103906452655792,12.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.4360434114933014,13.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.4630190134048462,14.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.4482877254486084,16.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.4351371228694916,16.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.4214329123497009,17.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.4388056993484497,19.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.4329080879688263,20.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.4234703481197357,20.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.48490613102912905,20.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.08453368213412508,20.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8627803325653076,9.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8691242933273315,13.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8554774522781372,17.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8543478846549988,17.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9095198512077332,24.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9144861102104187,28.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9125066995620728,36.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9055711627006531,36.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8780488967895508,43.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8561182618141174,50.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8696972727775574,57.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.858730137348175,57.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8299536108970642,63.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8404707312583923,69.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8300400376319885,74.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8289217352867126,74.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.8719724416732788,79.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.8823598027229309,87.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.8808485865592957,97.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8699009418487549,97.8
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8634943723678589,97.8
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.024952450079190225,97.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9404545454545453,6.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,6.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9394805194805195,7.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,7.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9358441558441559,9.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,9.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9403896103896104,9.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,9.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9448783479860968,11.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,11.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9459824166837048,13.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,13.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9296258433858107,14.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,14.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9423021876916785,14.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,14.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9537662337662337,15.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,15.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9561688311688312,17.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,17.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9535389610389612,18.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,18.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9550649350649351,18.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,18.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.9510185185185186,19.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,19.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9506790123456791,20.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,20.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.947932098765432,21.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,21.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9504320987654321,21.3
