dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6450968384742737,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.7748007774353027,5.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.5722194314002991,6.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5595492720603943,8.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.5514795184135437,10.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6206291675567627,10.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.08393269014857603,10.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8372167944908142,24.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.9969152212142944,32.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8717102408409119,38.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8562081456184387,41.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8477931022644043,49.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8819687008857727,49.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.058570042535276756,49.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8546969294548035,17.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8963305354118347,23.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8527721166610718,29.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8385562896728516,33.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8671554923057556,39.6
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8619022727012634,39.6
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.019458742167270646,39.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9337662337662337,14.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,14.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.8830096094868126,15.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,15.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9308766233766234,17.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,17.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9328086419753086,18.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,18.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9151311009840829,22.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,22.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9191184419178121,22.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.019287202400136143,22.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,22.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,22.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.7853077663952367,8.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,8.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7122696629213482,10.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,10.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.6657181571815719,10.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.0,10.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.7447249019866966,11.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.25,11.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7729717813051147,14.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,14.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.7361984539579935,14.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.04330533861405861,14.6
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.65,14.6
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.43588989435406733,14.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.5667469336321552,44.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.08854166666666667,44.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.7573944580477358,48.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.3229166666666667,48.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7236619493786649,54.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.4583333333333333,54.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7303033943009932,58.6
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.3697916666666667,58.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.737902879320215,62.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.3333333333333333,62.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7032019229359527,62.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.06915786835047824,62.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.3145833333333333,62.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.12266039669211358,62.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.6915112985890666,237.0
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.3253012048192771,237.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.6567419719962093,269.1
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.3614457831325301,269.1
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.7340162972298415,296.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.5421686746987951,296.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.6593450277637556,328.9
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.5662650602409639,328.9
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.7322721271791954,381.7
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29607,0.4819277108433735,381.7
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41120,0.6947773445516136,381.7
