dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.44747641682624817,5.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5354170799255371,6.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.5155442953109741,8.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6129730343818665,10.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.591985285282135,10.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.5406792223453522,10.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.05865990966468637,10.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8613970279693604,27.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8886698484420776,34.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8254767060279846,41.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8372822999954224,46.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8036381602287292,54.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8432928085327148,54.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.029369607984427795,54.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8806542158126831,21.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9247927665710449,27.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9007149934768677,34.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.877213180065155,41.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8811988830566406,47.8
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8929148077964782,47.8
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.017950895654519437,47.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9272077922077923,17.4
