dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.5460212826728821,4.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.5614416599273682,6.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.6008567810058594,9.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5630089640617371,9.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.6156585812568665,12.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.6351315975189209,13.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.6503704190254211,15.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6251749992370605,15.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.6364376544952393,16.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.5868760347366333,19.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.6233038306236267,21.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.6045871376991272,21.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.6261962652206421,22.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.5868873000144958,24.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.5743905901908875,25.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5782192349433899,25.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.6612847447395325,27.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.6839843988418579,29.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.6665607690811157,32.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.6655263304710388,32.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6073033332824707,32.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.03612358643578854,32.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.9086348414421082,9.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.9154941439628601,12.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.908139705657959,15.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.9069716334342957,15.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9204286336898804,29.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9362014532089233,39.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9273732900619507,51.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9246519207954407,51.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.904629111289978,58.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.9351558089256287,62.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.900991678237915,72.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9070313572883606,72.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8827700018882751,85.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8782858848571777,124.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8831639289855957,131.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8772745132446289,131.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.9584658741950989,142.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.9724491834640503,156.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.9753453135490417,166.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9648120403289795,166.3
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9161482930183411,166.3
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.02870181994162129,166.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9185714285714286,7.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,7.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9074025974025974,10.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,10.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9204545454545454,12.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,12.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9191233766233765,12.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,12.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9102433040278063,14.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,14.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9082396237988141,17.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,17.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9219382539358005,21.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,21.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.916295236148027,21.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,21.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9400974025974026,25.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,25.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9421103896103896,27.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,27.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9395129870129871,29.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,29.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9423701298701299,29.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,29.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.924537037037037,32.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,32.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9307407407407408,34.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,34.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.9096296296296297,37.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,37.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9276851851851853,37.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,37.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1469,0.9045637672544746,38.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1469,1.0,38.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1469,0.9235519450498645,40.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1469,1.0,40.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1469,0.9225282345948087,42.4
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1469,1.0,42.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9194901261475464,42.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,42.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9249928107948531,42.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.009482591403828488,42.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,42.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,42.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1089,0.8040889589352946,5.4
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1089,1.0,5.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1089,0.7940635671132125,8.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1089,1.0,8.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1089,0.7740127834690482,9.5
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1089,1.0,9.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.7953769372209087,9.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,9.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1089,0.7544269662921348,10.7
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1089,0.75,10.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1089,0.7794606741573034,12.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1089,0.75,12.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1089,0.7700224719101124,13.7
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1089,0.5,13.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7713258426966293,13.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.5,13.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1089,0.674706413730804,16.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1089,1.0,16.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1089,0.7158536585365853,18.6
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1089,0.75,18.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1089,0.7256549232158988,22.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1089,1.0,22.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7082655826558266,22.8
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.75,22.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1090,0.7506277256508523,25.0
