dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.4793485701084137,4.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5306735038757324,6.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.44068410992622375,7.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.4762943387031555,9.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.456173300743103,10.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4766347646713257,10.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.030459110450830752,10.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.7275233268737793,26.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.818324863910675,32.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7397760152816772,37.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7663686275482178,40.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7204962968826294,45.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.7544978260993958,45.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.0355394597429503,45.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8531010150909424,21.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9086060523986816,24.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8527486324310303,29.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8300875425338745,33.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8410778045654297,37.3
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8571242094039917,37.3
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.027107860071003343,37.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.931948051948052,15.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,15.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9313432835820895,16.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,16.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.948116883116883,17.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,17.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9558333333333335,18.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,18.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9305858265636352,19.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,19.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9395654757087988,19.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.01043104450417808,19.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,19.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,19.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8422642500656684,8.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.5,8.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8120898876404494,10.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.5,10.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.798509485094851,11.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.75,11.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8681555878595657,13.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,13.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7337301587301588,13.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,13.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8109498738781387,13.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.04554565002309601,13.9
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.75,13.9
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.22360679774997896,13.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.6899529172385438,51.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.28125,51.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.7924543444488855,57.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.421875,57.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7903496583840975,63.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.5104166666666666,63.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7779797166136645,68.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.3958333333333333,68.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.7950187763572342,73.9
