dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.437331885099411,3.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.45138052105903625,4.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.4435027837753296,5.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.43887388706207275,5.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.5693612098693848,6.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.541214644908905,6.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.553398609161377,7.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5452319383621216,7.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.4487835168838501,8.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.4065634608268738,9.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.39724257588386536,12.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.4069111943244934,12.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.43528100848197937,13.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.4409918785095215,15.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.4782488942146301,17.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.4429527521133423,17.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.48947376012802124,18.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.4940260946750641,19.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.49026721715927124,21.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.48572197556495667,21.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.46393834948539736,21.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.047757497750635945,21.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8304291367530823,11.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8490583300590515,14.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8463897705078125,18.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8345828652381897,18.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.8988605737686157,21.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.8945906162261963,25.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.8893863558769226,30.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8876562714576721,30.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8637130260467529,35.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8593834042549133,41.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8567561507225037,45.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8541246056556702,45.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8284220099449158,51.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8387044668197632,59.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8609106540679932,67.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8327906131744385,67.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.8731470704078674,74.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.8698194622993469,77.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.8693786263465881,85.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.85800701379776,85.2
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8534322738647461,85.2
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.019869916666301005,85.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9297727272727273,6.4
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,6.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9289285714285714,8.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,8.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9262012987012987,9.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,9.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9302597402597402,9.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,9.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9299938662850133,11.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,11.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9290533633203844,12.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,12.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9323246779799631,14.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,14.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9324064608464526,14.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,14.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9415909090909091,15.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,15.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9482142857142857,16.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,16.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9487337662337663,18.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,18.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9488961038961039,18.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,18.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.9494444444444444,19.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,19.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.950925925925926,21.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,21.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.942746913580247,23.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,23.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9508333333333333,23.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,23.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1469,0.9261937784822666,24.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1469,1.0,24.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1469,0.935176012152434,25.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1469,1.0,25.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1469,0.9355392642493892,26.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1469,1.0,26.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9343174162869032,26.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,26.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9393426109245067,26.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.008708240097735371,26.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,26.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,26.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1089,0.8035636108922161,6.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1089,0.75,6.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1089,0.8114876105419842,8.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1089,0.75,8.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1089,0.7944137991419314,9.7
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1089,1.0,9.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8092548813589002,9.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.75,9.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1089,0.7904719101123596,12.4
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1089,0.75,12.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1089,0.8035505617977529,13.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1089,0.75,13.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1089,0.7490337078651685,15.4
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1089,0.75,15.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.794696629213483,15.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,15.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1089,0.7717253839205058,16.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1089,0.75,16.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1089,0.7568654019873533,17.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1089,0.5,17.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1089,0.766576332429991,17.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1089,0.5,17.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7680216802168021,17.8
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.5,17.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1090,0.8532663759305757,19.4
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1090,0.75,19.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1090,0.8395665389189904,20.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1090,0.75,20.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1090,0.8660851944848245,21.5
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1090,1.0,21.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8630456808070129,21.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.75,21.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1090,0.8287477954144621,23.5
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1090,0.75,23.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1090,0.8125661375661376,25.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1090,1.0,25.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1090,0.8157407407407407,27.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1090,1.0,27.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8254409171075837,27.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,27.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8120919577407564,27.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.031709028457196795,27.3
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.75,27.3
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.15811388300841897,27.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,5638,0.6872918719465657,21.5
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,5638,0.24479166666666666,21.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,5638,0.6855948079627749,27.7
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,5638,0.22916666666666666,27.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,5638,0.6739803791318444,32.8
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,5638,0.22395833333333334,32.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5638,0.6853651045698724,32.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5638,0.234375,32.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,5639,0.7901782522112231,38.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,5639,0.4791666666666667,38.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,5639,0.7951729921679682,44.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,5639,0.4479166666666667,44.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,5639,0.7936689943900391,51.2
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,5639,0.4375,51.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5639,0.7970426647559318,51.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5639,0.46875,51.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,5639,0.7852100568978865,60.3
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,5639,0.5416666666666666,60.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,5639,0.7808548430575813,67.1
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,5639,0.53125,67.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,5639,0.7773251752782665,71.7
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,5639,0.5208333333333334,71.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5639,0.7867126123546901,71.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5639,0.5520833333333334,71.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,5639,0.7791308184818542,78.6
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,5639,0.484375,78.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,5639,0.7809703653073795,88.8
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,5639,0.5104166666666666,88.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,5639,0.7774355288007833,97.3
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,5639,0.5104166666666666,97.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5639,0.7852232322644758,97.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5639,0.5416666666666666,97.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,5639,0.770925257968733,109.7
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,5639,0.4375,109.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,5639,0.7730759248270257,119.1
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,5639,0.4166666666666667,119.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,5639,0.7784177689115371,124.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,5639,0.3697916666666667,124.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5639,0.779565416228818,124.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5639,0.4166666666666667,124.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7831,0.7667818060347577,124.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7831,0.04109779259159203,124.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7831,0.4427083333333333,124.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7831,0.11533842113055341,124.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,29611,0.7438171410348751,142.4
HIV,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,29611,0.46987951807228917,142.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,29611,0.7572605010721816,191.2
