dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6576110124588013,5.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6736457943916321,6.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.6427397727966309,8.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6310395002365112,11.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.6162112951278687,12.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6442494750022888,12.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.020027962660114248,12.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8577122092247009,27.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8976576924324036,34.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8303520679473877,41.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8209370970726013,49.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8353793621063232,54.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8484076857566833,54.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.02743178123560072,54.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.92531418800354,17.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.977032482624054,29.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9219063520431519,41.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8994194269180298,53.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9336942434310913,63.0
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9314733386039734,63.0
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.025445957024398152,63.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9407142857142858,15.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,15.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9013698630136986,18.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,18.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9472727272727273,21.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,21.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.936820987654321,25.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,25.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.8989828941285252,28.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,28.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9250321515567116,28.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.020581627283113507,28.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,28.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,28.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.768671745031083,11.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.75,11.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.6879101123595506,12.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,12.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.65903342366757,14.8
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.5,14.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.7786881635170256,16.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,16.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7814814814814814,19.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,19.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.7351569852113421,19.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.05136384950822923,19.9
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.8,19.9
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.18708286933869706,19.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.7028251816157964,54.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.328125,54.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.7811940674879537,64.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.3854166666666667,64.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7636354620850554,74.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.4114583333333333,74.3
