dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.6145074963569641,3.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.6282982230186462,6.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.6540886759757996,7.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6296025514602661,7.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.6843500137329102,9.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.659328043460846,11.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.5995086431503296,14.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6372771859169006,14.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.6259928345680237,15.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.6005526781082153,17.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.5740659832954407,20.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.5882495641708374,20.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.6012221574783325,21.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.5500785112380981,24.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.5857459306716919,26.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5688846111297607,26.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.6618603467941284,28.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.6499264240264893,31.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.6021125912666321,34.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.6301261782646179,34.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6108280181884765,34.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.027179023297182688,34.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.9128763675689697,11.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.9087119102478027,15.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.89203941822052,24.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.9020630717277527,24.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9390320181846619,38.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.975899338722229,44.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9601392149925232,50.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9531006813049316,50.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.9025456309318542,65.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.9169105887413025,74.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.9044055342674255,90.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.90496826171875,90.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8797928690910339,102.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.9169029593467712,107.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8707376718521118,124.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8810116052627563,124.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.9008086919784546,141.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.9019785523414612,154.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.9085001349449158,172.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8996753096580505,172.5
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9081637859344482,172.5
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.023983535181894385,172.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9222727272727274,7.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,7.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9307792207792208,11.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,11.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9383441558441558,14.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,14.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9342857142857142,14.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,14.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.8802289920261704,17.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,17.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.8744224085054181,22.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,22.0
