dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.44594383239746094,2.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.48959100246429443,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.4815388321876526,5.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.4655531346797943,5.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.4519859850406647,6.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.44310176372528076,7.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.46064743399620056,8.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.44616013765335083,8.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.40834909677505493,9.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.44593095779418945,10.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.4421171247959137,11.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.42057180404663086,11.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.43584683537483215,11.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.434501051902771,12.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.4383973181247711,13.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.42486411333084106,13.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.4140905439853668,15.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.4068629741668701,16.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.39774632453918457,18.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.3985520899295807,18.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.43114025592803956,18.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.02290377163367835,18.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,3024,0.7339946031570435,13.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,3024,0.7363027334213257,17.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,3024,0.7440664768218994,22.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.7257521152496338,22.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,3024,0.7974914908409119,26.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,3024,0.7885215878486633,30.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,3024,0.7982968688011169,35.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.7794421911239624,35.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,3024,0.6871522665023804,40.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,3024,0.6890663504600525,43.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,3024,0.6784064769744873,47.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.6695886850357056,47.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,3024,0.681799054145813,51.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,3024,0.6973123550415039,54.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,3024,0.6965961456298828,56.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.6746271252632141,56.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,3024,0.6561017632484436,62.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,3024,0.655531108379364,66.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,3024,0.6787027716636658,71.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.6462807059288025,71.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.6991381645202637,71.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.04780149113617665,71.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8444879055023193,8.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8816941380500793,15.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8738309144973755,17.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8349317312240601,17.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.8833980560302734,21.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.887810468673706,24.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.8804884552955627,27.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8745672106742859,27.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8633500933647156,30.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.855909526348114,34.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8703051805496216,37.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8536584377288818,37.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8451592922210693,41.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.847618043422699,44.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8570345640182495,49.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8380916714668274,49.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.9051389098167419,52.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.9301173686981201,55.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.928158164024353,61.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9074298739433289,61.6
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8617357850074768,61.6
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.026815444026630803,61.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9588311688311689,5.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,5.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9611363636363637,6.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,6.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9578571428571429,6.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,6.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9605194805194806,6.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,6.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9403802903291759,7.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,7.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9402167245961971,8.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,8.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9442649764874258,9.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,9.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9428746677571048,9.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,9.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9624675324675324,10.4
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,10.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9601623376623376,11.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,11.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9589935064935065,12.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,12.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9613311688311688,12.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,12.1
