dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.955974025974026,5.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,5.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.952435064935065,6.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,6.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9528896103896104,6.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,6.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9553571428571428,6.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,6.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9389490901656103,7.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,7.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9415661418932731,9.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,9.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9385401758331628,10.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,10.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.940707421795134,10.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,10.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9623701298701298,11.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,11.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.963116883116883,12.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,12.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9625974025974028,13.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,13.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9639610389610388,13.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,13.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.9535493827160492,14.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,14.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9554938271604938,14.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,14.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.9516666666666668,15.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,15.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9545370370370372,15.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,15.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1469,0.9487814543293046,16.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1469,1.0,16.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1469,0.9433987187107852,17.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1469,1.0,17.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1469,0.9409550227858132,17.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1469,1.0,17.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9465028729938578,17.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,17.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9522131027288422,17.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.0079785597959472,17.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,17.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,17.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1089,0.8559670781893003,4.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1089,1.0,4.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1089,0.8594256194729007,5.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1089,1.0,5.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1089,0.8727782155678135,6.0
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1089,1.0,6.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8678311881621575,6.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,6.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1089,0.8361797752808988,6.7
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1089,1.0,6.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1089,0.8340224719101124,7.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1089,1.0,7.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1089,0.846561797752809,8.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1089,1.0,8.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8443146067415731,8.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,8.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1089,0.829223125564589,8.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1089,1.0,8.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1089,0.8032971996386632,9.6
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1089,1.0,9.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1089,0.8092592592592592,10.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1089,1.0,10.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.818654019873532,10.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,10.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1090,0.8641029029558169,10.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1090,1.0,10.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1090,0.870754592308709,11.6
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1090,1.0,11.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1090,0.868640148011101,12.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1090,1.0,12.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.872296374609048,12.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,12.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1090,0.8099647266313935,12.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1090,1.0,12.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1090,0.8511022927689594,13.4
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1090,1.0,13.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1090,0.8209435626102293,14.0
