dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9599025974025974,5.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,5.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9619155844155844,6.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,6.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9621753246753244,7.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,7.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.961590909090909,7.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,7.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9262727458597424,8.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,8.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.948885708444081,9.4
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,9.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9412799018605602,10.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,10.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9431200163565734,10.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,10.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9546753246753248,11.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,11.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9537012987012988,12.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,12.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9559415584415584,13.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,13.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9552597402597404,13.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,13.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.941820987654321,13.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,13.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9441666666666666,14.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,14.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.942222222222222,15.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,15.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9435185185185184,15.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,15.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1469,0.9538009378508686,16.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1469,1.0,16.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1469,0.9480879730532992,17.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1469,1.0,17.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1469,0.9521497919556172,18.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1469,1.0,18.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9537348920150585,18.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,18.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9514448152481598,18.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.0071396047669297,18.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,18.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,18.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1089,0.836266526573855,4.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1089,1.0,4.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1089,0.8164346379476404,6.0
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1089,1.0,6.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1089,0.8383241397425795,7.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1089,1.0,7.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8344278084230803,7.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,7.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1089,0.8160000000000001,8.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1089,0.75,8.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1089,0.7874606741573034,8.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1089,0.25,8.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1089,0.826067415730337,9.6
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1089,0.75,9.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8224719101123596,9.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,9.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1089,0.7525293586269197,10.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1089,0.5,10.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1089,0.7887082204155375,10.7
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1089,0.75,10.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1089,0.7899277326106594,11.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1089,1.0,11.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7849141824751581,11.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.75,11.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1090,0.8685960970882339,12.4
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1090,0.75,12.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1090,0.8709307960001761,13.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1090,0.75,13.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1090,0.8471432976520858,14.6
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1090,0.5,14.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8710188978459098,14.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.5,14.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1090,0.8772486772486772,15.4
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1090,1.0,15.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1090,0.8857142857142857,16.3
