scheme,family,task,metric,arm,point,is_leader,leader,ci_lo,ci_hi,vl_delta,vl_ci_lo,vl_ci_hi,vl_boot_p,bf_boot_p,bf_ci_lo,be_boot_p,be_ci_lo,vl_boot_q,bf_boot_q,be_boot_q,cobest,beats_frozen,beats_e2e
cv,full,ESOL,rmse,ecfp4,1.4517634391784668,False,chemeleon_e2e,,,-0.7812008641686801,-0.9923205741932107,-0.5050946554514899,0.0,0.606,-0.3700003299768475,0.706,-0.3918596334222559,0.0,0.68175,0.7720481927710843,False,False,False
cv,full,ESOL,rmse,fp_desc,0.7203675150871277,False,chemeleon_e2e,,,0.0025019152392475874,-0.042728523462328735,0.040984053413316165,0.93,0.0,0.5478045019376768,0.0,0.549026480989742,0.93,0.0,0.0,True,True,True
cv,full,ESOL,rmse,chemeleon_e2e,0.7164737502733867,True,chemeleon_e2e,,,,,,,0.0,0.5422259423715876,0.0,0.5588440192722618,,0.0,0.0,True,True,True
cv,full,ESOL,rmse,no_pretrain,1.3758066018422446,False,chemeleon_e2e,,,-0.6435158317229095,-0.7569877904424709,-0.5422259423715876,0.0,,,0.972,-0.08898527717514387,0.0,,0.9829213483146068,False,False,False
cv,full,ESOL,rmse,no_pretrain_e2e,1.3715126940884115,False,chemeleon_e2e,,,-0.6441571921470445,-0.763159716251216,-0.5588439260094007,0.0,0.972,-0.11205296899700155,,,0.0,0.9720000000000001,,False,False,False
cv,full,ESOL,rmse,unsup_only,1.0258397181828818,False,chemeleon_e2e,,,-0.2980465644758252,-0.3728735383818009,-0.19804172575709697,0.0,0.0,0.2531206043427796,0.0,0.2218363373083831,0.0,0.0,0.0,False,True,True
cv,full,ESOL,rmse,sup_only:dense,0.89144735733668,False,chemeleon_e2e,,,-0.1880477293755798,-0.27362426465379686,-0.06692694527044724,0.0,0.0,0.3324591658046239,0.0,0.3150552702394015,0.0,0.0,0.0,False,True,True
cv,full,ESOL,rmse,unsup2sup:dense,0.9512623151143392,False,chemeleon_e2e,,,-0.20899315704782528,-0.25784783022429797,-0.13823965287932516,0.0,0.0,0.3334130173534278,0.0,0.3248446765753277,0.0,0.0,0.0,False,True,True
cv,full,ESOL,rmse,sup_only:sparse_all,1.354983417193095,False,chemeleon_e2e,,,-0.6853208940986526,-0.8023861353454853,-0.5710067045516236,0.0,0.362,-0.13319762992957843,0.516,-0.14978682718258526,0.0,0.45249999999999996,0.5878481012658228,False,False,False
cv,full,ESOL,rmse,unsup2sup:sparse_all,1.2405561685562134,False,chemeleon_e2e,,,-0.46556529143018754,-0.5422594591229347,-0.377062033955154,0.0,0.0,0.09775644048480206,0.0,0.0720119510501961,0.0,0.0,0.0,False,True,True
