pair,task,metric,a_mean,b_mean,delta,fold_t_p,point_p,point_q,ci_lo,ci_hi,boot_p,boot_q,n_scaffolds
unsup_8M vs fp_desc_anchor,ESOL,RMSE↓,1.0131304144859314,0.7203675150871277,0.29276289939880373,0.004683718945173336,6.996558505944896e-37,1.959036381664571e-35,-0.37392652875176874,-0.1962106259151265,0.0,0.0,585
unsup_8M vs fp_desc_anchor,QM7,RMSE↓,199.57827453613282,187.24091186523438,12.337362670898443,0.014104922888451969,1.4728613995507677e-22,2.062005959371075e-21,-20.104299686856617,-8.174502732635347,0.0,0.0,3771
unsup_8M vs fp_desc_anchor,BBBP,AUC↑,0.9535518815103001,0.9032025644099896,0.05034931710031054,0.03001107668067423,6.817978188091505e-12,6.363446308885405e-11,0.028975272892577408,0.07229433882398109,0.0,0.0,1123
unsup_8M vs fp_desc_anchor,BACE,AUC↑,0.8694014834088846,0.8668198708540402,0.002581612554844348,0.5073372150364986,0.9426923950167755,0.9426923950167755,-0.013257537894552609,0.013774561242603045,0.956,0.9799999999999999,675
unsup_8M vs fp_desc_anchor,Tox21,AUC↑,0.7987189178015687,0.8248571942527227,-0.026138276451154074,0.00018718881209509307,0.007955544654090896,0.015911089308181792,-0.0295332342480277,-0.017024379402805313,0.0,0.0,4099
unsup_8M vs fp_desc_anchor,HIV,AUC↑,0.7789250100550886,0.8158986205144612,-0.03697361045937253,0.014138955929494807,1.359481464210179e-09,7.613096199577002e-09,-0.053236806786697226,-0.021611421421861947,0.0,0.0,20670
unsup_8M vs fp_desc_anchor,HIV,NEF1%↑,0.6819277108433736,0.7132530120481928,-0.031325301204819245,0.4780195150299352,1.359481464210179e-09,7.613096199577002e-09,-0.07109545206971675,0.012347210734307452,0.206,0.3392941176470588,20670
unsup_8M vs skip_dense_8M,ESOL,RMSE↓,1.0131304144859314,0.8963083148002624,0.11682209968566903,0.0878480478895371,1.5217990824030055e-08,7.101729051214025e-08,-0.19610329549438701,-0.05966268966690735,0.0,0.0,585
unsup_8M vs skip_dense_8M,QM7,RMSE↓,199.57827453613282,194.75818786621093,4.820086669921892,0.20099578740335555,0.0019095257256512266,0.005346672031823435,-11.835973290011815,-0.2862410299760771,0.044,0.09476923076923077,3771
unsup_8M vs skip_dense_8M,BBBP,AUC↑,0.9535518815103001,0.9404260871625431,0.01312579434775707,0.03210252104344653,0.00016731213092912792,0.0005205266295572868,0.004404201317140205,0.024163250734562117,0.006,0.018666666666666668,1123
unsup_8M vs skip_dense_8M,BACE,AUC↑,0.8694014834088846,0.8484507001414132,0.02095078326747135,0.05140355614299097,0.0042178577949584005,0.010089000090789767,0.0002866299040599821,0.03605816631279849,0.048,0.096,675
unsup_8M vs skip_dense_8M,Tox21,AUC↑,0.7987189178015687,0.7961334012150358,0.0025855165865328322,0.3503551581024451,0.47336561004146893,0.5522598783817138,-0.004114955421311464,0.009367489645393393,0.396,0.48208695652173916,4099
unsup_8M vs skip_dense_8M,HIV,AUC↑,0.7789250100550886,0.7723962112244791,0.006528798830609528,0.5487016370771275,0.16366204591484212,0.24669399467900352,-0.004877785274154389,0.023222074469320706,0.238,0.37022222222222223,20670
unsup_8M vs skip_dense_8M,HIV,NEF1%↑,0.6819277108433736,0.6578313253012048,0.024096385542168752,0.6349902752778123,0.16366204591484212,0.24669399467900352,-0.02164930555555548,0.10502546540217778,0.196,0.3392941176470588,20670
u2s_dense_from8M vs skip_dense_8M,ESOL,RMSE↓,0.9239009499549866,0.8963083148002624,0.02759263515472421,0.46236171930895803,0.18058643828515597,0.24669399467900352,-0.0999213446822707,0.03065762237334702,0.456,0.532,585
u2s_dense_from8M vs skip_dense_8M,QM7,RMSE↓,194.3586883544922,194.75818786621093,-0.3994995117187443,0.7363993641919593,0.32753233576400576,0.4168593364269164,-1.4886454071853243,2.5328870617693275,0.786,0.8803200000000001,3771
u2s_dense_from8M vs skip_dense_8M,BBBP,AUC↑,0.9440208805694905,0.9404260871625431,0.0035947934069474607,0.4647032175196373,0.15899839023918694,0.24669399467900352,-0.002381105079017778,0.010064481950225248,0.252,0.37136842105263157,1123
u2s_dense_from8M vs skip_dense_8M,BACE,AUC↑,0.8358815417013847,0.8484507001414132,-0.012569158440028483,0.14616062079090306,0.03663495878931134,0.0683852564067145,-0.027374693671752572,0.0026427170986361797,0.128,0.23893333333333333,675
u2s_dense_from8M vs skip_dense_8M,Tox21,AUC↑,0.7943653767591446,0.7961334012150358,-0.0017680244558911928,0.5218816584578173,0.37326747091588286,0.45441257328890083,-0.004482649722432286,0.004161903895907824,0.98,0.9799999999999999,4099
u2s_dense_from8M vs skip_dense_8M,HIV,AUC↑,0.774061586680944,0.7723962112244791,0.0016653754564649459,0.7321658919088898,0.9262104692567671,0.9426923950167755,-0.009273232845654534,0.010039652648767376,0.918,0.9799999999999999,20670
u2s_dense_from8M vs skip_dense_8M,HIV,NEF1%↑,0.6433734939759036,0.6578313253012048,-0.014457831325301207,0.42631720794036876,0.9262104692567671,0.9426923950167755,-0.06639063012127171,0.015566238536573533,0.302,0.42279999999999995,20670
u2s_dense_from8M vs unsup_8M,ESOL,RMSE↓,0.9239009499549866,1.0131304144859314,-0.08922946453094482,0.18608313569581042,5.738971284240191e-07,2.2955885136960763e-06,0.010581713104557295,0.14915065393738658,0.024,0.06066666666666667,585
u2s_dense_from8M vs unsup_8M,QM7,RMSE↓,194.3586883544922,199.57827453613282,-5.219586181640636,0.10937250994450728,0.004323857181767043,0.010089000090789767,1.446764852707571,11.908070842210304,0.0,0.0,3771
