task,features,metric,mean,std
ESOL,fp,rmse,1.5092,0.3102
ESOL,desc,rmse,0.722,0.0506
ESOL,fp+desc,rmse,0.7343,0.0404
ESOL,CLMsup,rmse,1.0847,0.1614
ESOL,fp+CLMsup,rmse,1.0724,0.1326
ESOL,desc+CLMsup,rmse,0.724,0.0483
ESOL,fp+desc+CLMsup,rmse,0.7483,0.0939
QM7,fp,rmse,216.1573,2.147
QM7,desc,rmse,188.6941,4.5908
QM7,fp+desc,rmse,186.6553,4.06
QM7,CLMsup,rmse,199.6148,4.1575
QM7,fp+CLMsup,rmse,198.2767,4.2239
QM7,desc+CLMsup,rmse,188.1752,4.4688
QM7,fp+desc+CLMsup,rmse,187.3978,3.8666
BBBP,fp,roc_auc,0.8752,0.0224
BBBP,fp,nef1,1.0,0.0
BBBP,desc,roc_auc,0.897,0.0316
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8987,0.0303
BBBP,fp+desc,nef1,1.0,0.0
BBBP,CLMsup,roc_auc,0.9447,0.0093
BBBP,CLMsup,nef1,1.0,0.0
BBBP,fp+CLMsup,roc_auc,0.9441,0.0089
BBBP,fp+CLMsup,nef1,1.0,0.0
BBBP,desc+CLMsup,roc_auc,0.9474,0.0134
BBBP,desc+CLMsup,nef1,1.0,0.0
BBBP,fp+desc+CLMsup,roc_auc,0.948,0.012
BBBP,fp+desc+CLMsup,nef1,1.0,0.0
BACE,fp,roc_auc,0.8791,0.0211
BACE,fp,nef1,1.0,0.0
BACE,desc,roc_auc,0.8747,0.0129
BACE,desc,nef1,1.0,0.0
BACE,fp+desc,roc_auc,0.87,0.0111
BACE,fp+desc,nef1,1.0,0.0
BACE,CLMsup,roc_auc,0.8529,0.0149
BACE,CLMsup,nef1,0.9,0.1225
BACE,fp+CLMsup,roc_auc,0.8637,0.0175
BACE,fp+CLMsup,nef1,0.9,0.1225
BACE,desc+CLMsup,roc_auc,0.8682,0.0072
BACE,desc+CLMsup,nef1,1.0,0.0
BACE,fp+desc+CLMsup,roc_auc,0.8733,0.0149
BACE,fp+desc+CLMsup,nef1,0.95,0.1
Tox21,fp,roc_auc,0.776,0.0409
Tox21,fp,nef1,0.6268,0.1596
Tox21,desc,roc_auc,0.8054,0.0537
Tox21,desc,nef1,0.721,0.166
Tox21,fp+desc,roc_auc,0.8073,0.0513
Tox21,fp+desc,nef1,0.7185,0.1584
Tox21,CLMsup,roc_auc,0.7681,0.0566
Tox21,CLMsup,nef1,0.5833,0.1697
Tox21,fp+CLMsup,roc_auc,0.7812,0.0479
Tox21,fp+CLMsup,nef1,0.6315,0.1932
Tox21,desc+CLMsup,roc_auc,0.8026,0.0538
Tox21,desc+CLMsup,nef1,0.6983,0.1929
Tox21,fp+desc+CLMsup,roc_auc,0.8043,0.0539
Tox21,fp+desc+CLMsup,nef1,0.7009,0.1616
HIV,fp,roc_auc,0.8017,0.0309
HIV,fp,nef1,0.7012,0.0912
HIV,desc,roc_auc,0.8024,0.0338
HIV,desc,nef1,0.7012,0.0635
HIV,fp+desc,roc_auc,0.8096,0.0314
HIV,fp+desc,nef1,0.7133,0.0724
HIV,CLMsup,roc_auc,0.7695,0.0347
HIV,CLMsup,nef1,0.6193,0.0676
HIV,fp+CLMsup,roc_auc,0.7915,0.0336
HIV,fp+CLMsup,nef1,0.6723,0.0687
HIV,desc+CLMsup,roc_auc,0.8096,0.0321
HIV,desc+CLMsup,nef1,0.7036,0.0386
HIV,fp+desc+CLMsup,roc_auc,0.8103,0.0295
HIV,fp+desc+CLMsup,nef1,0.706,0.0393
