task,features,metric,mean,std
ESOL,fp,rmse,1.5092,0.3102
ESOL,desc,rmse,0.722,0.0506
ESOL,fp+desc,rmse,0.7343,0.0404
ESOL,CLMunsup,rmse,1.3235,0.1223
ESOL,fp+CLMunsup,rmse,1.2729,0.1329
ESOL,desc+CLMunsup,rmse,0.7545,0.0567
ESOL,fp+desc+CLMunsup,rmse,0.7389,0.0761
QM7,fp,rmse,216.1573,2.147
QM7,desc,rmse,188.6941,4.5908
QM7,fp+desc,rmse,186.6553,4.06
QM7,CLMunsup,rmse,204.6469,2.9962
QM7,fp+CLMunsup,rmse,203.1393,4.4208
QM7,desc+CLMunsup,rmse,188.6289,5.0464
QM7,fp+desc+CLMunsup,rmse,188.2809,4.9251
BBBP,fp,roc_auc,0.8752,0.0224
BBBP,fp,nef1,1.0,0.0
BBBP,desc,roc_auc,0.897,0.0316
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8987,0.0303
BBBP,fp+desc,nef1,1.0,0.0
BBBP,CLMunsup,roc_auc,0.9463,0.0059
BBBP,CLMunsup,nef1,1.0,0.0
BBBP,fp+CLMunsup,roc_auc,0.9494,0.0059
BBBP,fp+CLMunsup,nef1,1.0,0.0
BBBP,desc+CLMunsup,roc_auc,0.9531,0.0057
BBBP,desc+CLMunsup,nef1,1.0,0.0
BBBP,fp+desc+CLMunsup,roc_auc,0.9523,0.005
BBBP,fp+desc+CLMunsup,nef1,1.0,0.0
BACE,fp,roc_auc,0.8791,0.0211
BACE,fp,nef1,1.0,0.0
BACE,desc,roc_auc,0.8747,0.0129
BACE,desc,nef1,1.0,0.0
BACE,fp+desc,roc_auc,0.87,0.0111
BACE,fp+desc,nef1,1.0,0.0
BACE,CLMunsup,roc_auc,0.8471,0.0267
BACE,CLMunsup,nef1,0.95,0.1
BACE,fp+CLMunsup,roc_auc,0.8607,0.0311
BACE,fp+CLMunsup,nef1,0.9,0.1225
BACE,desc+CLMunsup,roc_auc,0.8696,0.0093
BACE,desc+CLMunsup,nef1,0.95,0.1
BACE,fp+desc+CLMunsup,roc_auc,0.8727,0.0129
BACE,fp+desc+CLMunsup,nef1,0.9,0.1225
Tox21,fp,roc_auc,0.776,0.0409
Tox21,fp,nef1,0.6268,0.1596
Tox21,desc,roc_auc,0.8054,0.0537
Tox21,desc,nef1,0.721,0.166
Tox21,fp+desc,roc_auc,0.8073,0.0513
Tox21,fp+desc,nef1,0.7185,0.1584
Tox21,CLMunsup,roc_auc,0.7751,0.0492
Tox21,CLMunsup,nef1,0.5826,0.1438
Tox21,fp+CLMunsup,roc_auc,0.7836,0.0447
Tox21,fp+CLMunsup,nef1,0.6383,0.157
Tox21,desc+CLMunsup,roc_auc,0.8002,0.0578
Tox21,desc+CLMunsup,nef1,0.6909,0.1737
Tox21,fp+desc+CLMunsup,roc_auc,0.8043,0.0526
Tox21,fp+desc+CLMunsup,nef1,0.7078,0.166
HIV,fp,roc_auc,0.8017,0.0309
HIV,fp,nef1,0.7012,0.0912
HIV,desc,roc_auc,0.8024,0.0338
HIV,desc,nef1,0.7012,0.0635
HIV,fp+desc,roc_auc,0.8096,0.0314
HIV,fp+desc,nef1,0.7133,0.0724
HIV,CLMunsup,roc_auc,0.7538,0.0337
HIV,CLMunsup,nef1,0.612,0.0846
HIV,fp+CLMunsup,roc_auc,0.7868,0.0285
HIV,fp+CLMunsup,nef1,0.6819,0.091
HIV,desc+CLMunsup,roc_auc,0.8055,0.0258
HIV,desc+CLMunsup,nef1,0.7108,0.059
HIV,fp+desc+CLMunsup,roc_auc,0.8057,0.0296
HIV,fp+desc+CLMunsup,nef1,0.7084,0.0732
