task,features,metric,mean,std
MoleculeACE,fp,macro_rmse,0.712,0.0854
MoleculeACE,desc,macro_rmse,0.7235,0.078
MoleculeACE,fp+desc,macro_rmse,0.6884,0.0752
MoleculeACE,CheMel,macro_rmse,0.7021,0.0745
MoleculeACE,fp+CheMel,macro_rmse,0.6978,0.0729
MoleculeACE,desc+CheMel,macro_rmse,0.6956,0.074
MoleculeACE,fp+desc+CheMel,macro_rmse,0.6909,0.071
CBS,fp,nef1,0.885,0.1513
CBS,fp,roc_auc,0.9929,0.01
CBS,desc,nef1,0.88,0.1373
CBS,desc,roc_auc,0.9939,0.0059
CBS,fp+desc,nef1,0.93,0.0579
CBS,fp+desc,roc_auc,0.9924,0.008
CBS,CheMel,nef1,0.89,0.1356
CBS,CheMel,roc_auc,0.9966,0.0037
CBS,fp+CheMel,nef1,0.89,0.1356
CBS,fp+CheMel,roc_auc,0.9968,0.0034
CBS,desc+CheMel,nef1,0.86,0.1158
CBS,desc+CheMel,roc_auc,0.9965,0.0042
CBS,fp+desc+CheMel,nef1,0.91,0.1114
CBS,fp+desc+CheMel,roc_auc,0.9963,0.0039
Ames,CheMel,roc_auc,0.8640,
Ames,desc,roc_auc,0.8601,
Ames,desc+CheMel,roc_auc,0.8724,
Ames,fp,roc_auc,0.8388,
Ames,fp+CheMel,roc_auc,0.8696,
Ames,fp+desc,roc_auc,0.8631,
Ames,fp+desc+CheMel,roc_auc,0.8760,
