task,features,metric,mean,std
MoleculeACE,fp,macro_rmse,0.712,0.0854
MoleculeACE,desc,macro_rmse,0.7235,0.078
MoleculeACE,fp+desc,macro_rmse,0.6884,0.0752
MoleculeACE,CLMsup,macro_rmse,0.803,0.0938
MoleculeACE,fp+CLMsup,macro_rmse,0.739,0.0773
MoleculeACE,desc+CLMsup,macro_rmse,0.7525,0.0863
MoleculeACE,fp+desc+CLMsup,macro_rmse,0.7245,0.0805
CBS,fp,nef1,0.885,0.1513
CBS,fp,roc_auc,0.9929,0.01
CBS,desc,nef1,0.88,0.1373
CBS,desc,roc_auc,0.9939,0.0059
CBS,fp+desc,nef1,0.93,0.0579
CBS,fp+desc,roc_auc,0.9924,0.008
CBS,CLMsup,nef1,0.8578,0.0961
CBS,CLMsup,roc_auc,0.9844,0.0194
CBS,fp+CLMsup,nef1,0.88,0.1373
CBS,fp+CLMsup,roc_auc,0.9867,0.02
CBS,desc+CLMsup,nef1,0.905,0.0927
CBS,desc+CLMsup,roc_auc,0.9931,0.0096
CBS,fp+desc+CLMsup,nef1,0.88,0.1122
CBS,fp+desc+CLMsup,roc_auc,0.9941,0.008
Ames,CLMsup,roc_auc,0.8078,0.0112
Ames,desc,roc_auc,0.8601,0.0097
Ames,desc+CLMsup,roc_auc,0.8376,0.0104
Ames,fp,roc_auc,0.8388,0.0103
Ames,fp+CLMsup,roc_auc,0.8199,0.0109
Ames,fp+desc,roc_auc,0.8631,0.0096
Ames,fp+desc+CLMsup,roc_auc,0.8428,0.0102
