task,features,metric,mean,std
MoleculeACE,fp,macro_rmse,0.712,0.0854
MoleculeACE,desc,macro_rmse,0.7235,0.078
MoleculeACE,fp+desc,macro_rmse,0.6884,0.0752
MoleculeACE,CLM,macro_rmse,0.8228,0.0909
MoleculeACE,fp+CLM,macro_rmse,0.7569,0.0847
MoleculeACE,desc+CLM,macro_rmse,0.7513,0.0884
MoleculeACE,fp+desc+CLM,macro_rmse,0.724,0.0748
CBS,fp,nef1,0.885,0.1513
CBS,fp,roc_auc,0.9929,0.01
CBS,desc,nef1,0.88,0.1373
CBS,desc,roc_auc,0.9939,0.0059
CBS,fp+desc,nef1,0.93,0.0579
CBS,fp+desc,roc_auc,0.9924,0.008
CBS,CLM,nef1,0.7928,0.0752
CBS,CLM,roc_auc,0.9895,0.0109
CBS,fp+CLM,nef1,0.955,0.0557
CBS,fp+CLM,roc_auc,0.9971,0.0033
CBS,desc+CLM,nef1,0.905,0.0927
CBS,desc+CLM,roc_auc,0.9931,0.0099
CBS,fp+desc+CLM,nef1,0.905,0.0927
CBS,fp+desc+CLM,roc_auc,0.9954,0.006
Ames,CLM,roc_auc,0.7821,
Ames,desc,roc_auc,0.8601,
Ames,desc+CLM,roc_auc,0.8371,
Ames,fp,roc_auc,0.8388,
Ames,fp+CLM,roc_auc,0.8122,
Ames,fp+desc,roc_auc,0.8631,
Ames,fp+desc+CLM,roc_auc,0.8422,
