task,features,metric,mean,std
ESOL,fp,rmse,1.5113,0.3078
ESOL,desc,rmse,0.7329,0.0296
ESOL,fp+desc,rmse,0.735,0.0439
ESOL,CheMel,rmse,0.85,0.0596
ESOL,fp+CheMel,rmse,0.8581,0.0706
ESOL,desc+CheMel,rmse,0.7492,0.05
ESOL,fp+desc+CheMel,rmse,0.7517,0.0602
QM7,fp,rmse,216.6266,1.8472
QM7,desc,rmse,188.3159,3.4878
QM7,fp+desc,rmse,187.9453,3.7177
QM7,CheMel,rmse,197.3568,4.227
QM7,fp+CheMel,rmse,196.9897,3.6196
QM7,desc+CheMel,rmse,189.9038,4.3361
QM7,fp+desc+CheMel,rmse,189.5251,3.5382
BBBP,fp,roc_auc,0.8717,0.0235
BBBP,fp,nef1,0.96,0.08
BBBP,desc,roc_auc,0.8968,0.0293
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8969,0.0268
BBBP,fp+desc,nef1,1.0,0.0
BBBP,CheMel,roc_auc,0.8903,0.0387
BBBP,CheMel,nef1,1.0,0.0
BBBP,fp+CheMel,roc_auc,0.8951,0.0341
BBBP,fp+CheMel,nef1,1.0,0.0
BBBP,desc+CheMel,roc_auc,0.8937,0.0303
BBBP,desc+CheMel,nef1,1.0,0.0
BBBP,fp+desc+CheMel,roc_auc,0.8951,0.0299
BBBP,fp+desc+CheMel,nef1,0.96,0.08
BACE,fp,roc_auc,0.8758,0.0219
BACE,fp,nef1,1.0,0.0
BACE,desc,roc_auc,0.8617,0.0104
BACE,desc,nef1,0.95,0.1
BACE,fp+desc,roc_auc,0.866,0.0104
BACE,fp+desc,nef1,1.0,0.0
BACE,CheMel,roc_auc,0.872,0.0168
BACE,CheMel,nef1,1.0,0.0
BACE,fp+CheMel,roc_auc,0.8767,0.012
BACE,fp+CheMel,nef1,1.0,0.0
BACE,desc+CheMel,roc_auc,0.8797,0.0168
BACE,desc+CheMel,nef1,1.0,0.0
BACE,fp+desc+CheMel,roc_auc,0.879,0.0153
BACE,fp+desc+CheMel,nef1,0.95,0.1
Tox21,fp,roc_auc,0.7764,0.0413
Tox21,fp,nef1,0.6353,0.1628
Tox21,desc,roc_auc,0.8163,0.0372
Tox21,desc,nef1,0.707,0.1323
Tox21,fp+desc,roc_auc,0.8208,0.0391
Tox21,fp+desc,nef1,0.723,0.1377
Tox21,CheMel,roc_auc,0.8126,0.0398
Tox21,CheMel,nef1,0.7086,0.1491
Tox21,fp+CheMel,roc_auc,0.8117,0.0454
Tox21,fp+CheMel,nef1,0.7294,0.155
Tox21,desc+CheMel,roc_auc,0.814,0.0425
Tox21,desc+CheMel,nef1,0.7181,0.1421
Tox21,fp+desc+CheMel,roc_auc,0.8162,0.0427
Tox21,fp+desc+CheMel,nef1,0.7306,0.1646
HIV,fp,roc_auc,0.7995,0.0339
HIV,fp,nef1,0.7181,0.0904
HIV,desc,roc_auc,0.8068,0.0283
HIV,desc,nef1,0.7036,0.0658
HIV,fp+desc,roc_auc,0.8151,0.0317
HIV,fp+desc,nef1,0.7205,0.0692
HIV,CheMel,roc_auc,0.8121,0.0238
HIV,CheMel,nef1,0.7349,0.0739
HIV,fp+CheMel,roc_auc,0.8158,0.0204
HIV,fp+CheMel,nef1,0.7446,0.0704
HIV,desc+CheMel,roc_auc,0.8095,0.026
HIV,desc+CheMel,nef1,0.7398,0.0497
HIV,fp+desc+CheMel,roc_auc,0.8122,0.0227
HIV,fp+desc+CheMel,nef1,0.7277,0.0573
