task,features,metric,mean,std
ESOL,fp,rmse,1.5113,0.3078
ESOL,desc,rmse,0.7329,0.0296
ESOL,fp+desc,rmse,0.735,0.0439
ESOL,CLMsup,rmse,1.1109,0.143
ESOL,fp+CLMsup,rmse,1.0785,0.1369
ESOL,desc+CLMsup,rmse,0.7544,0.0857
ESOL,fp+desc+CLMsup,rmse,0.77,0.1032
QM7,fp,rmse,216.6266,1.8472
QM7,desc,rmse,188.3159,3.4878
QM7,fp+desc,rmse,187.9453,3.7177
QM7,CLMsup,rmse,199.9972,4.1674
QM7,fp+CLMsup,rmse,198.8841,4.7676
QM7,desc+CLMsup,rmse,190.6665,3.9598
QM7,fp+desc+CLMsup,rmse,189.4574,4.1613
BBBP,fp,roc_auc,0.8717,0.0235
BBBP,fp,nef1,0.96,0.08
BBBP,desc,roc_auc,0.8968,0.0293
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8969,0.0268
BBBP,fp+desc,nef1,1.0,0.0
BBBP,CLMsup,roc_auc,0.9424,0.0096
BBBP,CLMsup,nef1,1.0,0.0
BBBP,fp+CLMsup,roc_auc,0.9442,0.0084
BBBP,fp+CLMsup,nef1,1.0,0.0
BBBP,desc+CLMsup,roc_auc,0.9456,0.0099
BBBP,desc+CLMsup,nef1,1.0,0.0
BBBP,fp+desc+CLMsup,roc_auc,0.9455,0.0089
BBBP,fp+desc+CLMsup,nef1,1.0,0.0
BACE,fp,roc_auc,0.8758,0.0219
BACE,fp,nef1,1.0,0.0
BACE,desc,roc_auc,0.8617,0.0104
BACE,desc,nef1,0.95,0.1
BACE,fp+desc,roc_auc,0.866,0.0104
BACE,fp+desc,nef1,1.0,0.0
BACE,CLMsup,roc_auc,0.8503,0.0149
BACE,CLMsup,nef1,0.95,0.1
BACE,fp+CLMsup,roc_auc,0.8542,0.0193
BACE,fp+CLMsup,nef1,0.9,0.1225
BACE,desc+CLMsup,roc_auc,0.859,0.0184
BACE,desc+CLMsup,nef1,0.9,0.1225
BACE,fp+desc+CLMsup,roc_auc,0.8671,0.0091
BACE,fp+desc+CLMsup,nef1,0.95,0.1
Tox21,fp,roc_auc,0.7764,0.0413
Tox21,fp,nef1,0.6353,0.1628
Tox21,desc,roc_auc,0.8163,0.0372
Tox21,desc,nef1,0.707,0.1323
Tox21,fp+desc,roc_auc,0.8208,0.0391
Tox21,fp+desc,nef1,0.723,0.1377
Tox21,CLMsup,roc_auc,0.768,0.0564
Tox21,CLMsup,nef1,0.5849,0.1682
Tox21,fp+CLMsup,roc_auc,0.7841,0.0475
Tox21,fp+CLMsup,nef1,0.6377,0.1552
Tox21,desc+CLMsup,roc_auc,0.8003,0.0405
Tox21,desc+CLMsup,nef1,0.6503,0.1658
Tox21,fp+desc+CLMsup,roc_auc,0.8049,0.0412
Tox21,fp+desc+CLMsup,nef1,0.6983,0.1468
HIV,fp,roc_auc,0.7995,0.0339
HIV,fp,nef1,0.7181,0.0904
HIV,desc,roc_auc,0.8068,0.0283
HIV,desc,nef1,0.7036,0.0658
HIV,fp+desc,roc_auc,0.8151,0.0317
HIV,fp+desc,nef1,0.7205,0.0692
HIV,CLMsup,roc_auc,0.7759,0.038
HIV,CLMsup,nef1,0.6578,0.0636
HIV,fp+CLMsup,roc_auc,0.7891,0.0326
HIV,fp+CLMsup,nef1,0.6506,0.0476
HIV,desc+CLMsup,roc_auc,0.7892,0.0382
HIV,desc+CLMsup,nef1,0.6795,0.052
HIV,fp+desc+CLMsup,roc_auc,0.8044,0.0286
HIV,fp+desc+CLMsup,nef1,0.6795,0.0603
