task,features,metric,mean,std
ESOL,fp,rmse,1.5113,0.3078
ESOL,desc,rmse,0.7329,0.0296
ESOL,fp+desc,rmse,0.735,0.0439
ESOL,CLM,rmse,1.3327,0.1072
ESOL,fp+CLM,rmse,1.2999,0.1288
ESOL,desc+CLM,rmse,0.7671,0.0646
ESOL,fp+desc+CLM,rmse,0.7766,0.0872
QM7,fp,rmse,216.6266,1.8472
QM7,desc,rmse,188.3159,3.4878
QM7,fp+desc,rmse,187.9453,3.7177
QM7,CLM,rmse,204.626,3.6649
QM7,fp+CLM,rmse,202.7881,3.8163
QM7,desc+CLM,rmse,191.1765,4.4854
QM7,fp+desc+CLM,rmse,190.4052,4.481
BBBP,fp,roc_auc,0.8717,0.0235
BBBP,fp,nef1,0.96,0.08
BBBP,desc,roc_auc,0.8968,0.0293
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8969,0.0268
BBBP,fp+desc,nef1,1.0,0.0
BBBP,CLM,roc_auc,0.9472,0.0078
BBBP,CLM,nef1,1.0,0.0
BBBP,fp+CLM,roc_auc,0.9474,0.0075
BBBP,fp+CLM,nef1,1.0,0.0
BBBP,desc+CLM,roc_auc,0.9468,0.0079
BBBP,desc+CLM,nef1,1.0,0.0
BBBP,fp+desc+CLM,roc_auc,0.9478,0.0077
BBBP,fp+desc+CLM,nef1,1.0,0.0
BACE,fp,roc_auc,0.8758,0.0219
BACE,fp,nef1,1.0,0.0
BACE,desc,roc_auc,0.8617,0.0104
BACE,desc,nef1,0.95,0.1
BACE,fp+desc,roc_auc,0.866,0.0104
BACE,fp+desc,nef1,1.0,0.0
BACE,CLM,roc_auc,0.8501,0.0337
BACE,CLM,nef1,0.95,0.1
BACE,fp+CLM,roc_auc,0.8591,0.0292
BACE,fp+CLM,nef1,0.95,0.1
BACE,desc+CLM,roc_auc,0.8602,0.0265
BACE,desc+CLM,nef1,0.9,0.1225
BACE,fp+desc+CLM,roc_auc,0.8624,0.0176
BACE,fp+desc+CLM,nef1,0.9,0.2
Tox21,fp,roc_auc,0.7764,0.0413
Tox21,fp,nef1,0.6353,0.1628
Tox21,desc,roc_auc,0.8163,0.0372
Tox21,desc,nef1,0.707,0.1323
Tox21,fp+desc,roc_auc,0.8208,0.0391
Tox21,fp+desc,nef1,0.723,0.1377
Tox21,CLM,roc_auc,0.774,0.0518
Tox21,CLM,nef1,0.5891,0.132
Tox21,fp+CLM,roc_auc,0.7842,0.0443
Tox21,fp+CLM,nef1,0.6278,0.1547
Tox21,desc+CLM,roc_auc,0.8047,0.0438
Tox21,desc+CLM,nef1,0.6831,0.137
Tox21,fp+desc+CLM,roc_auc,0.8077,0.0424
Tox21,fp+desc+CLM,nef1,0.6926,0.1461
HIV,fp,roc_auc,0.7995,0.0339
HIV,fp,nef1,0.7181,0.0904
HIV,desc,roc_auc,0.8068,0.0283
HIV,desc,nef1,0.7036,0.0658
HIV,fp+desc,roc_auc,0.8151,0.0317
HIV,fp+desc,nef1,0.7205,0.0692
HIV,CLM,roc_auc,0.7601,0.0289
HIV,CLM,nef1,0.6024,0.0979
HIV,fp+CLM,roc_auc,0.7837,0.0338
HIV,fp+CLM,nef1,0.6843,0.0635
HIV,desc+CLM,roc_auc,0.7913,0.0363
HIV,desc+CLM,nef1,0.6867,0.0341
HIV,fp+desc+CLM,roc_auc,0.7984,0.0343
HIV,fp+desc+CLM,nef1,0.6988,0.0595
