task,features,metric,mean,std
ESOL,fp+desc,rmse,0.7281,0.0408
ESOL,CLM,rmse,1.3235,0.1223
ESOL,desc+CLM,rmse,0.7512,0.0505
ESOL,fp+desc+CLM,rmse,0.7564,0.0506
QM7,fp+desc,rmse,187.7074,3.7334
QM7,CLM,rmse,204.6469,2.9962
QM7,desc+CLM,rmse,190.8063,4.185
QM7,fp+desc+CLM,rmse,189.9086,3.2498
BBBP,fp+desc,roc_auc,0.9,0.0295
BBBP,fp+desc,nef1,0.96,0.08
BBBP,CLM,roc_auc,0.9463,0.0059
BBBP,CLM,nef1,1.0,0.0
BBBP,desc+CLM,roc_auc,0.9494,0.0074
BBBP,desc+CLM,nef1,1.0,0.0
BBBP,fp+desc+CLM,roc_auc,0.9484,0.0072
BBBP,fp+desc+CLM,nef1,1.0,0.0
BACE,fp+desc,roc_auc,0.867,0.014
BACE,fp+desc,nef1,0.95,0.1
BACE,CLM,roc_auc,0.8471,0.0267
BACE,CLM,nef1,0.95,0.1
BACE,desc+CLM,roc_auc,0.8576,0.0183
BACE,desc+CLM,nef1,0.9,0.1225
BACE,fp+desc+CLM,roc_auc,0.8607,0.0228
BACE,fp+desc+CLM,nef1,0.9,0.1225
Tox21,fp+desc,roc_auc,0.8196,0.0432
Tox21,fp+desc,nef1,0.7345,0.1266
Tox21,CLM,roc_auc,0.7751,0.0492
Tox21,CLM,nef1,0.5826,0.1438
Tox21,desc+CLM,roc_auc,0.8054,0.0412
Tox21,desc+CLM,nef1,0.6679,0.1393
Tox21,fp+desc+CLM,roc_auc,0.8076,0.0433
Tox21,fp+desc+CLM,nef1,0.7135,0.1506
HIV,fp+desc,roc_auc,0.8125,0.0338
HIV,fp+desc,nef1,0.7446,0.0616
HIV,CLM,roc_auc,0.7538,0.0337
HIV,CLM,nef1,0.612,0.0846
HIV,desc+CLM,roc_auc,0.7902,0.0285
HIV,desc+CLM,nef1,0.6988,0.0511
HIV,fp+desc+CLM,roc_auc,0.7949,0.0329
HIV,fp+desc+CLM,nef1,0.6843,0.0536
