arm,run_id,seed,wave,dataset,task_type,metric,cv_value,n_folds
real (unsup_only),unsup_8M,0,climb_v2_expA/_baselines,BACE,classification,roc_auc,0.8694014834088846,5
real (unsup_only),unsup_8M,0,climb_v2_expA/_baselines,BBBP,classification,roc_auc,0.9535518815103001,5
real (unsup_only),unsup_8M,0,climb_v2_expA/_baselines,ESOL,regression,rmse,0.9983701705932617,5
real (unsup_only),unsup_8M,0,climb_v2_expA/_baselines,HIV,classification,roc_auc,0.7789250100550886,5
real (unsup_only),unsup_8M,0,climb_v2_expA/_baselines,HIV,classification,nef1,0.6819277108433736,5
real (unsup_only),unsup_8M,0,climb_v2_expA/_baselines,Lipophilicity,regression,rmse,0.9024818301200866,5
real (unsup_only),unsup_8M,0,climb_v2_expA/_baselines,QM7,regression,rmse,199.3327667236328,5
real (unsup_only),unsup_8M,0,climb_v2_expA/_baselines,Tox21,classification,roc_auc,0.7999363980442943,5
real (unsup_only),unsup_8M_s1,1,climb_v2_expA/_baselines,BACE,classification,roc_auc,0.8625477653853038,5
real (unsup_only),unsup_8M_s1,1,climb_v2_expA/_baselines,BBBP,classification,roc_auc,0.94559432832735,5
real (unsup_only),unsup_8M_s1,1,climb_v2_expA/_baselines,ESOL,regression,rmse,1.0813286423683166,5
real (unsup_only),unsup_8M_s1,1,climb_v2_expA/_baselines,HIV,classification,roc_auc,0.7645502233980176,5
real (unsup_only),unsup_8M_s1,1,climb_v2_expA/_baselines,HIV,classification,nef1,0.6506024096385542,5
real (unsup_only),unsup_8M_s1,1,climb_v2_expA/_baselines,Lipophilicity,regression,rmse,0.8753210783004761,5
real (unsup_only),unsup_8M_s1,1,climb_v2_expA/_baselines,QM7,regression,rmse,199.88902282714844,5
real (unsup_only),unsup_8M_s1,1,climb_v2_expA/_baselines,Tox21,classification,roc_auc,0.7932647687376801,5
real (unsup_only),unsup_8M_s2,2,climb_v2_expA/_baselines,BACE,classification,roc_auc,0.8423779037729645,5
real (unsup_only),unsup_8M_s2,2,climb_v2_expA/_baselines,BBBP,classification,roc_auc,0.9518792211405567,5
real (unsup_only),unsup_8M_s2,2,climb_v2_expA/_baselines,ESOL,regression,rmse,1.0275552034378053,5
real (unsup_only),unsup_8M_s2,2,climb_v2_expA/_baselines,HIV,classification,roc_auc,0.7631219887426592,5
real (unsup_only),unsup_8M_s2,2,climb_v2_expA/_baselines,HIV,classification,nef1,0.6530120481927711,5
real (unsup_only),unsup_8M_s2,2,climb_v2_expA/_baselines,Lipophilicity,regression,rmse,0.8721915006637573,5
real (unsup_only),unsup_8M_s2,2,climb_v2_expA/_baselines,QM7,regression,rmse,198.95748291015624,5
real (unsup_only),unsup_8M_s2,2,climb_v2_expA/_baselines,Tox21,classification,roc_auc,0.7916413972487638,5
shuffle_tokens,corrupt_mlm_8M,0,climb_v2_expA/_baselines,BACE,classification,roc_auc,0.8302465408240618,5
shuffle_tokens,corrupt_mlm_8M,0,climb_v2_expA/_baselines,BBBP,classification,roc_auc,0.9468663430730064,5
shuffle_tokens,corrupt_mlm_8M,0,climb_v2_expA/_baselines,ESOL,regression,rmse,1.0164126873016357,5
shuffle_tokens,corrupt_mlm_8M,0,climb_v2_expA/_baselines,HIV,classification,roc_auc,0.7483555088558786,5
