task,features,metric,mean,std
ESOL,desc,rmse,0.7324,0.0312
ESOL,desc+CLMsup,rmse,0.7695,0.0547
QM7,desc,rmse,187.9075,4.7729
QM7,desc+CLMsup,rmse,188.4439,4.8076
BBBP,desc,roc_auc,0.8881,0.0339
BBBP,desc,nef1,1.0,0.0
BBBP,desc+CLMsup,roc_auc,0.945,0.0061
BBBP,desc+CLMsup,nef1,1.0,0.0
BACE,desc,roc_auc,0.872,0.009
BACE,desc,nef1,1.0,0.0
BACE,desc+CLMsup,roc_auc,0.8607,0.0125
BACE,desc+CLMsup,nef1,0.95,0.1
Tox21,desc,roc_auc,0.791,0.0525
Tox21,desc,nef1,0.6772,0.1392
Tox21,desc+CLMsup,roc_auc,0.7906,0.0514
Tox21,desc+CLMsup,nef1,0.6645,0.1367
HIV,desc,roc_auc,0.79,0.0284
HIV,desc,nef1,0.6747,0.0389
HIV,desc+CLMsup,roc_auc,0.8006,0.0318
HIV,desc+CLMsup,nef1,0.6627,0.0633
