task,features,metric,mean,std
ESOL,fp,rmse,1.595,0.3178
ESOL,fp+desc,rmse,0.7273,0.0298
ESOL,CLMsup,rmse,1.1267,0.1271
ESOL,fp+CLMsup,rmse,1.1127,0.1523
ESOL,fp+desc+CLMsup,rmse,0.7678,0.0574
QM7,fp,rmse,215.0311,1.3556
QM7,fp+desc,rmse,186.6517,3.5994
QM7,CLMsup,rmse,201.0008,5.138
QM7,fp+CLMsup,rmse,198.9543,3.9291
QM7,fp+desc+CLMsup,rmse,187.6864,4.3372
BBBP,fp,roc_auc,0.8475,0.0385
BBBP,fp,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8899,0.0331
BBBP,fp+desc,nef1,0.96,0.08
BBBP,CLMsup,roc_auc,0.9404,0.0103
BBBP,CLMsup,nef1,1.0,0.0
BBBP,fp+CLMsup,roc_auc,0.9393,0.0086
BBBP,fp+CLMsup,nef1,1.0,0.0
BBBP,fp+desc+CLMsup,roc_auc,0.9444,0.007
BBBP,fp+desc+CLMsup,nef1,1.0,0.0
BACE,fp,roc_auc,0.8589,0.0185
BACE,fp,nef1,0.85,0.2
BACE,fp+desc,roc_auc,0.8716,0.0125
BACE,fp+desc,nef1,1.0,0.0
BACE,CLMsup,roc_auc,0.8334,0.0135
BACE,CLMsup,nef1,1.0,0.0
BACE,fp+CLMsup,roc_auc,0.8506,0.0178
BACE,fp+CLMsup,nef1,1.0,0.0
BACE,fp+desc+CLMsup,roc_auc,0.8585,0.0127
BACE,fp+desc+CLMsup,nef1,0.95,0.1
Tox21,fp,roc_auc,0.7536,0.0363
Tox21,fp,nef1,0.5963,0.1445
Tox21,fp+desc,roc_auc,0.7945,0.0496
Tox21,fp+desc,nef1,0.7078,0.1306
Tox21,CLMsup,roc_auc,0.7548,0.0574
Tox21,CLMsup,nef1,0.5399,0.1285
Tox21,fp+CLMsup,roc_auc,0.7689,0.0518
Tox21,fp+CLMsup,nef1,0.613,0.1693
Tox21,fp+desc+CLMsup,roc_auc,0.7949,0.0487
Tox21,fp+desc+CLMsup,nef1,0.686,0.1427
HIV,fp,roc_auc,0.7924,0.0297
HIV,fp,nef1,0.6747,0.1207
HIV,fp+desc,roc_auc,0.7977,0.0301
HIV,fp+desc,nef1,0.7133,0.0466
HIV,CLMsup,roc_auc,0.7687,0.0308
HIV,CLMsup,nef1,0.6458,0.0455
HIV,fp+CLMsup,roc_auc,0.7845,0.028
HIV,fp+CLMsup,nef1,0.6795,0.091
HIV,fp+desc+CLMsup,roc_auc,0.8023,0.0379
HIV,fp+desc+CLMsup,nef1,0.7012,0.074
