task,features,metric,mean,std
ESOL,desc,rmse,0.7324,0.0312
ESOL,desc+CLMunsup,rmse,0.7397,0.0317
QM7,desc,rmse,187.9075,4.7729
QM7,desc+CLMunsup,rmse,188.6684,5.008
BBBP,desc,roc_auc,0.8881,0.0339
BBBP,desc,nef1,1.0,0.0
BBBP,desc+CLMunsup,roc_auc,0.9444,0.0077
BBBP,desc+CLMunsup,nef1,1.0,0.0
BACE,desc,roc_auc,0.872,0.009
BACE,desc,nef1,1.0,0.0
BACE,desc+CLMunsup,roc_auc,0.8662,0.0078
BACE,desc+CLMunsup,nef1,0.9,0.2
Tox21,desc,roc_auc,0.791,0.0525
Tox21,desc,nef1,0.6772,0.1392
Tox21,desc+CLMunsup,roc_auc,0.79,0.0502
Tox21,desc+CLMunsup,nef1,0.6658,0.1355
HIV,desc,roc_auc,0.79,0.0284
HIV,desc,nef1,0.6747,0.0389
HIV,desc+CLMunsup,roc_auc,0.7918,0.0239
HIV,desc+CLMunsup,nef1,0.6771,0.053
