task,features,metric,mean,std
ESOL,fp,rmse,1.595,0.3178
ESOL,fp+desc,rmse,0.7273,0.0298
ESOL,CLMunsup,rmse,1.2978,0.0762
ESOL,fp+CLMunsup,rmse,1.2612,0.1062
ESOL,fp+desc+CLMunsup,rmse,0.7403,0.0335
QM7,fp,rmse,215.0311,1.3556
QM7,fp+desc,rmse,186.6517,3.5994
QM7,CLMunsup,rmse,204.4288,2.8244
QM7,fp+CLMunsup,rmse,203.5633,3.2542
QM7,fp+desc+CLMunsup,rmse,187.0839,4.2782
BBBP,fp,roc_auc,0.8475,0.0385
BBBP,fp,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8899,0.0331
BBBP,fp+desc,nef1,0.96,0.08
BBBP,CLMunsup,roc_auc,0.9421,0.007
BBBP,CLMunsup,nef1,1.0,0.0
BBBP,fp+CLMunsup,roc_auc,0.9437,0.007
BBBP,fp+CLMunsup,nef1,1.0,0.0
BBBP,fp+desc+CLMunsup,roc_auc,0.9456,0.0086
BBBP,fp+desc+CLMunsup,nef1,1.0,0.0
BACE,fp,roc_auc,0.8589,0.0185
BACE,fp,nef1,0.85,0.2
BACE,fp+desc,roc_auc,0.8716,0.0125
BACE,fp+desc,nef1,1.0,0.0
BACE,CLMunsup,roc_auc,0.8398,0.0302
BACE,CLMunsup,nef1,1.0,0.0
BACE,fp+CLMunsup,roc_auc,0.8424,0.0235
BACE,fp+CLMunsup,nef1,0.9,0.1225
BACE,fp+desc+CLMunsup,roc_auc,0.8689,0.0112
BACE,fp+desc+CLMunsup,nef1,1.0,0.0
Tox21,fp,roc_auc,0.7536,0.0363
Tox21,fp,nef1,0.5963,0.1445
Tox21,fp+desc,roc_auc,0.7945,0.0496
Tox21,fp+desc,nef1,0.7078,0.1306
Tox21,CLMunsup,roc_auc,0.7645,0.0417
Tox21,CLMunsup,nef1,0.5742,0.1174
Tox21,fp+CLMunsup,roc_auc,0.7737,0.0363
Tox21,fp+CLMunsup,nef1,0.6065,0.1288
Tox21,fp+desc+CLMunsup,roc_auc,0.7929,0.0495
Tox21,fp+desc+CLMunsup,nef1,0.6695,0.1415
HIV,fp,roc_auc,0.7924,0.0297
HIV,fp,nef1,0.6747,0.1207
HIV,fp+desc,roc_auc,0.7977,0.0301
HIV,fp+desc,nef1,0.7133,0.0466
HIV,CLMunsup,roc_auc,0.7433,0.0319
HIV,CLMunsup,nef1,0.5928,0.076
HIV,fp+CLMunsup,roc_auc,0.778,0.0298
HIV,fp+CLMunsup,nef1,0.6795,0.0794
HIV,fp+desc+CLMunsup,roc_auc,0.7929,0.026
HIV,fp+desc+CLMunsup,nef1,0.7253,0.0484
