task,features,metric,mean,std
ESOL,desc,rmse,0.7324,0.0312
ESOL,desc+CheMel,rmse,0.7305,0.0338
QM7,desc,rmse,187.9075,4.7729
QM7,desc+CheMel,rmse,188.5667,4.7688
BBBP,desc,roc_auc,0.8881,0.0339
BBBP,desc,nef1,1.0,0.0
BBBP,desc+CheMel,roc_auc,0.8979,0.038
BBBP,desc+CheMel,nef1,1.0,0.0
BACE,desc,roc_auc,0.872,0.009
BACE,desc,nef1,1.0,0.0
BACE,desc+CheMel,roc_auc,0.8678,0.0065
BACE,desc+CheMel,nef1,1.0,0.0
Tox21,desc,roc_auc,0.791,0.0525
Tox21,desc,nef1,0.6772,0.1392
Tox21,desc+CheMel,roc_auc,0.7959,0.0426
Tox21,desc+CheMel,nef1,0.6934,0.1255
HIV,desc,roc_auc,0.79,0.0284
HIV,desc,nef1,0.6747,0.0389
HIV,desc+CheMel,roc_auc,0.794,0.0224
HIV,desc+CheMel,nef1,0.6771,0.0675
