task,features,metric,mean,std
ESOL,fp,rmse,1.595,0.3178
ESOL,fp+desc,rmse,0.7273,0.0298
ESOL,CheMel,rmse,0.8413,0.0636
ESOL,fp+CheMel,rmse,0.8414,0.0628
ESOL,fp+desc+CheMel,rmse,0.7323,0.0358
QM7,fp,rmse,215.0311,1.3556
QM7,fp+desc,rmse,186.6517,3.5994
QM7,CheMel,rmse,197.7819,3.4194
QM7,fp+CheMel,rmse,197.4143,3.4601
QM7,fp+desc+CheMel,rmse,188.0643,4.352
BBBP,fp,roc_auc,0.8475,0.0385
BBBP,fp,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8899,0.0331
BBBP,fp+desc,nef1,0.96,0.08
BBBP,CheMel,roc_auc,0.8863,0.0416
BBBP,CheMel,nef1,1.0,0.0
BBBP,fp+CheMel,roc_auc,0.8831,0.041
BBBP,fp+CheMel,nef1,1.0,0.0
BBBP,fp+desc+CheMel,roc_auc,0.8939,0.0344
BBBP,fp+desc+CheMel,nef1,1.0,0.0
BACE,fp,roc_auc,0.8589,0.0185
BACE,fp,nef1,0.85,0.2
BACE,fp+desc,roc_auc,0.8716,0.0125
BACE,fp+desc,nef1,1.0,0.0
BACE,CheMel,roc_auc,0.8554,0.0199
BACE,CheMel,nef1,1.0,0.0
BACE,fp+CheMel,roc_auc,0.8591,0.0169
BACE,fp+CheMel,nef1,1.0,0.0
BACE,fp+desc+CheMel,roc_auc,0.8708,0.0087
BACE,fp+desc+CheMel,nef1,1.0,0.0
Tox21,fp,roc_auc,0.7536,0.0363
Tox21,fp,nef1,0.5963,0.1445
Tox21,fp+desc,roc_auc,0.7945,0.0496
Tox21,fp+desc,nef1,0.7078,0.1306
Tox21,CheMel,roc_auc,0.7951,0.0428
Tox21,CheMel,nef1,0.6674,0.1517
Tox21,fp+CheMel,roc_auc,0.7985,0.0407
Tox21,fp+CheMel,nef1,0.6942,0.1511
Tox21,fp+desc+CheMel,roc_auc,0.7975,0.0454
Tox21,fp+desc+CheMel,nef1,0.6856,0.1273
HIV,fp,roc_auc,0.7924,0.0297
HIV,fp,nef1,0.6747,0.1207
HIV,fp+desc,roc_auc,0.7977,0.0301
HIV,fp+desc,nef1,0.7133,0.0466
HIV,CheMel,roc_auc,0.7927,0.023
HIV,CheMel,nef1,0.6627,0.0719
HIV,fp+CheMel,roc_auc,0.8026,0.027
HIV,fp+CheMel,nef1,0.6916,0.091
HIV,fp+desc+CheMel,roc_auc,0.8002,0.0277
HIV,fp+desc+CheMel,nef1,0.7084,0.0962
