task,features,metric,mean,std
ESOL,fp,rmse,1.595,0.3178
ESOL,desc,rmse,0.7923,0.039
ESOL,fp+desc,rmse,0.7927,0.0333
ESOL,fp+CLMsup,rmse,1.1127,0.1523
ESOL,desc+CLMsup,rmse,0.8002,0.085
ESOL,fp+desc+CLMsup,rmse,0.7997,0.0833
QM7,fp,rmse,215.0311,1.3556
QM7,desc,rmse,189.6294,3.9706
QM7,fp+desc,rmse,188.6078,3.3696
QM7,fp+CLMsup,rmse,198.9543,3.9291
QM7,desc+CLMsup,rmse,191.1983,3.9913
QM7,fp+desc+CLMsup,rmse,190.0142,3.0851
BBBP,fp,roc_auc,0.8475,0.0385
BBBP,fp,nef1,1.0,0.0
BBBP,desc,roc_auc,0.8968,0.0311
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8966,0.0274
BBBP,fp+desc,nef1,1.0,0.0
BBBP,fp+CLMsup,roc_auc,0.9393,0.0086
BBBP,fp+CLMsup,nef1,1.0,0.0
BBBP,desc+CLMsup,roc_auc,0.945,0.0092
BBBP,desc+CLMsup,nef1,1.0,0.0
BBBP,fp+desc+CLMsup,roc_auc,0.944,0.0092
BBBP,fp+desc+CLMsup,nef1,1.0,0.0
BACE,fp,roc_auc,0.8589,0.0185
BACE,fp,nef1,0.85,0.2
BACE,desc,roc_auc,0.8531,0.0147
BACE,desc,nef1,0.95,0.1
BACE,fp+desc,roc_auc,0.859,0.0147
BACE,fp+desc,nef1,0.95,0.1
BACE,fp+CLMsup,roc_auc,0.8506,0.0178
BACE,fp+CLMsup,nef1,1.0,0.0
BACE,desc+CLMsup,roc_auc,0.8378,0.0175
BACE,desc+CLMsup,nef1,0.95,0.1
BACE,fp+desc+CLMsup,roc_auc,0.8434,0.0216
BACE,fp+desc+CLMsup,nef1,1.0,0.0
Tox21,fp,roc_auc,0.7536,0.0363
Tox21,fp,nef1,0.5963,0.1445
Tox21,desc,roc_auc,0.8029,0.0435
Tox21,desc,nef1,0.6884,0.1408
Tox21,fp+desc,roc_auc,0.8071,0.037
Tox21,fp+desc,nef1,0.6816,0.1453
Tox21,fp+CLMsup,roc_auc,0.7689,0.0518
Tox21,fp+CLMsup,nef1,0.613,0.1693
Tox21,desc+CLMsup,roc_auc,0.7921,0.0447
Tox21,desc+CLMsup,nef1,0.6205,0.1191
Tox21,fp+desc+CLMsup,roc_auc,0.7939,0.0411
Tox21,fp+desc+CLMsup,nef1,0.6476,0.1415
HIV,fp,roc_auc,0.7924,0.0297
HIV,fp,nef1,0.6747,0.1207
HIV,desc,roc_auc,0.7963,0.0236
HIV,desc,nef1,0.6651,0.0679
HIV,fp+desc,roc_auc,0.805,0.0278
HIV,fp+desc,nef1,0.6892,0.0639
HIV,fp+CLMsup,roc_auc,0.7845,0.028
HIV,fp+CLMsup,nef1,0.6795,0.091
HIV,desc+CLMsup,roc_auc,0.779,0.0319
HIV,desc+CLMsup,nef1,0.6723,0.0808
HIV,fp+desc+CLMsup,roc_auc,0.795,0.0254
HIV,fp+desc+CLMsup,nef1,0.6843,0.084
