task,features,metric,mean,std
ESOL,fp,rmse,1.595,0.3178
ESOL,desc,rmse,0.7923,0.039
ESOL,fp+desc,rmse,0.7927,0.0333
ESOL,fp+CLMunsup,rmse,1.2612,0.1062
ESOL,desc+CLMunsup,rmse,0.7892,0.0557
ESOL,fp+desc+CLMunsup,rmse,0.7899,0.05
QM7,fp,rmse,215.0311,1.3556
QM7,desc,rmse,189.6294,3.9706
QM7,fp+desc,rmse,188.6078,3.3696
QM7,fp+CLMunsup,rmse,203.5633,3.2542
QM7,desc+CLMunsup,rmse,190.6323,4.4635
QM7,fp+desc+CLMunsup,rmse,189.3959,4.3331
BBBP,fp,roc_auc,0.8475,0.0385
BBBP,fp,nef1,1.0,0.0
BBBP,desc,roc_auc,0.8968,0.0311
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8966,0.0274
BBBP,fp+desc,nef1,1.0,0.0
BBBP,fp+CLMunsup,roc_auc,0.9437,0.007
BBBP,fp+CLMunsup,nef1,1.0,0.0
BBBP,desc+CLMunsup,roc_auc,0.94,0.0081
BBBP,desc+CLMunsup,nef1,1.0,0.0
BBBP,fp+desc+CLMunsup,roc_auc,0.9422,0.0061
BBBP,fp+desc+CLMunsup,nef1,1.0,0.0
BACE,fp,roc_auc,0.8589,0.0185
BACE,fp,nef1,0.85,0.2
BACE,desc,roc_auc,0.8531,0.0147
BACE,desc,nef1,0.95,0.1
BACE,fp+desc,roc_auc,0.859,0.0147
BACE,fp+desc,nef1,0.95,0.1
BACE,fp+CLMunsup,roc_auc,0.8424,0.0235
BACE,fp+CLMunsup,nef1,0.9,0.1225
BACE,desc+CLMunsup,roc_auc,0.851,0.0165
BACE,desc+CLMunsup,nef1,1.0,0.0
BACE,fp+desc+CLMunsup,roc_auc,0.8504,0.0177
BACE,fp+desc+CLMunsup,nef1,1.0,0.0
Tox21,fp,roc_auc,0.7536,0.0363
Tox21,fp,nef1,0.5963,0.1445
Tox21,desc,roc_auc,0.8029,0.0435
Tox21,desc,nef1,0.6884,0.1408
Tox21,fp+desc,roc_auc,0.8071,0.037
Tox21,fp+desc,nef1,0.6816,0.1453
Tox21,fp+CLMunsup,roc_auc,0.7737,0.0363
Tox21,fp+CLMunsup,nef1,0.6065,0.1288
Tox21,desc+CLMunsup,roc_auc,0.7909,0.039
Tox21,desc+CLMunsup,nef1,0.6633,0.1063
Tox21,fp+desc+CLMunsup,roc_auc,0.7945,0.0402
Tox21,fp+desc+CLMunsup,nef1,0.6629,0.118
HIV,fp,roc_auc,0.7924,0.0297
HIV,fp,nef1,0.6747,0.1207
HIV,desc,roc_auc,0.7963,0.0236
HIV,desc,nef1,0.6651,0.0679
HIV,fp+desc,roc_auc,0.805,0.0278
HIV,fp+desc,nef1,0.6892,0.0639
HIV,fp+CLMunsup,roc_auc,0.778,0.0298
HIV,fp+CLMunsup,nef1,0.6795,0.0794
HIV,desc+CLMunsup,roc_auc,0.7805,0.0322
HIV,desc+CLMunsup,nef1,0.6458,0.0608
HIV,fp+desc+CLMunsup,roc_auc,0.7826,0.0337
HIV,fp+desc+CLMunsup,nef1,0.6602,0.1038
