task,features,metric,mean,std
ESOL,fp,rmse,1.595,0.3178
ESOL,desc,rmse,0.7923,0.039
ESOL,fp+desc,rmse,0.7927,0.0333
ESOL,fp+CheMel,rmse,0.8414,0.0628
ESOL,desc+CheMel,rmse,0.7363,0.0446
ESOL,fp+desc+CheMel,rmse,0.739,0.0418
QM7,fp,rmse,215.0311,1.3556
QM7,desc,rmse,189.6294,3.9706
QM7,fp+desc,rmse,188.6078,3.3696
QM7,fp+CheMel,rmse,197.4143,3.4601
QM7,desc+CheMel,rmse,190.4187,3.826
QM7,fp+desc+CheMel,rmse,189.5544,3.8531
BBBP,fp,roc_auc,0.8475,0.0385
BBBP,fp,nef1,1.0,0.0
BBBP,desc,roc_auc,0.8968,0.0311
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8966,0.0274
BBBP,fp+desc,nef1,1.0,0.0
BBBP,fp+CheMel,roc_auc,0.8831,0.041
BBBP,fp+CheMel,nef1,1.0,0.0
BBBP,desc+CheMel,roc_auc,0.8902,0.0398
BBBP,desc+CheMel,nef1,1.0,0.0
BBBP,fp+desc+CheMel,roc_auc,0.8877,0.0392
BBBP,fp+desc+CheMel,nef1,1.0,0.0
BACE,fp,roc_auc,0.8589,0.0185
BACE,fp,nef1,0.85,0.2
BACE,desc,roc_auc,0.8531,0.0147
BACE,desc,nef1,0.95,0.1
BACE,fp+desc,roc_auc,0.859,0.0147
BACE,fp+desc,nef1,0.95,0.1
BACE,fp+CheMel,roc_auc,0.8591,0.0169
BACE,fp+CheMel,nef1,1.0,0.0
BACE,desc+CheMel,roc_auc,0.8606,0.0192
BACE,desc+CheMel,nef1,1.0,0.0
BACE,fp+desc+CheMel,roc_auc,0.8587,0.0179
BACE,fp+desc+CheMel,nef1,0.95,0.1
Tox21,fp,roc_auc,0.7536,0.0363
Tox21,fp,nef1,0.5963,0.1445
Tox21,desc,roc_auc,0.8029,0.0435
Tox21,desc,nef1,0.6884,0.1408
Tox21,fp+desc,roc_auc,0.8071,0.037
Tox21,fp+desc,nef1,0.6816,0.1453
Tox21,fp+CheMel,roc_auc,0.7985,0.0407
Tox21,fp+CheMel,nef1,0.6942,0.1511
Tox21,desc+CheMel,roc_auc,0.8012,0.0366
Tox21,desc+CheMel,nef1,0.6772,0.1693
Tox21,fp+desc+CheMel,roc_auc,0.8021,0.0363
Tox21,fp+desc+CheMel,nef1,0.6779,0.1463
HIV,fp,roc_auc,0.7924,0.0297
HIV,fp,nef1,0.6747,0.1207
HIV,desc,roc_auc,0.7963,0.0236
HIV,desc,nef1,0.6651,0.0679
HIV,fp+desc,roc_auc,0.805,0.0278
HIV,fp+desc,nef1,0.6892,0.0639
HIV,fp+CheMel,roc_auc,0.8026,0.027
HIV,fp+CheMel,nef1,0.6916,0.091
HIV,desc+CheMel,roc_auc,0.7956,0.02
HIV,desc+CheMel,nef1,0.6699,0.0779
HIV,fp+desc+CheMel,roc_auc,0.793,0.0281
HIV,fp+desc+CheMel,nef1,0.706,0.0658
