task,features,metric,mean,std
ESOL,CLMsup,rmse,1.1109,0.143
ESOL,fp+CLMsup,rmse,1.0785,0.1369
ESOL,desc+CLMsup,rmse,0.7517,0.0807
ESOL,fp+desc+CLMsup,rmse,0.7408,0.0796
QM7,CLMsup,rmse,199.8487,3.7003
QM7,fp+CLMsup,rmse,198.3939,3.7955
QM7,desc+CLMsup,rmse,188.5092,3.6357
QM7,fp+desc+CLMsup,rmse,187.4971,4.0941
BBBP,CLMsup,roc_auc,0.9424,0.0096
BBBP,CLMsup,nef1,1.0,0.0
BBBP,fp+CLMsup,roc_auc,0.9448,0.0082
BBBP,fp+CLMsup,nef1,1.0,0.0
BBBP,desc+CLMsup,roc_auc,0.948,0.0112
BBBP,desc+CLMsup,nef1,1.0,0.0
BBBP,fp+desc+CLMsup,roc_auc,0.9479,0.0136
BBBP,fp+desc+CLMsup,nef1,1.0,0.0
BACE,CLMsup,roc_auc,0.8503,0.0149
BACE,CLMsup,nef1,0.95,0.1
BACE,fp+CLMsup,roc_auc,0.856,0.0228
BACE,fp+CLMsup,nef1,0.85,0.1225
BACE,desc+CLMsup,roc_auc,0.8676,0.0093
BACE,desc+CLMsup,nef1,0.95,0.1
BACE,fp+desc+CLMsup,roc_auc,0.8735,0.0091
BACE,fp+desc+CLMsup,nef1,1.0,0.0
Tox21,CLMsup,roc_auc,0.7674,0.0541
Tox21,CLMsup,nef1,0.5573,0.1356
Tox21,fp+CLMsup,roc_auc,0.7816,0.0498
Tox21,fp+CLMsup,nef1,0.6231,0.1442
Tox21,desc+CLMsup,roc_auc,0.8025,0.0532
Tox21,desc+CLMsup,nef1,0.6865,0.1406
Tox21,fp+desc+CLMsup,roc_auc,0.8039,0.0507
Tox21,fp+desc+CLMsup,nef1,0.7033,0.1376
HIV,CLMsup,roc_auc,0.7738,0.0317
HIV,CLMsup,nef1,0.6458,0.0701
HIV,fp+CLMsup,roc_auc,0.7987,0.0272
HIV,fp+CLMsup,nef1,0.6795,0.0844
HIV,desc+CLMsup,roc_auc,0.8089,0.0327
HIV,desc+CLMsup,nef1,0.6795,0.0583
HIV,fp+desc+CLMsup,roc_auc,0.815,0.0277
HIV,fp+desc+CLMsup,nef1,0.6867,0.0831
