task,features,metric,fold,value
ESOL,CLMsup,rmse,0,1.182365
ESOL,CLMsup,rmse,1,1.311482
ESOL,CLMsup,rmse,2,1.113211
ESOL,CLMsup,rmse,3,1.072239
ESOL,CLMsup,rmse,4,0.875418
ESOL,fp+CLMsup,rmse,0,1.06808
ESOL,fp+CLMsup,rmse,1,1.325613
ESOL,fp+CLMsup,rmse,2,1.03783
ESOL,fp+CLMsup,rmse,3,1.056665
ESOL,fp+CLMsup,rmse,4,0.904165
ESOL,desc+CLMsup,rmse,0,0.710441
ESOL,desc+CLMsup,rmse,1,0.909566
ESOL,desc+CLMsup,rmse,2,0.681871
ESOL,desc+CLMsup,rmse,3,0.726936
ESOL,desc+CLMsup,rmse,4,0.729596
ESOL,fp+desc+CLMsup,rmse,0,0.686538
ESOL,fp+desc+CLMsup,rmse,1,0.892317
ESOL,fp+desc+CLMsup,rmse,2,0.670239
ESOL,fp+desc+CLMsup,rmse,3,0.74307
ESOL,fp+desc+CLMsup,rmse,4,0.712023
QM7,CLMsup,rmse,0,196.978363
QM7,CLMsup,rmse,1,207.074875
QM7,CLMsup,rmse,2,199.453278
QM7,CLMsup,rmse,3,197.928864
QM7,CLMsup,rmse,4,197.808182
QM7,fp+CLMsup,rmse,0,196.523285
QM7,fp+CLMsup,rmse,1,205.697632
QM7,fp+CLMsup,rmse,2,197.709259
QM7,fp+CLMsup,rmse,3,194.707596
QM7,fp+CLMsup,rmse,4,197.33168
QM7,desc+CLMsup,rmse,0,186.461838
QM7,desc+CLMsup,rmse,1,195.21312
QM7,desc+CLMsup,rmse,2,188.891663
QM7,desc+CLMsup,rmse,3,184.555374
QM7,desc+CLMsup,rmse,4,187.42395
QM7,fp+desc+CLMsup,rmse,0,185.671371
QM7,fp+desc+CLMsup,rmse,1,194.379364
QM7,fp+desc+CLMsup,rmse,2,187.129807
QM7,fp+desc+CLMsup,rmse,3,181.837479
QM7,fp+desc+CLMsup,rmse,4,188.467331
BBBP,CLMsup,roc_auc,0,0.928377
BBBP,CLMsup,roc_auc,1,0.942875
BBBP,CLMsup,roc_auc,2,0.950162
BBBP,CLMsup,roc_auc,3,0.955154
BBBP,CLMsup,roc_auc,4,0.935671
BBBP,CLMsup,nef1,0,1.0
BBBP,CLMsup,nef1,1,1.0
BBBP,CLMsup,nef1,2,1.0
BBBP,CLMsup,nef1,3,1.0
BBBP,CLMsup,nef1,4,1.0
BBBP,fp+CLMsup,roc_auc,0,0.933182
BBBP,fp+CLMsup,roc_auc,1,0.946187
BBBP,fp+CLMsup,roc_auc,2,0.951299
BBBP,fp+CLMsup,roc_auc,3,0.955216
BBBP,fp+CLMsup,roc_auc,4,0.937999
BBBP,fp+CLMsup,nef1,0,1.0
BBBP,fp+CLMsup,nef1,1,1.0
BBBP,fp+CLMsup,nef1,2,1.0
BBBP,fp+CLMsup,nef1,3,1.0
BBBP,fp+CLMsup,nef1,4,1.0
