task,features,metric,mean,std
ESOL,CheMel,rmse,0.85,0.0596
ESOL,fp+CheMel,rmse,0.8581,0.0706
ESOL,desc+CheMel,rmse,0.7551,0.0535
ESOL,fp+desc+CheMel,rmse,0.7444,0.0565
QM7,CheMel,rmse,197.2076,3.5657
QM7,fp+CheMel,rmse,196.4883,3.9471
QM7,desc+CheMel,rmse,188.4246,4.7713
QM7,fp+desc+CheMel,rmse,187.4621,4.0405
BBBP,CheMel,roc_auc,0.8903,0.0387
BBBP,CheMel,nef1,1.0,0.0
BBBP,fp+CheMel,roc_auc,0.8958,0.033
BBBP,fp+CheMel,nef1,0.96,0.08
BBBP,desc+CheMel,roc_auc,0.904,0.031
BBBP,desc+CheMel,nef1,1.0,0.0
BBBP,fp+desc+CheMel,roc_auc,0.8993,0.0263
BBBP,fp+desc+CheMel,nef1,0.96,0.08
BACE,CheMel,roc_auc,0.872,0.0168
BACE,CheMel,nef1,1.0,0.0
BACE,fp+CheMel,roc_auc,0.8783,0.0116
BACE,fp+CheMel,nef1,1.0,0.0
BACE,desc+CheMel,roc_auc,0.8744,0.0081
BACE,desc+CheMel,nef1,0.95,0.1
BACE,fp+desc+CheMel,roc_auc,0.8803,0.0099
BACE,fp+desc+CheMel,nef1,1.0,0.0
Tox21,CheMel,roc_auc,0.8102,0.0353
Tox21,CheMel,nef1,0.6909,0.1406
Tox21,fp+CheMel,roc_auc,0.81,0.0382
Tox21,fp+CheMel,nef1,0.7149,0.1235
Tox21,desc+CheMel,roc_auc,0.8089,0.045
Tox21,desc+CheMel,nef1,0.7059,0.1236
Tox21,fp+desc+CheMel,roc_auc,0.8103,0.0411
Tox21,fp+desc+CheMel,nef1,0.7095,0.1357
HIV,CheMel,roc_auc,0.8047,0.0236
HIV,CheMel,nef1,0.7181,0.0598
HIV,fp+CheMel,roc_auc,0.8125,0.0224
HIV,fp+CheMel,nef1,0.7181,0.0537
HIV,desc+CheMel,roc_auc,0.809,0.0285
HIV,desc+CheMel,nef1,0.7277,0.0442
HIV,fp+desc+CheMel,roc_auc,0.8124,0.0214
HIV,fp+desc+CheMel,nef1,0.7301,0.0378
