task,features,metric,fold,value
ESOL,CheMel,rmse,0,0.823397
ESOL,CheMel,rmse,1,0.95309
ESOL,CheMel,rmse,2,0.878541
ESOL,CheMel,rmse,3,0.804057
ESOL,CheMel,rmse,4,0.790973
ESOL,fp+CheMel,rmse,0,0.837425
ESOL,fp+CheMel,rmse,1,0.98852
ESOL,fp+CheMel,rmse,2,0.855607
ESOL,fp+CheMel,rmse,3,0.834232
ESOL,fp+CheMel,rmse,4,0.774817
ESOL,desc+CheMel,rmse,0,0.72158
ESOL,desc+CheMel,rmse,1,0.859126
ESOL,desc+CheMel,rmse,2,0.731348
ESOL,desc+CheMel,rmse,3,0.750251
ESOL,desc+CheMel,rmse,4,0.713104
ESOL,fp+desc+CheMel,rmse,0,0.716122
ESOL,fp+desc+CheMel,rmse,1,0.856262
ESOL,fp+desc+CheMel,rmse,2,0.703268
ESOL,fp+desc+CheMel,rmse,3,0.728494
ESOL,fp+desc+CheMel,rmse,4,0.718054
QM7,CheMel,rmse,0,195.148865
QM7,CheMel,rmse,1,203.506516
QM7,CheMel,rmse,2,197.245392
QM7,CheMel,rmse,3,192.776886
QM7,CheMel,rmse,4,197.360291
QM7,fp+CheMel,rmse,0,193.379684
QM7,fp+CheMel,rmse,1,203.071976
QM7,fp+CheMel,rmse,2,198.484482
QM7,fp+CheMel,rmse,3,192.029526
QM7,fp+CheMel,rmse,4,195.475784
QM7,desc+CheMel,rmse,0,186.447662
QM7,desc+CheMel,rmse,1,196.179031
QM7,desc+CheMel,rmse,2,190.012085
QM7,desc+CheMel,rmse,3,181.568207
QM7,desc+CheMel,rmse,4,187.916138
QM7,fp+desc+CheMel,rmse,0,185.228378
QM7,fp+desc+CheMel,rmse,1,194.51767
QM7,fp+desc+CheMel,rmse,2,188.176575
QM7,fp+desc+CheMel,rmse,3,182.346283
QM7,fp+desc+CheMel,rmse,4,187.041367
BBBP,CheMel,roc_auc,0,0.844253
BBBP,CheMel,roc_auc,1,0.844837
BBBP,CheMel,roc_auc,2,0.936218
BBBP,CheMel,roc_auc,3,0.921867
BBBP,CheMel,roc_auc,4,0.904432
BBBP,CheMel,nef1,0,1.0
BBBP,CheMel,nef1,1,1.0
BBBP,CheMel,nef1,2,1.0
BBBP,CheMel,nef1,3,1.0
BBBP,CheMel,nef1,4,1.0
BBBP,fp+CheMel,roc_auc,0,0.865146
BBBP,fp+CheMel,roc_auc,1,0.856921
BBBP,fp+CheMel,roc_auc,2,0.944269
BBBP,fp+CheMel,roc_auc,3,0.920818
BBBP,fp+CheMel,roc_auc,4,0.891982
BBBP,fp+CheMel,nef1,0,1.0
BBBP,fp+CheMel,nef1,1,1.0
BBBP,fp+CheMel,nef1,2,1.0
BBBP,fp+CheMel,nef1,3,1.0
BBBP,fp+CheMel,nef1,4,0.8
BBBP,desc+CheMel,roc_auc,0,0.861753
BBBP,desc+CheMel,roc_auc,1,0.874198
BBBP,desc+CheMel,roc_auc,2,0.943393
BBBP,desc+CheMel,roc_auc,3,0.925231
