task,features,metric,mean,std
ESOL,fp,rmse,1.5113,0.3078
ESOL,desc,rmse,0.7327,0.0377
ESOL,fp+desc,rmse,0.7325,0.045
QM7,fp,rmse,216.341,2.2477
QM7,desc,rmse,187.3845,4.4786
QM7,fp+desc,rmse,186.6094,4.6501
BBBP,fp,roc_auc,0.8822,0.0191
BBBP,fp,nef1,0.96,0.08
BBBP,desc,roc_auc,0.899,0.0307
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8967,0.0293
BBBP,fp+desc,nef1,1.0,0.0
BACE,fp,roc_auc,0.8743,0.0189
BACE,fp,nef1,1.0,0.0
BACE,desc,roc_auc,0.8746,0.0093
BACE,desc,nef1,0.95,0.1
BACE,fp+desc,roc_auc,0.8744,0.0102
BACE,fp+desc,nef1,0.95,0.1
Tox21,fp,roc_auc,0.7684,0.0393
Tox21,fp,nef1,0.5968,0.1565
Tox21,desc,roc_auc,0.8023,0.0509
Tox21,desc,nef1,0.6884,0.112
Tox21,fp+desc,roc_auc,0.8051,0.0503
Tox21,fp+desc,nef1,0.7104,0.1313
HIV,fp,roc_auc,0.8033,0.0281
HIV,fp,nef1,0.7133,0.0811
HIV,desc,roc_auc,0.805,0.028
HIV,desc,nef1,0.694,0.0486
HIV,fp+desc,roc_auc,0.8121,0.0277
HIV,fp+desc,nef1,0.7108,0.0595
