task,features,metric,fold,value
ESOL,fp,rmse,0,2.012422
ESOL,fp,rmse,1,1.708354
ESOL,fp,rmse,2,1.391228
ESOL,fp,rmse,3,1.18728
ESOL,fp,rmse,4,1.257339
ESOL,desc,rmse,0,0.728517
ESOL,desc,rmse,1,0.79641
ESOL,desc,rmse,2,0.680594
ESOL,desc,rmse,3,0.740978
ESOL,desc,rmse,4,0.717047
ESOL,fp+desc,rmse,0,0.683671
ESOL,fp+desc,rmse,1,0.815761
ESOL,fp+desc,rmse,2,0.705073
ESOL,fp+desc,rmse,3,0.724334
ESOL,fp+desc,rmse,4,0.733576
QM7,fp,rmse,0,215.067673
QM7,fp,rmse,1,220.564316
QM7,fp,rmse,2,216.365265
QM7,fp,rmse,3,215.684494
QM7,fp,rmse,4,214.023254
QM7,desc,rmse,0,186.149658
QM7,desc,rmse,1,194.912796
QM7,desc,rmse,2,187.968643
QM7,desc,rmse,3,180.937714
QM7,desc,rmse,4,186.953629
QM7,fp+desc,rmse,0,185.024734
QM7,fp+desc,rmse,1,194.344391
QM7,fp+desc,rmse,2,187.45491
QM7,fp+desc,rmse,3,179.902786
QM7,fp+desc,rmse,4,186.320038
BBBP,fp,roc_auc,0,0.856088
BBBP,fp,roc_auc,1,0.874872
BBBP,fp,roc_auc,2,0.914724
BBBP,fp,roc_auc,3,0.885972
BBBP,fp,roc_auc,4,0.8794
BBBP,fp,nef1,0,1.0
BBBP,fp,nef1,1,1.0
BBBP,fp,nef1,2,1.0
BBBP,fp,nef1,3,0.8
BBBP,fp,nef1,4,1.0
BBBP,desc,roc_auc,0,0.872029
BBBP,desc,roc_auc,1,0.853404
BBBP,desc,roc_auc,2,0.932338
BBBP,desc,roc_auc,3,0.922639
BBBP,desc,roc_auc,4,0.914421
BBBP,desc,nef1,0,1.0
BBBP,desc,nef1,1,1.0
BBBP,desc,nef1,2,1.0
BBBP,desc,nef1,3,1.0
BBBP,desc,nef1,4,1.0
BBBP,fp+desc,roc_auc,0,0.868912
BBBP,fp+desc,roc_auc,1,0.854386
BBBP,fp+desc,roc_auc,2,0.924464
BBBP,fp+desc,roc_auc,3,0.923318
BBBP,fp+desc,roc_auc,4,0.912275
BBBP,fp+desc,nef1,0,1.0
BBBP,fp+desc,nef1,1,1.0
BBBP,fp+desc,nef1,2,1.0
BBBP,fp+desc,nef1,3,1.0
BBBP,fp+desc,nef1,4,1.0
BACE,fp,roc_auc,0,0.876149
BACE,fp,roc_auc,1,0.856494
BACE,fp,roc_auc,2,0.8507
BACE,fp,roc_auc,3,0.902075
BACE,fp,roc_auc,4,0.886133
BACE,fp,nef1,0,1.0
BACE,fp,nef1,1,1.0
BACE,fp,nef1,2,1.0
BACE,fp,nef1,3,1.0
BACE,fp,nef1,4,1.0
BACE,desc,roc_auc,0,0.881972
BACE,desc,roc_auc,1,0.88573
BACE,desc,roc_auc,2,0.859982
BACE,desc,roc_auc,3,0.868794
BACE,desc,roc_auc,4,0.876631
BACE,desc,nef1,0,1.0
BACE,desc,nef1,1,0.75
BACE,desc,nef1,2,1.0
BACE,desc,nef1,3,1.0
BACE,desc,nef1,4,1.0
BACE,fp+desc,roc_auc,0,0.886284
BACE,fp+desc,roc_auc,1,0.886764
BACE,fp+desc,roc_auc,2,0.863008
BACE,fp+desc,roc_auc,3,0.870534
BACE,fp+desc,roc_auc,4,0.865234
BACE,fp+desc,nef1,0,1.0
BACE,fp+desc,nef1,1,0.75
BACE,fp+desc,nef1,2,1.0
BACE,fp+desc,nef1,3,1.0
BACE,fp+desc,nef1,4,1.0
Tox21,fp,roc_auc,0,0.68991
Tox21,fp,roc_auc,1,0.790785
Tox21,fp,roc_auc,2,0.790542
Tox21,fp,roc_auc,3,0.782572
Tox21,fp,roc_auc,4,0.787963
Tox21,fp,nef1,0,0.292155
Tox21,fp,nef1,1,0.711126
Tox21,fp,nef1,2,0.709492
Tox21,fp,nef1,3,0.657158
Tox21,fp,nef1,4,0.613965
Tox21,desc,roc_auc,0,0.701698
Tox21,desc,roc_auc,1,0.842242
Tox21,desc,roc_auc,2,0.825067
Tox21,desc,roc_auc,3,0.825128
Tox21,desc,roc_auc,4,0.817188
Tox21,desc,nef1,0,0.471398
Tox21,desc,nef1,1,0.763767
Tox21,desc,nef1,2,0.782218
Tox21,desc,nef1,3,0.71424
Tox21,desc,nef1,4,0.710363
Tox21,fp+desc,roc_auc,0,0.705847
Tox21,fp+desc,roc_auc,1,0.844077
Tox21,fp+desc,roc_auc,2,0.831052
Tox21,fp+desc,roc_auc,3,0.822486
Tox21,fp+desc,roc_auc,4,0.821829
Tox21,fp+desc,nef1,0,0.448718
Tox21,fp+desc,nef1,1,0.764759
Tox21,fp+desc,nef1,2,0.797913
Tox21,fp+desc,nef1,3,0.768971
Tox21,fp+desc,nef1,4,0.771459
