task,features,metric,fold,value
MoleculeACE,CLMsup,rmse,CHEMBL1862_Ki,0.90844
MoleculeACE,fp+CLMsup,rmse,CHEMBL1862_Ki,0.809275
MoleculeACE,desc+CLMsup,rmse,CHEMBL1862_Ki,0.766698
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL1862_Ki,0.764661
MoleculeACE,CLMsup,rmse,CHEMBL1871_Ki,0.733074
MoleculeACE,fp+CLMsup,rmse,CHEMBL1871_Ki,0.73835
MoleculeACE,desc+CLMsup,rmse,CHEMBL1871_Ki,0.677825
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL1871_Ki,0.695436
MoleculeACE,CLMsup,rmse,CHEMBL2034_Ki,0.718965
MoleculeACE,fp+CLMsup,rmse,CHEMBL2034_Ki,0.726119
MoleculeACE,desc+CLMsup,rmse,CHEMBL2034_Ki,0.646997
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL2034_Ki,0.659965
MoleculeACE,CLMsup,rmse,CHEMBL2047_EC50,0.696104
MoleculeACE,fp+CLMsup,rmse,CHEMBL2047_EC50,0.685652
MoleculeACE,desc+CLMsup,rmse,CHEMBL2047_EC50,0.652562
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL2047_EC50,0.67921
MoleculeACE,CLMsup,rmse,CHEMBL204_Ki,0.891851
MoleculeACE,fp+CLMsup,rmse,CHEMBL204_Ki,0.804563
MoleculeACE,desc+CLMsup,rmse,CHEMBL204_Ki,0.792841
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL204_Ki,0.760881
MoleculeACE,CLMsup,rmse,CHEMBL2147_Ki,0.88149
MoleculeACE,fp+CLMsup,rmse,CHEMBL2147_Ki,0.699491
MoleculeACE,desc+CLMsup,rmse,CHEMBL2147_Ki,0.722366
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL2147_Ki,0.677584
MoleculeACE,CLMsup,rmse,CHEMBL214_Ki,0.826634
MoleculeACE,fp+CLMsup,rmse,CHEMBL214_Ki,0.73702
MoleculeACE,desc+CLMsup,rmse,CHEMBL214_Ki,0.71915
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL214_Ki,0.693889
MoleculeACE,CLMsup,rmse,CHEMBL218_EC50,0.7883
MoleculeACE,fp+CLMsup,rmse,CHEMBL218_EC50,0.743973
MoleculeACE,desc+CLMsup,rmse,CHEMBL218_EC50,0.738905
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL218_EC50,0.741927
MoleculeACE,CLMsup,rmse,CHEMBL219_Ki,0.832839
MoleculeACE,fp+CLMsup,rmse,CHEMBL219_Ki,0.776835
MoleculeACE,desc+CLMsup,rmse,CHEMBL219_Ki,0.756518
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL219_Ki,0.771522
MoleculeACE,CLMsup,rmse,CHEMBL228_Ki,0.839509
MoleculeACE,fp+CLMsup,rmse,CHEMBL228_Ki,0.79852
MoleculeACE,desc+CLMsup,rmse,CHEMBL228_Ki,0.761354
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL228_Ki,0.755554
MoleculeACE,CLMsup,rmse,CHEMBL231_Ki,0.799214
MoleculeACE,fp+CLMsup,rmse,CHEMBL231_Ki,0.765193
MoleculeACE,desc+CLMsup,rmse,CHEMBL231_Ki,0.716872
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL231_Ki,0.746098
MoleculeACE,CLMsup,rmse,CHEMBL233_Ki,0.904986
MoleculeACE,fp+CLMsup,rmse,CHEMBL233_Ki,0.833348
MoleculeACE,desc+CLMsup,rmse,CHEMBL233_Ki,0.825799
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL233_Ki,0.799752
MoleculeACE,CLMsup,rmse,CHEMBL234_Ki,0.772173
MoleculeACE,fp+CLMsup,rmse,CHEMBL234_Ki,0.71247
MoleculeACE,desc+CLMsup,rmse,CHEMBL234_Ki,0.713681
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL234_Ki,0.700449
MoleculeACE,CLMsup,rmse,CHEMBL235_EC50,0.736343
MoleculeACE,fp+CLMsup,rmse,CHEMBL235_EC50,0.678039
MoleculeACE,desc+CLMsup,rmse,CHEMBL235_EC50,0.655441
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL235_EC50,0.656619
MoleculeACE,CLMsup,rmse,CHEMBL236_Ki,0.887204
MoleculeACE,fp+CLMsup,rmse,CHEMBL236_Ki,0.779766
MoleculeACE,desc+CLMsup,rmse,CHEMBL236_Ki,0.778339
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL236_Ki,0.766162
MoleculeACE,CLMsup,rmse,CHEMBL237_EC50,0.86566
MoleculeACE,fp+CLMsup,rmse,CHEMBL237_EC50,0.816157
MoleculeACE,desc+CLMsup,rmse,CHEMBL237_EC50,0.820963
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL237_EC50,0.802571
MoleculeACE,CLMsup,rmse,CHEMBL237_Ki,0.845063
MoleculeACE,fp+CLMsup,rmse,CHEMBL237_Ki,0.772796
MoleculeACE,desc+CLMsup,rmse,CHEMBL237_Ki,0.748929
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL237_Ki,0.730122
MoleculeACE,CLMsup,rmse,CHEMBL238_Ki,0.735472
MoleculeACE,fp+CLMsup,rmse,CHEMBL238_Ki,0.726962
MoleculeACE,desc+CLMsup,rmse,CHEMBL238_Ki,0.699973
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL238_Ki,0.68309
MoleculeACE,CLMsup,rmse,CHEMBL239_EC50,0.813957
MoleculeACE,fp+CLMsup,rmse,CHEMBL239_EC50,0.764274
MoleculeACE,desc+CLMsup,rmse,CHEMBL239_EC50,0.741134
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL239_EC50,0.754811
MoleculeACE,CLMsup,rmse,CHEMBL244_Ki,0.925068
MoleculeACE,fp+CLMsup,rmse,CHEMBL244_Ki,0.821016
