task,features,metric,fold,value
MoleculeACE,CLMunsup,rmse,CHEMBL1862_Ki,0.945908
MoleculeACE,fp+CLMunsup,rmse,CHEMBL1862_Ki,0.804784
MoleculeACE,desc+CLMunsup,rmse,CHEMBL1862_Ki,0.777218
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL1862_Ki,0.762078
MoleculeACE,CLMunsup,rmse,CHEMBL1871_Ki,0.761356
MoleculeACE,fp+CLMunsup,rmse,CHEMBL1871_Ki,0.750634
MoleculeACE,desc+CLMunsup,rmse,CHEMBL1871_Ki,0.725839
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL1871_Ki,0.721252
MoleculeACE,CLMunsup,rmse,CHEMBL2034_Ki,0.73646
MoleculeACE,fp+CLMunsup,rmse,CHEMBL2034_Ki,0.737662
MoleculeACE,desc+CLMunsup,rmse,CHEMBL2034_Ki,0.659889
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL2034_Ki,0.680292
MoleculeACE,CLMunsup,rmse,CHEMBL2047_EC50,0.702864
MoleculeACE,fp+CLMunsup,rmse,CHEMBL2047_EC50,0.682311
MoleculeACE,desc+CLMunsup,rmse,CHEMBL2047_EC50,0.68795
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL2047_EC50,0.651472
MoleculeACE,CLMunsup,rmse,CHEMBL204_Ki,0.93384
MoleculeACE,fp+CLMunsup,rmse,CHEMBL204_Ki,0.830233
MoleculeACE,desc+CLMunsup,rmse,CHEMBL204_Ki,0.82003
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL204_Ki,0.771826
MoleculeACE,CLMunsup,rmse,CHEMBL2147_Ki,0.910747
MoleculeACE,fp+CLMunsup,rmse,CHEMBL2147_Ki,0.701476
MoleculeACE,desc+CLMunsup,rmse,CHEMBL2147_Ki,0.711261
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL2147_Ki,0.670065
MoleculeACE,CLMunsup,rmse,CHEMBL214_Ki,0.794059
MoleculeACE,fp+CLMunsup,rmse,CHEMBL214_Ki,0.751468
MoleculeACE,desc+CLMunsup,rmse,CHEMBL214_Ki,0.722607
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL214_Ki,0.690032
MoleculeACE,CLMunsup,rmse,CHEMBL218_EC50,0.80747
MoleculeACE,fp+CLMunsup,rmse,CHEMBL218_EC50,0.783456
MoleculeACE,desc+CLMunsup,rmse,CHEMBL218_EC50,0.751022
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL218_EC50,0.739331
MoleculeACE,CLMunsup,rmse,CHEMBL219_Ki,0.883718
MoleculeACE,fp+CLMunsup,rmse,CHEMBL219_Ki,0.844066
MoleculeACE,desc+CLMunsup,rmse,CHEMBL219_Ki,0.775449
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL219_Ki,0.782337
MoleculeACE,CLMunsup,rmse,CHEMBL228_Ki,0.895006
MoleculeACE,fp+CLMunsup,rmse,CHEMBL228_Ki,0.822369
MoleculeACE,desc+CLMunsup,rmse,CHEMBL228_Ki,0.764345
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL228_Ki,0.733201
MoleculeACE,CLMunsup,rmse,CHEMBL231_Ki,0.848687
MoleculeACE,fp+CLMunsup,rmse,CHEMBL231_Ki,0.862033
MoleculeACE,desc+CLMunsup,rmse,CHEMBL231_Ki,0.738329
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL231_Ki,0.718756
MoleculeACE,CLMunsup,rmse,CHEMBL233_Ki,0.90735
MoleculeACE,fp+CLMunsup,rmse,CHEMBL233_Ki,0.863104
MoleculeACE,desc+CLMunsup,rmse,CHEMBL233_Ki,0.805945
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL233_Ki,0.778576
MoleculeACE,CLMunsup,rmse,CHEMBL234_Ki,0.798182
MoleculeACE,fp+CLMunsup,rmse,CHEMBL234_Ki,0.699919
MoleculeACE,desc+CLMunsup,rmse,CHEMBL234_Ki,0.717306
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL234_Ki,0.697306
MoleculeACE,CLMunsup,rmse,CHEMBL235_EC50,0.714399
MoleculeACE,fp+CLMunsup,rmse,CHEMBL235_EC50,0.682974
MoleculeACE,desc+CLMunsup,rmse,CHEMBL235_EC50,0.666256
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL235_EC50,0.66991
MoleculeACE,CLMunsup,rmse,CHEMBL236_Ki,0.853735
MoleculeACE,fp+CLMunsup,rmse,CHEMBL236_Ki,0.780799
MoleculeACE,desc+CLMunsup,rmse,CHEMBL236_Ki,0.773558
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL236_Ki,0.75596
MoleculeACE,CLMunsup,rmse,CHEMBL237_EC50,0.890747
MoleculeACE,fp+CLMunsup,rmse,CHEMBL237_EC50,0.847997
MoleculeACE,desc+CLMunsup,rmse,CHEMBL237_EC50,0.839609
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL237_EC50,0.790854
MoleculeACE,CLMunsup,rmse,CHEMBL237_Ki,0.862378
MoleculeACE,fp+CLMunsup,rmse,CHEMBL237_Ki,0.783389
