task,features,metric,fold,value
MoleculeACE,CheMel,rmse,CHEMBL1862_Ki,0.761152
MoleculeACE,fp+CheMel,rmse,CHEMBL1862_Ki,0.744416
MoleculeACE,desc+CheMel,rmse,CHEMBL1862_Ki,0.742459
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL1862_Ki,0.732271
MoleculeACE,CheMel,rmse,CHEMBL1871_Ki,0.67375
MoleculeACE,fp+CheMel,rmse,CHEMBL1871_Ki,0.692589
MoleculeACE,desc+CheMel,rmse,CHEMBL1871_Ki,0.675197
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL1871_Ki,0.70909
MoleculeACE,CheMel,rmse,CHEMBL2034_Ki,0.672716
MoleculeACE,fp+CheMel,rmse,CHEMBL2034_Ki,0.671984
MoleculeACE,desc+CheMel,rmse,CHEMBL2034_Ki,0.652991
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL2034_Ki,0.644952
MoleculeACE,CheMel,rmse,CHEMBL2047_EC50,0.677173
MoleculeACE,fp+CheMel,rmse,CHEMBL2047_EC50,0.653272
MoleculeACE,desc+CheMel,rmse,CHEMBL2047_EC50,0.659743
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL2047_EC50,0.652998
MoleculeACE,CheMel,rmse,CHEMBL204_Ki,0.77188
MoleculeACE,fp+CheMel,rmse,CHEMBL204_Ki,0.767629
MoleculeACE,desc+CheMel,rmse,CHEMBL204_Ki,0.750859
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL204_Ki,0.760626
MoleculeACE,CheMel,rmse,CHEMBL2147_Ki,0.706548
MoleculeACE,fp+CheMel,rmse,CHEMBL2147_Ki,0.654871
MoleculeACE,desc+CheMel,rmse,CHEMBL2147_Ki,0.6752
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL2147_Ki,0.675268
MoleculeACE,CheMel,rmse,CHEMBL214_Ki,0.688185
MoleculeACE,fp+CheMel,rmse,CHEMBL214_Ki,0.67902
MoleculeACE,desc+CheMel,rmse,CHEMBL214_Ki,0.664636
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL214_Ki,0.696625
MoleculeACE,CheMel,rmse,CHEMBL218_EC50,0.709341
MoleculeACE,fp+CheMel,rmse,CHEMBL218_EC50,0.68003
MoleculeACE,desc+CheMel,rmse,CHEMBL218_EC50,0.659173
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL218_EC50,0.68953
MoleculeACE,CheMel,rmse,CHEMBL219_Ki,0.739929
MoleculeACE,fp+CheMel,rmse,CHEMBL219_Ki,0.71902
MoleculeACE,desc+CheMel,rmse,CHEMBL219_Ki,0.750851
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL219_Ki,0.714652
MoleculeACE,CheMel,rmse,CHEMBL228_Ki,0.672388
MoleculeACE,fp+CheMel,rmse,CHEMBL228_Ki,0.69254
MoleculeACE,desc+CheMel,rmse,CHEMBL228_Ki,0.684917
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL228_Ki,0.687043
MoleculeACE,CheMel,rmse,CHEMBL231_Ki,0.689667
MoleculeACE,fp+CheMel,rmse,CHEMBL231_Ki,0.69783
MoleculeACE,desc+CheMel,rmse,CHEMBL231_Ki,0.715334
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL231_Ki,0.706942
MoleculeACE,CheMel,rmse,CHEMBL233_Ki,0.77305
MoleculeACE,fp+CheMel,rmse,CHEMBL233_Ki,0.767705
MoleculeACE,desc+CheMel,rmse,CHEMBL233_Ki,0.788188
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL233_Ki,0.768574
MoleculeACE,CheMel,rmse,CHEMBL234_Ki,0.683325
MoleculeACE,fp+CheMel,rmse,CHEMBL234_Ki,0.691292
MoleculeACE,desc+CheMel,rmse,CHEMBL234_Ki,0.687388
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL234_Ki,0.676202
MoleculeACE,CheMel,rmse,CHEMBL235_EC50,0.639439
MoleculeACE,fp+CheMel,rmse,CHEMBL235_EC50,0.648343
MoleculeACE,desc+CheMel,rmse,CHEMBL235_EC50,0.646231
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL235_EC50,0.639598
MoleculeACE,CheMel,rmse,CHEMBL236_Ki,0.730765
MoleculeACE,fp+CheMel,rmse,CHEMBL236_Ki,0.742518
MoleculeACE,desc+CheMel,rmse,CHEMBL236_Ki,0.747625
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL236_Ki,0.73604
MoleculeACE,CheMel,rmse,CHEMBL237_EC50,0.755305
MoleculeACE,fp+CheMel,rmse,CHEMBL237_EC50,0.754563
MoleculeACE,desc+CheMel,rmse,CHEMBL237_EC50,0.792649
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL237_EC50,0.728452
MoleculeACE,CheMel,rmse,CHEMBL237_Ki,0.733372
MoleculeACE,fp+CheMel,rmse,CHEMBL237_Ki,0.722201
MoleculeACE,desc+CheMel,rmse,CHEMBL237_Ki,0.734748
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL237_Ki,0.730518
MoleculeACE,CheMel,rmse,CHEMBL238_Ki,0.679098
MoleculeACE,fp+CheMel,rmse,CHEMBL238_Ki,0.657961
MoleculeACE,desc+CheMel,rmse,CHEMBL238_Ki,0.68891
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL238_Ki,0.669782
MoleculeACE,CheMel,rmse,CHEMBL239_EC50,0.727787
MoleculeACE,fp+CheMel,rmse,CHEMBL239_EC50,0.718416
MoleculeACE,desc+CheMel,rmse,CHEMBL239_EC50,0.713458
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL239_EC50,0.698717
MoleculeACE,CheMel,rmse,CHEMBL244_Ki,0.775379
MoleculeACE,fp+CheMel,rmse,CHEMBL244_Ki,0.772152
MoleculeACE,desc+CheMel,rmse,CHEMBL244_Ki,0.769801
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL244_Ki,0.773624
MoleculeACE,CheMel,rmse,CHEMBL262_Ki,0.782185
