task,features,metric,fold,value
MoleculeACE,fp,rmse,CHEMBL1862_Ki,0.84551
MoleculeACE,desc,rmse,CHEMBL1862_Ki,0.785502
MoleculeACE,fp+desc,rmse,CHEMBL1862_Ki,0.749794
MoleculeACE,fp,rmse,CHEMBL1871_Ki,0.718361
MoleculeACE,desc,rmse,CHEMBL1871_Ki,0.702082
MoleculeACE,fp+desc,rmse,CHEMBL1871_Ki,0.729062
MoleculeACE,fp,rmse,CHEMBL2034_Ki,0.753366
MoleculeACE,desc,rmse,CHEMBL2034_Ki,0.670413
MoleculeACE,fp+desc,rmse,CHEMBL2034_Ki,0.652321
MoleculeACE,fp,rmse,CHEMBL2047_EC50,0.597866
MoleculeACE,desc,rmse,CHEMBL2047_EC50,0.673805
MoleculeACE,fp+desc,rmse,CHEMBL2047_EC50,0.657522
MoleculeACE,fp,rmse,CHEMBL204_Ki,0.763783
MoleculeACE,desc,rmse,CHEMBL204_Ki,0.787826
MoleculeACE,fp+desc,rmse,CHEMBL204_Ki,0.7447
MoleculeACE,fp,rmse,CHEMBL2147_Ki,0.655453
MoleculeACE,desc,rmse,CHEMBL2147_Ki,0.676835
MoleculeACE,fp+desc,rmse,CHEMBL2147_Ki,0.667492
MoleculeACE,fp,rmse,CHEMBL214_Ki,0.693783
MoleculeACE,desc,rmse,CHEMBL214_Ki,0.708737
MoleculeACE,fp+desc,rmse,CHEMBL214_Ki,0.680199
MoleculeACE,fp,rmse,CHEMBL218_EC50,0.722555
MoleculeACE,desc,rmse,CHEMBL218_EC50,0.737969
MoleculeACE,fp+desc,rmse,CHEMBL218_EC50,0.706165
MoleculeACE,fp,rmse,CHEMBL219_Ki,0.739577
MoleculeACE,desc,rmse,CHEMBL219_Ki,0.773849
MoleculeACE,fp+desc,rmse,CHEMBL219_Ki,0.764134
MoleculeACE,fp,rmse,CHEMBL228_Ki,0.688227
MoleculeACE,desc,rmse,CHEMBL228_Ki,0.713993
MoleculeACE,fp+desc,rmse,CHEMBL228_Ki,0.712504
MoleculeACE,fp,rmse,CHEMBL231_Ki,0.751567
MoleculeACE,desc,rmse,CHEMBL231_Ki,0.724741
MoleculeACE,fp+desc,rmse,CHEMBL231_Ki,0.727058
MoleculeACE,fp,rmse,CHEMBL233_Ki,0.802754
MoleculeACE,desc,rmse,CHEMBL233_Ki,0.788509
MoleculeACE,fp+desc,rmse,CHEMBL233_Ki,0.768776
MoleculeACE,fp,rmse,CHEMBL234_Ki,0.651878
MoleculeACE,desc,rmse,CHEMBL234_Ki,0.705365
MoleculeACE,fp+desc,rmse,CHEMBL234_Ki,0.67891
MoleculeACE,fp,rmse,CHEMBL235_EC50,0.683559
MoleculeACE,desc,rmse,CHEMBL235_EC50,0.668857
MoleculeACE,fp+desc,rmse,CHEMBL235_EC50,0.653185
MoleculeACE,fp,rmse,CHEMBL236_Ki,0.714737
MoleculeACE,desc,rmse,CHEMBL236_Ki,0.762919
MoleculeACE,fp+desc,rmse,CHEMBL236_Ki,0.733109
MoleculeACE,fp,rmse,CHEMBL237_EC50,0.798984
MoleculeACE,desc,rmse,CHEMBL237_EC50,0.816137
MoleculeACE,fp+desc,rmse,CHEMBL237_EC50,0.76568
MoleculeACE,fp,rmse,CHEMBL237_Ki,0.733955
MoleculeACE,desc,rmse,CHEMBL237_Ki,0.737387
MoleculeACE,fp+desc,rmse,CHEMBL237_Ki,0.737437
MoleculeACE,fp,rmse,CHEMBL238_Ki,0.640587
MoleculeACE,desc,rmse,CHEMBL238_Ki,0.701706
MoleculeACE,fp+desc,rmse,CHEMBL238_Ki,0.659242
MoleculeACE,fp,rmse,CHEMBL239_EC50,0.712657
MoleculeACE,desc,rmse,CHEMBL239_EC50,0.729544
MoleculeACE,fp+desc,rmse,CHEMBL239_EC50,0.709935
MoleculeACE,fp,rmse,CHEMBL244_Ki,0.751991
MoleculeACE,desc,rmse,CHEMBL244_Ki,0.78652
MoleculeACE,fp+desc,rmse,CHEMBL244_Ki,0.771208
MoleculeACE,fp,rmse,CHEMBL262_Ki,0.781107
MoleculeACE,desc,rmse,CHEMBL262_Ki,0.80205
MoleculeACE,fp+desc,rmse,CHEMBL262_Ki,0.795427
MoleculeACE,fp,rmse,CHEMBL264_Ki,0.65584
MoleculeACE,desc,rmse,CHEMBL264_Ki,0.60669
MoleculeACE,fp+desc,rmse,CHEMBL264_Ki,0.606245
MoleculeACE,fp,rmse,CHEMBL2835_Ki,0.394299
MoleculeACE,desc,rmse,CHEMBL2835_Ki,0.440391
MoleculeACE,fp+desc,rmse,CHEMBL2835_Ki,0.451807
MoleculeACE,fp,rmse,CHEMBL287_Ki,0.739992
MoleculeACE,desc,rmse,CHEMBL287_Ki,0.667149
MoleculeACE,fp+desc,rmse,CHEMBL287_Ki,0.677245
MoleculeACE,fp,rmse,CHEMBL2971_Ki,0.659239
MoleculeACE,desc,rmse,CHEMBL2971_Ki,0.660326
MoleculeACE,fp+desc,rmse,CHEMBL2971_Ki,0.669784
MoleculeACE,fp,rmse,CHEMBL3979_EC50,0.663027
MoleculeACE,desc,rmse,CHEMBL3979_EC50,0.682807
MoleculeACE,fp+desc,rmse,CHEMBL3979_EC50,0.649931
MoleculeACE,fp,rmse,CHEMBL4005_Ki,0.65628
MoleculeACE,desc,rmse,CHEMBL4005_Ki,0.679237
MoleculeACE,fp+desc,rmse,CHEMBL4005_Ki,0.65236
MoleculeACE,fp,rmse,CHEMBL4203_Ki,0.87301
