task,features,metric,fold,value
MoleculeACE,CLMrand,rmse,CHEMBL1862_Ki,1.032039
MoleculeACE,fp+CLMrand,rmse,CHEMBL1862_Ki,0.807071
MoleculeACE,desc+CLMrand,rmse,CHEMBL1862_Ki,0.863786
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL1862_Ki,0.752759
MoleculeACE,CLMrand,rmse,CHEMBL1871_Ki,0.755934
MoleculeACE,fp+CLMrand,rmse,CHEMBL1871_Ki,0.715754
MoleculeACE,desc+CLMrand,rmse,CHEMBL1871_Ki,0.70914
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL1871_Ki,0.731461
MoleculeACE,CLMrand,rmse,CHEMBL2034_Ki,0.754141
MoleculeACE,fp+CLMrand,rmse,CHEMBL2034_Ki,0.729519
MoleculeACE,desc+CLMrand,rmse,CHEMBL2034_Ki,0.691105
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL2034_Ki,0.701913
MoleculeACE,CLMrand,rmse,CHEMBL2047_EC50,0.754391
MoleculeACE,fp+CLMrand,rmse,CHEMBL2047_EC50,0.743249
MoleculeACE,desc+CLMrand,rmse,CHEMBL2047_EC50,0.75388
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL2047_EC50,0.734336
MoleculeACE,CLMrand,rmse,CHEMBL204_Ki,1.010105
MoleculeACE,fp+CLMrand,rmse,CHEMBL204_Ki,0.838168
MoleculeACE,desc+CLMrand,rmse,CHEMBL204_Ki,0.849702
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL204_Ki,0.819225
MoleculeACE,CLMrand,rmse,CHEMBL2147_Ki,0.894323
MoleculeACE,fp+CLMrand,rmse,CHEMBL2147_Ki,0.730326
MoleculeACE,desc+CLMrand,rmse,CHEMBL2147_Ki,0.738753
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL2147_Ki,0.675032
MoleculeACE,CLMrand,rmse,CHEMBL214_Ki,0.828254
MoleculeACE,fp+CLMrand,rmse,CHEMBL214_Ki,0.72918
MoleculeACE,desc+CLMrand,rmse,CHEMBL214_Ki,0.76294
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL214_Ki,0.718332
MoleculeACE,CLMrand,rmse,CHEMBL218_EC50,0.825911
MoleculeACE,fp+CLMrand,rmse,CHEMBL218_EC50,0.789093
MoleculeACE,desc+CLMrand,rmse,CHEMBL218_EC50,0.74304
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL218_EC50,0.716869
MoleculeACE,CLMrand,rmse,CHEMBL219_Ki,0.944707
MoleculeACE,fp+CLMrand,rmse,CHEMBL219_Ki,0.845069
MoleculeACE,desc+CLMrand,rmse,CHEMBL219_Ki,0.837139
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL219_Ki,0.81242
MoleculeACE,CLMrand,rmse,CHEMBL228_Ki,0.889647
MoleculeACE,fp+CLMrand,rmse,CHEMBL228_Ki,0.801416
MoleculeACE,desc+CLMrand,rmse,CHEMBL228_Ki,0.772486
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL228_Ki,0.73176
MoleculeACE,CLMrand,rmse,CHEMBL231_Ki,0.806528
MoleculeACE,fp+CLMrand,rmse,CHEMBL231_Ki,0.793852
MoleculeACE,desc+CLMrand,rmse,CHEMBL231_Ki,0.74818
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL231_Ki,0.741853
MoleculeACE,CLMrand,rmse,CHEMBL233_Ki,0.952551
MoleculeACE,fp+CLMrand,rmse,CHEMBL233_Ki,0.845157
MoleculeACE,desc+CLMrand,rmse,CHEMBL233_Ki,0.855354
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL233_Ki,0.808417
MoleculeACE,CLMrand,rmse,CHEMBL234_Ki,0.828065
MoleculeACE,fp+CLMrand,rmse,CHEMBL234_Ki,0.710511
MoleculeACE,desc+CLMrand,rmse,CHEMBL234_Ki,0.730781
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL234_Ki,0.698345
MoleculeACE,CLMrand,rmse,CHEMBL235_EC50,0.793838
MoleculeACE,fp+CLMrand,rmse,CHEMBL235_EC50,0.709697
MoleculeACE,desc+CLMrand,rmse,CHEMBL235_EC50,0.706521
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL235_EC50,0.665049
MoleculeACE,CLMrand,rmse,CHEMBL236_Ki,0.907914
MoleculeACE,fp+CLMrand,rmse,CHEMBL236_Ki,0.778725
MoleculeACE,desc+CLMrand,rmse,CHEMBL236_Ki,0.783561
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL236_Ki,0.75477
MoleculeACE,CLMrand,rmse,CHEMBL237_EC50,0.912632
MoleculeACE,fp+CLMrand,rmse,CHEMBL237_EC50,0.82765
MoleculeACE,desc+CLMrand,rmse,CHEMBL237_EC50,0.898597
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL237_EC50,0.798921
MoleculeACE,CLMrand,rmse,CHEMBL237_Ki,0.87687
MoleculeACE,fp+CLMrand,rmse,CHEMBL237_Ki,0.794976
MoleculeACE,desc+CLMrand,rmse,CHEMBL237_Ki,0.775599
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL237_Ki,0.753062
MoleculeACE,CLMrand,rmse,CHEMBL238_Ki,0.839289
MoleculeACE,fp+CLMrand,rmse,CHEMBL238_Ki,0.73355
MoleculeACE,desc+CLMrand,rmse,CHEMBL238_Ki,0.745225
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL238_Ki,0.701376
MoleculeACE,CLMrand,rmse,CHEMBL239_EC50,0.806568
MoleculeACE,fp+CLMrand,rmse,CHEMBL239_EC50,0.74812
MoleculeACE,desc+CLMrand,rmse,CHEMBL239_EC50,0.751142
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL239_EC50,0.745398
MoleculeACE,CLMrand,rmse,CHEMBL244_Ki,0.991558
MoleculeACE,fp+CLMrand,rmse,CHEMBL244_Ki,0.838941
MoleculeACE,desc+CLMrand,rmse,CHEMBL244_Ki,0.862421
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL244_Ki,0.808021
MoleculeACE,CLMrand,rmse,CHEMBL262_Ki,0.89198
MoleculeACE,fp+CLMrand,rmse,CHEMBL262_Ki,0.84581
MoleculeACE,desc+CLMrand,rmse,CHEMBL262_Ki,0.785943
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL262_Ki,0.78511
MoleculeACE,CLMrand,rmse,CHEMBL264_Ki,0.77279
MoleculeACE,fp+CLMrand,rmse,CHEMBL264_Ki,0.682472
MoleculeACE,desc+CLMrand,rmse,CHEMBL264_Ki,0.662682
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL264_Ki,0.647583
MoleculeACE,CLMrand,rmse,CHEMBL2835_Ki,0.469645
MoleculeACE,fp+CLMrand,rmse,CHEMBL2835_Ki,0.455571
MoleculeACE,desc+CLMrand,rmse,CHEMBL2835_Ki,0.458624
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL2835_Ki,0.423165
MoleculeACE,CLMrand,rmse,CHEMBL287_Ki,0.795049
MoleculeACE,fp+CLMrand,rmse,CHEMBL287_Ki,0.783504
MoleculeACE,desc+CLMrand,rmse,CHEMBL287_Ki,0.709385
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL287_Ki,0.723046
MoleculeACE,CLMrand,rmse,CHEMBL2971_Ki,0.793688
MoleculeACE,fp+CLMrand,rmse,CHEMBL2971_Ki,0.714175
MoleculeACE,desc+CLMrand,rmse,CHEMBL2971_Ki,0.696549
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL2971_Ki,0.689483
MoleculeACE,CLMrand,rmse,CHEMBL3979_EC50,0.798821
MoleculeACE,fp+CLMrand,rmse,CHEMBL3979_EC50,0.715534
MoleculeACE,desc+CLMrand,rmse,CHEMBL3979_EC50,0.705011
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL3979_EC50,0.673732
MoleculeACE,CLMrand,rmse,CHEMBL4005_Ki,0.824313
MoleculeACE,fp+CLMrand,rmse,CHEMBL4005_Ki,0.723327
MoleculeACE,desc+CLMrand,rmse,CHEMBL4005_Ki,0.720337
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL4005_Ki,0.691274
MoleculeACE,CLMrand,rmse,CHEMBL4203_Ki,0.999527
MoleculeACE,fp+CLMrand,rmse,CHEMBL4203_Ki,0.899903
MoleculeACE,desc+CLMrand,rmse,CHEMBL4203_Ki,0.937987
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL4203_Ki,0.909182
MoleculeACE,CLMrand,rmse,CHEMBL4616_EC50,0.731499
MoleculeACE,fp+CLMrand,rmse,CHEMBL4616_EC50,0.707119
MoleculeACE,desc+CLMrand,rmse,CHEMBL4616_EC50,0.72947
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL4616_EC50,0.70611
MoleculeACE,CLMrand,rmse,CHEMBL4792_Ki,0.847419
MoleculeACE,fp+CLMrand,rmse,CHEMBL4792_Ki,0.779795
MoleculeACE,desc+CLMrand,rmse,CHEMBL4792_Ki,0.779499
MoleculeACE,fp+desc+CLMrand,rmse,CHEMBL4792_Ki,0.734056
