task,features,metric,fold,value
MoleculeACE,CLMsup,rmse,CHEMBL1862_Ki,0.906913
MoleculeACE,fp+CLMsup,rmse,CHEMBL1862_Ki,0.809275
MoleculeACE,desc+CLMsup,rmse,CHEMBL1862_Ki,0.838984
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL1862_Ki,0.773356
MoleculeACE,CLMsup,rmse,CHEMBL1871_Ki,0.733074
MoleculeACE,fp+CLMsup,rmse,CHEMBL1871_Ki,0.73835
MoleculeACE,desc+CLMsup,rmse,CHEMBL1871_Ki,0.724267
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL1871_Ki,0.697168
MoleculeACE,CLMsup,rmse,CHEMBL2034_Ki,0.718965
MoleculeACE,fp+CLMsup,rmse,CHEMBL2034_Ki,0.726119
MoleculeACE,desc+CLMsup,rmse,CHEMBL2034_Ki,0.703126
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL2034_Ki,0.683266
MoleculeACE,CLMsup,rmse,CHEMBL2047_EC50,0.696104
MoleculeACE,fp+CLMsup,rmse,CHEMBL2047_EC50,0.685652
MoleculeACE,desc+CLMsup,rmse,CHEMBL2047_EC50,0.66553
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL2047_EC50,0.684183
MoleculeACE,CLMsup,rmse,CHEMBL204_Ki,0.891851
MoleculeACE,fp+CLMsup,rmse,CHEMBL204_Ki,0.804563
MoleculeACE,desc+CLMsup,rmse,CHEMBL204_Ki,0.829626
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL204_Ki,0.783323
MoleculeACE,CLMsup,rmse,CHEMBL2147_Ki,0.88149
MoleculeACE,fp+CLMsup,rmse,CHEMBL2147_Ki,0.699491
MoleculeACE,desc+CLMsup,rmse,CHEMBL2147_Ki,0.784255
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL2147_Ki,0.69607
MoleculeACE,CLMsup,rmse,CHEMBL214_Ki,0.826634
MoleculeACE,fp+CLMsup,rmse,CHEMBL214_Ki,0.73702
MoleculeACE,desc+CLMsup,rmse,CHEMBL214_Ki,0.770803
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL214_Ki,0.723504
MoleculeACE,CLMsup,rmse,CHEMBL218_EC50,0.7883
MoleculeACE,fp+CLMsup,rmse,CHEMBL218_EC50,0.743973
MoleculeACE,desc+CLMsup,rmse,CHEMBL218_EC50,0.75115
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL218_EC50,0.761398
MoleculeACE,CLMsup,rmse,CHEMBL219_Ki,0.832839
MoleculeACE,fp+CLMsup,rmse,CHEMBL219_Ki,0.776835
MoleculeACE,desc+CLMsup,rmse,CHEMBL219_Ki,0.791477
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL219_Ki,0.772706
MoleculeACE,CLMsup,rmse,CHEMBL228_Ki,0.839509
MoleculeACE,fp+CLMsup,rmse,CHEMBL228_Ki,0.79852
MoleculeACE,desc+CLMsup,rmse,CHEMBL228_Ki,0.775647
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL228_Ki,0.744091
MoleculeACE,CLMsup,rmse,CHEMBL231_Ki,0.799214
MoleculeACE,fp+CLMsup,rmse,CHEMBL231_Ki,0.765193
MoleculeACE,desc+CLMsup,rmse,CHEMBL231_Ki,0.70835
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL231_Ki,0.704733
