task,features,metric,fold,value
MoleculeACE,CLMunsup,rmse,CHEMBL1862_Ki,0.945908
MoleculeACE,fp+CLMunsup,rmse,CHEMBL1862_Ki,0.804784
MoleculeACE,desc+CLMunsup,rmse,CHEMBL1862_Ki,0.853184
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL1862_Ki,0.773633
MoleculeACE,CLMunsup,rmse,CHEMBL1871_Ki,0.761356
MoleculeACE,fp+CLMunsup,rmse,CHEMBL1871_Ki,0.750634
MoleculeACE,desc+CLMunsup,rmse,CHEMBL1871_Ki,0.768645
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL1871_Ki,0.7222
MoleculeACE,CLMunsup,rmse,CHEMBL2034_Ki,0.73646
MoleculeACE,fp+CLMunsup,rmse,CHEMBL2034_Ki,0.737662
MoleculeACE,desc+CLMunsup,rmse,CHEMBL2034_Ki,0.700532
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL2034_Ki,0.688795
MoleculeACE,CLMunsup,rmse,CHEMBL2047_EC50,0.702864
MoleculeACE,fp+CLMunsup,rmse,CHEMBL2047_EC50,0.682311
MoleculeACE,desc+CLMunsup,rmse,CHEMBL2047_EC50,0.689878
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL2047_EC50,0.677249
MoleculeACE,CLMunsup,rmse,CHEMBL204_Ki,0.93384
MoleculeACE,fp+CLMunsup,rmse,CHEMBL204_Ki,0.830233
MoleculeACE,desc+CLMunsup,rmse,CHEMBL204_Ki,0.834731
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL204_Ki,0.798047
MoleculeACE,CLMunsup,rmse,CHEMBL2147_Ki,0.910747
MoleculeACE,fp+CLMunsup,rmse,CHEMBL2147_Ki,0.701476
MoleculeACE,desc+CLMunsup,rmse,CHEMBL2147_Ki,0.767731
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL2147_Ki,0.68109
MoleculeACE,CLMunsup,rmse,CHEMBL214_Ki,0.794059
MoleculeACE,fp+CLMunsup,rmse,CHEMBL214_Ki,0.751468
MoleculeACE,desc+CLMunsup,rmse,CHEMBL214_Ki,0.75018
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL214_Ki,0.726406
MoleculeACE,CLMunsup,rmse,CHEMBL218_EC50,0.80747
MoleculeACE,fp+CLMunsup,rmse,CHEMBL218_EC50,0.783456
MoleculeACE,desc+CLMunsup,rmse,CHEMBL218_EC50,0.770396
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL218_EC50,0.736111
MoleculeACE,CLMunsup,rmse,CHEMBL219_Ki,0.883718
MoleculeACE,fp+CLMunsup,rmse,CHEMBL219_Ki,0.844066
MoleculeACE,desc+CLMunsup,rmse,CHEMBL219_Ki,0.808951
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL219_Ki,0.772534
MoleculeACE,CLMunsup,rmse,CHEMBL228_Ki,0.895006
MoleculeACE,fp+CLMunsup,rmse,CHEMBL228_Ki,0.822369
MoleculeACE,desc+CLMunsup,rmse,CHEMBL228_Ki,0.76668
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL228_Ki,0.755791
MoleculeACE,CLMunsup,rmse,CHEMBL231_Ki,0.848687
MoleculeACE,fp+CLMunsup,rmse,CHEMBL231_Ki,0.862033
MoleculeACE,desc+CLMunsup,rmse,CHEMBL231_Ki,0.738348
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL231_Ki,0.727527
MoleculeACE,CLMunsup,rmse,CHEMBL233_Ki,0.90735
MoleculeACE,fp+CLMunsup,rmse,CHEMBL233_Ki,0.863104
MoleculeACE,desc+CLMunsup,rmse,CHEMBL233_Ki,0.834449
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL233_Ki,0.819962
MoleculeACE,CLMunsup,rmse,CHEMBL234_Ki,0.798182
MoleculeACE,fp+CLMunsup,rmse,CHEMBL234_Ki,0.699919
MoleculeACE,desc+CLMunsup,rmse,CHEMBL234_Ki,0.719692
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL234_Ki,0.69466
MoleculeACE,CLMunsup,rmse,CHEMBL235_EC50,0.714399
MoleculeACE,fp+CLMunsup,rmse,CHEMBL235_EC50,0.682974
MoleculeACE,desc+CLMunsup,rmse,CHEMBL235_EC50,0.683922
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL235_EC50,0.648117
MoleculeACE,CLMunsup,rmse,CHEMBL236_Ki,0.853735
MoleculeACE,fp+CLMunsup,rmse,CHEMBL236_Ki,0.780799
MoleculeACE,desc+CLMunsup,rmse,CHEMBL236_Ki,0.774549
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL236_Ki,0.760942
MoleculeACE,CLMunsup,rmse,CHEMBL237_EC50,0.890747
MoleculeACE,fp+CLMunsup,rmse,CHEMBL237_EC50,0.847997
MoleculeACE,desc+CLMunsup,rmse,CHEMBL237_EC50,0.870761
MoleculeACE,fp+desc+CLMunsup,rmse,CHEMBL237_EC50,0.825577
MoleculeACE,CLMunsup,rmse,CHEMBL237_Ki,0.862378
MoleculeACE,fp+CLMunsup,rmse,CHEMBL237_Ki,0.783389
