task,features,metric,fold,value
MoleculeACE,CheMel,rmse,CHEMBL1862_Ki,0.761152
MoleculeACE,fp+CheMel,rmse,CHEMBL1862_Ki,0.744416
MoleculeACE,desc+CheMel,rmse,CHEMBL1862_Ki,0.72317
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL1862_Ki,0.747756
MoleculeACE,CheMel,rmse,CHEMBL1871_Ki,0.67375
MoleculeACE,fp+CheMel,rmse,CHEMBL1871_Ki,0.692589
MoleculeACE,desc+CheMel,rmse,CHEMBL1871_Ki,0.674083
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL1871_Ki,0.658196
MoleculeACE,CheMel,rmse,CHEMBL2034_Ki,0.672716
MoleculeACE,fp+CheMel,rmse,CHEMBL2034_Ki,0.671984
MoleculeACE,desc+CheMel,rmse,CHEMBL2034_Ki,0.670199
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL2034_Ki,0.621117
MoleculeACE,CheMel,rmse,CHEMBL2047_EC50,0.677173
MoleculeACE,fp+CheMel,rmse,CHEMBL2047_EC50,0.653272
MoleculeACE,desc+CheMel,rmse,CHEMBL2047_EC50,0.634248
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL2047_EC50,0.654959
MoleculeACE,CheMel,rmse,CHEMBL204_Ki,0.77188
MoleculeACE,fp+CheMel,rmse,CHEMBL204_Ki,0.767629
MoleculeACE,desc+CheMel,rmse,CHEMBL204_Ki,0.775927
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL204_Ki,0.754394
MoleculeACE,CheMel,rmse,CHEMBL2147_Ki,0.706548
MoleculeACE,fp+CheMel,rmse,CHEMBL2147_Ki,0.654871
MoleculeACE,desc+CheMel,rmse,CHEMBL2147_Ki,0.713854
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL2147_Ki,0.629534
MoleculeACE,CheMel,rmse,CHEMBL214_Ki,0.688185
MoleculeACE,fp+CheMel,rmse,CHEMBL214_Ki,0.67902
MoleculeACE,desc+CheMel,rmse,CHEMBL214_Ki,0.6909
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL214_Ki,0.673765
MoleculeACE,CheMel,rmse,CHEMBL218_EC50,0.709341
MoleculeACE,fp+CheMel,rmse,CHEMBL218_EC50,0.68003
MoleculeACE,desc+CheMel,rmse,CHEMBL218_EC50,0.701879
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL218_EC50,0.70268
MoleculeACE,CheMel,rmse,CHEMBL219_Ki,0.739929
MoleculeACE,fp+CheMel,rmse,CHEMBL219_Ki,0.71902
MoleculeACE,desc+CheMel,rmse,CHEMBL219_Ki,0.722693
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL219_Ki,0.717532
MoleculeACE,CheMel,rmse,CHEMBL228_Ki,0.672388
MoleculeACE,fp+CheMel,rmse,CHEMBL228_Ki,0.69254
MoleculeACE,desc+CheMel,rmse,CHEMBL228_Ki,0.685183
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL228_Ki,0.676838
MoleculeACE,CheMel,rmse,CHEMBL231_Ki,0.689667
MoleculeACE,fp+CheMel,rmse,CHEMBL231_Ki,0.69783
MoleculeACE,desc+CheMel,rmse,CHEMBL231_Ki,0.665884
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL231_Ki,0.666882
MoleculeACE,CheMel,rmse,CHEMBL233_Ki,0.77305
MoleculeACE,fp+CheMel,rmse,CHEMBL233_Ki,0.767705
MoleculeACE,desc+CheMel,rmse,CHEMBL233_Ki,0.773809
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL233_Ki,0.763651
MoleculeACE,CheMel,rmse,CHEMBL234_Ki,0.683325
MoleculeACE,fp+CheMel,rmse,CHEMBL234_Ki,0.691292
MoleculeACE,desc+CheMel,rmse,CHEMBL234_Ki,0.673868
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL234_Ki,0.668166
MoleculeACE,CheMel,rmse,CHEMBL235_EC50,0.639439
MoleculeACE,fp+CheMel,rmse,CHEMBL235_EC50,0.648343
MoleculeACE,desc+CheMel,rmse,CHEMBL235_EC50,0.650682
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL235_EC50,0.642157
MoleculeACE,CheMel,rmse,CHEMBL236_Ki,0.730765
MoleculeACE,fp+CheMel,rmse,CHEMBL236_Ki,0.742518
MoleculeACE,desc+CheMel,rmse,CHEMBL236_Ki,0.742429
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL236_Ki,0.741496
MoleculeACE,CheMel,rmse,CHEMBL237_EC50,0.755305
MoleculeACE,fp+CheMel,rmse,CHEMBL237_EC50,0.754563
MoleculeACE,desc+CheMel,rmse,CHEMBL237_EC50,0.771367
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL237_EC50,0.793157
MoleculeACE,CheMel,rmse,CHEMBL237_Ki,0.733372
MoleculeACE,fp+CheMel,rmse,CHEMBL237_Ki,0.722201
MoleculeACE,desc+CheMel,rmse,CHEMBL237_Ki,0.731986
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL237_Ki,0.732739
MoleculeACE,CheMel,rmse,CHEMBL238_Ki,0.679098
MoleculeACE,fp+CheMel,rmse,CHEMBL238_Ki,0.657961
MoleculeACE,desc+CheMel,rmse,CHEMBL238_Ki,0.66309
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL238_Ki,0.654866
MoleculeACE,CheMel,rmse,CHEMBL239_EC50,0.727787
MoleculeACE,fp+CheMel,rmse,CHEMBL239_EC50,0.718416
MoleculeACE,desc+CheMel,rmse,CHEMBL239_EC50,0.711668
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL239_EC50,0.719696
MoleculeACE,CheMel,rmse,CHEMBL244_Ki,0.775379
MoleculeACE,fp+CheMel,rmse,CHEMBL244_Ki,0.772152
MoleculeACE,desc+CheMel,rmse,CHEMBL244_Ki,0.772191
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL244_Ki,0.776168
MoleculeACE,CheMel,rmse,CHEMBL262_Ki,0.782185
