task,features,metric,fold,value
MoleculeACE,fp,rmse,CHEMBL1862_Ki,0.84551
MoleculeACE,desc,rmse,CHEMBL1862_Ki,0.823397
MoleculeACE,fp+desc,rmse,CHEMBL1862_Ki,0.764767
MoleculeACE,fp,rmse,CHEMBL1871_Ki,0.718361
MoleculeACE,desc,rmse,CHEMBL1871_Ki,0.697844
MoleculeACE,fp+desc,rmse,CHEMBL1871_Ki,0.680294
MoleculeACE,fp,rmse,CHEMBL2034_Ki,0.753366
MoleculeACE,desc,rmse,CHEMBL2034_Ki,0.653378
MoleculeACE,fp+desc,rmse,CHEMBL2034_Ki,0.662926
MoleculeACE,fp,rmse,CHEMBL2047_EC50,0.597866
MoleculeACE,desc,rmse,CHEMBL2047_EC50,0.693464
MoleculeACE,fp+desc,rmse,CHEMBL2047_EC50,0.635144
MoleculeACE,fp,rmse,CHEMBL204_Ki,0.763783
MoleculeACE,desc,rmse,CHEMBL204_Ki,0.798557
MoleculeACE,fp+desc,rmse,CHEMBL204_Ki,0.760416
MoleculeACE,fp,rmse,CHEMBL2147_Ki,0.655453
MoleculeACE,desc,rmse,CHEMBL2147_Ki,0.757542
MoleculeACE,fp+desc,rmse,CHEMBL2147_Ki,0.653094
MoleculeACE,fp,rmse,CHEMBL214_Ki,0.693783
MoleculeACE,desc,rmse,CHEMBL214_Ki,0.736581
MoleculeACE,fp+desc,rmse,CHEMBL214_Ki,0.68661
MoleculeACE,fp,rmse,CHEMBL218_EC50,0.722555
MoleculeACE,desc,rmse,CHEMBL218_EC50,0.688146
MoleculeACE,fp+desc,rmse,CHEMBL218_EC50,0.708197
MoleculeACE,fp,rmse,CHEMBL219_Ki,0.739577
MoleculeACE,desc,rmse,CHEMBL219_Ki,0.776429
MoleculeACE,fp+desc,rmse,CHEMBL219_Ki,0.777783
MoleculeACE,fp,rmse,CHEMBL228_Ki,0.688227
MoleculeACE,desc,rmse,CHEMBL228_Ki,0.753614
MoleculeACE,fp+desc,rmse,CHEMBL228_Ki,0.712142
