task,features,metric,mean,std
ESOL,CLMrand,rmse,1.3757,0.0768
ESOL,fp+CLMrand,rmse,1.2983,0.094
ESOL,desc+CLMrand,rmse,0.7914,0.1108
ESOL,fp+desc+CLMrand,rmse,0.7806,0.1016
QM7,CLMrand,rmse,205.255,4.7473
QM7,fp+CLMrand,rmse,203.1268,4.8987
QM7,desc+CLMrand,rmse,191.0384,3.807
QM7,fp+desc+CLMrand,rmse,190.4745,3.6636
BBBP,CLMrand,roc_auc,0.9394,0.0162
BBBP,CLMrand,nef1,1.0,0.0
BBBP,fp+CLMrand,roc_auc,0.9384,0.0131
BBBP,fp+CLMrand,nef1,1.0,0.0
BBBP,desc+CLMrand,roc_auc,0.9456,0.0108
BBBP,desc+CLMrand,nef1,1.0,0.0
BBBP,fp+desc+CLMrand,roc_auc,0.945,0.0094
BBBP,fp+desc+CLMrand,nef1,1.0,0.0
BACE,CLMrand,roc_auc,0.8036,0.0284
BACE,CLMrand,nef1,0.95,0.1
BACE,fp+CLMrand,roc_auc,0.838,0.0274
BACE,fp+CLMrand,nef1,1.0,0.0
BACE,desc+CLMrand,roc_auc,0.8511,0.0177
BACE,desc+CLMrand,nef1,0.95,0.1
BACE,fp+desc+CLMrand,roc_auc,0.8579,0.0099
BACE,fp+desc+CLMrand,nef1,0.95,0.1
Tox21,CLMrand,roc_auc,0.7283,0.0499
Tox21,CLMrand,nef1,0.5356,0.1356
Tox21,fp+CLMrand,roc_auc,0.7489,0.0545
Tox21,fp+CLMrand,nef1,0.6091,0.135
Tox21,desc+CLMrand,roc_auc,0.7993,0.0402
Tox21,desc+CLMrand,nef1,0.6792,0.1303
Tox21,fp+desc+CLMrand,roc_auc,0.8009,0.0404
Tox21,fp+desc+CLMrand,nef1,0.6906,0.1336
HIV,CLMrand,roc_auc,0.7479,0.0364
HIV,CLMrand,nef1,0.5422,0.1088
HIV,fp+CLMrand,roc_auc,0.785,0.0386
HIV,fp+CLMrand,nef1,0.6699,0.0749
HIV,desc+CLMrand,roc_auc,0.7848,0.0364
HIV,desc+CLMrand,nef1,0.6602,0.0687
HIV,fp+desc+CLMrand,roc_auc,0.8055,0.0314
HIV,fp+desc+CLMrand,nef1,0.7036,0.0833
