task,features,metric,fold,value
ESOL,CLMrand,rmse,0,1.416332
ESOL,CLMrand,rmse,1,1.360055
ESOL,CLMrand,rmse,2,1.320628
ESOL,CLMrand,rmse,3,1.280915
ESOL,CLMrand,rmse,4,1.500399
ESOL,fp+CLMrand,rmse,0,1.449386
ESOL,fp+CLMrand,rmse,1,1.259229
ESOL,fp+CLMrand,rmse,2,1.284172
ESOL,fp+CLMrand,rmse,3,1.163201
ESOL,fp+CLMrand,rmse,4,1.335274
ESOL,desc+CLMrand,rmse,0,0.716372
ESOL,desc+CLMrand,rmse,1,0.999824
ESOL,desc+CLMrand,rmse,2,0.702212
ESOL,desc+CLMrand,rmse,3,0.728441
ESOL,desc+CLMrand,rmse,4,0.810176
ESOL,fp+desc+CLMrand,rmse,0,0.734529
ESOL,fp+desc+CLMrand,rmse,1,0.952039
ESOL,fp+desc+CLMrand,rmse,2,0.662708
ESOL,fp+desc+CLMrand,rmse,3,0.721342
ESOL,fp+desc+CLMrand,rmse,4,0.832539
QM7,CLMrand,rmse,0,200.192612
QM7,CLMrand,rmse,1,213.314667
QM7,CLMrand,rmse,2,206.765442
QM7,CLMrand,rmse,3,200.804016
QM7,CLMrand,rmse,4,205.198242
QM7,fp+CLMrand,rmse,0,198.046005
QM7,fp+CLMrand,rmse,1,210.879211
QM7,fp+CLMrand,rmse,2,203.393021
QM7,fp+CLMrand,rmse,3,197.805099
QM7,fp+CLMrand,rmse,4,205.510483
QM7,desc+CLMrand,rmse,0,188.037384
QM7,desc+CLMrand,rmse,1,197.594833
QM7,desc+CLMrand,rmse,2,192.040527
QM7,desc+CLMrand,rmse,3,186.628311
QM7,desc+CLMrand,rmse,4,190.891037
QM7,fp+desc+CLMrand,rmse,0,188.855713
QM7,fp+desc+CLMrand,rmse,1,196.313156
QM7,fp+desc+CLMrand,rmse,2,190.41478
QM7,fp+desc+CLMrand,rmse,3,185.097336
QM7,fp+desc+CLMrand,rmse,4,191.691544
BBBP,CLMrand,roc_auc,0,0.946558
BBBP,CLMrand,roc_auc,1,0.921202
BBBP,CLMrand,roc_auc,2,0.955682
BBBP,CLMrand,roc_auc,3,0.954815
BBBP,CLMrand,roc_auc,4,0.918929
BBBP,CLMrand,nef1,0,1.0
BBBP,CLMrand,nef1,1,1.0
BBBP,CLMrand,nef1,2,1.0
BBBP,CLMrand,nef1,3,1.0
BBBP,CLMrand,nef1,4,1.0
BBBP,fp+CLMrand,roc_auc,0,0.946688
BBBP,fp+CLMrand,roc_auc,1,0.923697
BBBP,fp+CLMrand,roc_auc,2,0.95
BBBP,fp+CLMrand,roc_auc,3,0.950494
BBBP,fp+CLMrand,roc_auc,4,0.921273
BBBP,fp+CLMrand,nef1,0,1.0
BBBP,fp+CLMrand,nef1,1,1.0
BBBP,fp+CLMrand,nef1,2,1.0
BBBP,fp+CLMrand,nef1,3,1.0
BBBP,fp+CLMrand,nef1,4,1.0
BBBP,desc+CLMrand,roc_auc,0,0.94276
BBBP,desc+CLMrand,roc_auc,1,0.93028
BBBP,desc+CLMrand,roc_auc,2,0.962305
BBBP,desc+CLMrand,roc_auc,3,0.95179
BBBP,desc+CLMrand,roc_auc,4,0.940955
BBBP,desc+CLMrand,nef1,0,1.0
BBBP,desc+CLMrand,nef1,1,1.0
BBBP,desc+CLMrand,nef1,2,1.0
BBBP,desc+CLMrand,nef1,3,1.0
BBBP,desc+CLMrand,nef1,4,1.0
BBBP,fp+desc+CLMrand,roc_auc,0,0.939773
BBBP,fp+desc+CLMrand,roc_auc,1,0.935269
BBBP,fp+desc+CLMrand,roc_auc,2,0.95961
BBBP,fp+desc+CLMrand,roc_auc,3,0.9525
BBBP,fp+desc+CLMrand,roc_auc,4,0.937884
BBBP,fp+desc+CLMrand,nef1,0,1.0
BBBP,fp+desc+CLMrand,nef1,1,1.0
BBBP,fp+desc+CLMrand,nef1,2,1.0
BBBP,fp+desc+CLMrand,nef1,3,1.0
BBBP,fp+desc+CLMrand,nef1,4,1.0
BACE,CLMrand,roc_auc,0,0.828693
BACE,CLMrand,roc_auc,1,0.769955
BACE,CLMrand,roc_auc,2,0.7764
BACE,CLMrand,roc_auc,3,0.842518
BACE,CLMrand,roc_auc,4,0.800661
BACE,CLMrand,nef1,0,1.0
BACE,CLMrand,nef1,1,0.75
BACE,CLMrand,nef1,2,1.0
BACE,CLMrand,nef1,3,1.0
BACE,CLMrand,nef1,4,1.0
BACE,fp+CLMrand,roc_auc,0,0.853428
BACE,fp+CLMrand,roc_auc,1,0.81364
BACE,fp+CLMrand,roc_auc,2,0.805985
BACE,fp+CLMrand,roc_auc,3,0.881371
BACE,fp+CLMrand,roc_auc,4,0.83545
BACE,fp+CLMrand,nef1,0,1.0
BACE,fp+CLMrand,nef1,1,1.0
BACE,fp+CLMrand,nef1,2,1.0
BACE,fp+CLMrand,nef1,3,1.0
BACE,fp+CLMrand,nef1,4,1.0
BACE,desc+CLMrand,roc_auc,0,0.876237
BACE,desc+CLMrand,roc_auc,1,0.843843
BACE,desc+CLMrand,roc_auc,2,0.827191
BACE,desc+CLMrand,roc_auc,3,0.866173
BACE,desc+CLMrand,roc_auc,4,0.842108
BACE,desc+CLMrand,nef1,0,1.0
BACE,desc+CLMrand,nef1,1,0.75
BACE,desc+CLMrand,nef1,2,1.0
BACE,desc+CLMrand,nef1,3,1.0
BACE,desc+CLMrand,nef1,4,1.0
BACE,fp+desc+CLMrand,roc_auc,0,0.868006
BACE,fp+desc+CLMrand,roc_auc,1,0.855371
BACE,fp+desc+CLMrand,roc_auc,2,0.845212
BACE,fp+desc+CLMrand,roc_auc,3,0.870622
BACE,fp+desc+CLMrand,roc_auc,4,0.850353
BACE,fp+desc+CLMrand,nef1,0,1.0
BACE,fp+desc+CLMrand,nef1,1,0.75
BACE,fp+desc+CLMrand,nef1,2,1.0
BACE,fp+desc+CLMrand,nef1,3,1.0
BACE,fp+desc+CLMrand,nef1,4,1.0
Tox21,CLMrand,roc_auc,0,0.629311
Tox21,CLMrand,roc_auc,1,0.758508
Tox21,CLMrand,roc_auc,2,0.76194
Tox21,CLMrand,roc_auc,3,0.744958
Tox21,CLMrand,roc_auc,4,0.74702
Tox21,CLMrand,nef1,0,0.270452
Tox21,CLMrand,nef1,1,0.618758
Tox21,CLMrand,nef1,2,0.645882
Tox21,CLMrand,nef1,3,0.572543
Tox21,CLMrand,nef1,4,0.570513
Tox21,fp+CLMrand,roc_auc,0,0.641207
Tox21,fp+CLMrand,roc_auc,1,0.790787
Tox21,fp+CLMrand,roc_auc,2,0.766995
Tox21,fp+CLMrand,roc_auc,3,0.775748
Tox21,fp+CLMrand,roc_auc,4,0.769868
Tox21,fp+CLMrand,nef1,0,0.340873
Tox21,fp+CLMrand,nef1,1,0.686126
Tox21,fp+CLMrand,nef1,2,0.699041
Tox21,fp+CLMrand,nef1,3,0.665095
Tox21,fp+CLMrand,nef1,4,0.654426
Tox21,desc+CLMrand,roc_auc,0,0.720632
Tox21,desc+CLMrand,roc_auc,1,0.829825
Tox21,desc+CLMrand,roc_auc,2,0.824204
Tox21,desc+CLMrand,roc_auc,3,0.805838
Tox21,desc+CLMrand,roc_auc,4,0.815941
Tox21,desc+CLMrand,nef1,0,0.425366
Tox21,desc+CLMrand,nef1,1,0.730983
Tox21,desc+CLMrand,nef1,2,0.798386
Tox21,desc+CLMrand,nef1,3,0.712042
Tox21,desc+CLMrand,nef1,4,0.729274
Tox21,fp+desc+CLMrand,roc_auc,0,0.722193
Tox21,fp+desc+CLMrand,roc_auc,1,0.828526
Tox21,fp+desc+CLMrand,roc_auc,2,0.820105
Tox21,fp+desc+CLMrand,roc_auc,3,0.80405
Tox21,fp+desc+CLMrand,roc_auc,4,0.829742
Tox21,fp+desc+CLMrand,nef1,0,0.425641
Tox21,fp+desc+CLMrand,nef1,1,0.768864
Tox21,fp+desc+CLMrand,nef1,2,0.771875
Tox21,fp+desc+CLMrand,nef1,3,0.723932
Tox21,fp+desc+CLMrand,nef1,4,0.762851
HIV,CLMrand,roc_auc,0,0.74492
HIV,CLMrand,roc_auc,1,0.709421
HIV,CLMrand,roc_auc,2,0.81249
HIV,CLMrand,roc_auc,3,0.71776
HIV,CLMrand,roc_auc,4,0.75495
HIV,CLMrand,nef1,0,0.46988
HIV,CLMrand,nef1,1,0.385542
HIV,CLMrand,nef1,2,0.674699
HIV,CLMrand,nef1,3,0.53012
HIV,CLMrand,nef1,4,0.650602
HIV,fp+CLMrand,roc_auc,0,0.762052
HIV,fp+CLMrand,roc_auc,1,0.748628
HIV,fp+CLMrand,roc_auc,2,0.85337
HIV,fp+CLMrand,roc_auc,3,0.759736
HIV,fp+CLMrand,roc_auc,4,0.801416
HIV,fp+CLMrand,nef1,0,0.590361
HIV,fp+CLMrand,nef1,1,0.638554
HIV,fp+CLMrand,nef1,2,0.771084
HIV,fp+CLMrand,nef1,3,0.60241
HIV,fp+CLMrand,nef1,4,0.746988
HIV,desc+CLMrand,roc_auc,0,0.774161
HIV,desc+CLMrand,roc_auc,1,0.740071
HIV,desc+CLMrand,roc_auc,2,0.847756
HIV,desc+CLMrand,roc_auc,3,0.76495
HIV,desc+CLMrand,roc_auc,4,0.79696
HIV,desc+CLMrand,nef1,0,0.614458
HIV,desc+CLMrand,nef1,1,0.554217
HIV,desc+CLMrand,nef1,2,0.710843
HIV,desc+CLMrand,nef1,3,0.674699
HIV,desc+CLMrand,nef1,4,0.746988
HIV,fp+desc+CLMrand,roc_auc,0,0.793373
HIV,fp+desc+CLMrand,roc_auc,1,0.782363
HIV,fp+desc+CLMrand,roc_auc,2,0.864452
HIV,fp+desc+CLMrand,roc_auc,3,0.778011
HIV,fp+desc+CLMrand,roc_auc,4,0.809473
HIV,fp+desc+CLMrand,nef1,0,0.722892
HIV,fp+desc+CLMrand,nef1,1,0.542169
HIV,fp+desc+CLMrand,nef1,2,0.73494
HIV,fp+desc+CLMrand,nef1,3,0.73494
HIV,fp+desc+CLMrand,nef1,4,0.783133
