task,features,metric,mean,std
ESOL,CLMsup,rmse,1.1109,0.143
ESOL,fp+CLMsup,rmse,1.0785,0.1369
ESOL,desc+CLMsup,rmse,0.7613,0.0796
ESOL,fp+desc+CLMsup,rmse,0.7708,0.1078
QM7,CLMsup,rmse,199.8487,3.7003
QM7,fp+CLMsup,rmse,198.3939,3.7955
QM7,desc+CLMsup,rmse,191.2314,4.359
QM7,fp+desc+CLMsup,rmse,190.8906,3.9562
BBBP,CLMsup,roc_auc,0.9424,0.0096
BBBP,CLMsup,nef1,1.0,0.0
BBBP,fp+CLMsup,roc_auc,0.9448,0.0082
BBBP,fp+CLMsup,nef1,1.0,0.0
BBBP,desc+CLMsup,roc_auc,0.9473,0.009
BBBP,desc+CLMsup,nef1,1.0,0.0
BBBP,fp+desc+CLMsup,roc_auc,0.9481,0.0093
BBBP,fp+desc+CLMsup,nef1,1.0,0.0
BACE,CLMsup,roc_auc,0.8503,0.0149
BACE,CLMsup,nef1,0.95,0.1
BACE,fp+CLMsup,roc_auc,0.856,0.0228
BACE,fp+CLMsup,nef1,0.85,0.1225
BACE,desc+CLMsup,roc_auc,0.8599,0.0214
BACE,desc+CLMsup,nef1,0.9,0.1225
BACE,fp+desc+CLMsup,roc_auc,0.866,0.017
BACE,fp+desc+CLMsup,nef1,0.8,0.1871
Tox21,CLMsup,roc_auc,0.7674,0.0541
Tox21,CLMsup,nef1,0.5573,0.1356
Tox21,fp+CLMsup,roc_auc,0.7816,0.0498
Tox21,fp+CLMsup,nef1,0.6231,0.1442
Tox21,desc+CLMsup,roc_auc,0.8044,0.04
Tox21,desc+CLMsup,nef1,0.6387,0.1427
Tox21,fp+desc+CLMsup,roc_auc,0.8064,0.0399
Tox21,fp+desc+CLMsup,nef1,0.6794,0.1355
HIV,CLMsup,roc_auc,0.7738,0.0317
HIV,CLMsup,nef1,0.6458,0.0701
HIV,fp+CLMsup,roc_auc,0.7987,0.0272
HIV,fp+CLMsup,nef1,0.6795,0.0844
HIV,desc+CLMsup,roc_auc,0.7959,0.0287
HIV,desc+CLMsup,nef1,0.6916,0.083
HIV,fp+desc+CLMsup,roc_auc,0.8045,0.0336
HIV,fp+desc+CLMsup,nef1,0.7012,0.0983
