task,features,metric,fold,value
ESOL,CLMsup,rmse,0,1.182365
ESOL,CLMsup,rmse,1,1.311482
ESOL,CLMsup,rmse,2,1.113211
ESOL,CLMsup,rmse,3,1.072239
ESOL,CLMsup,rmse,4,0.875418
ESOL,fp+CLMsup,rmse,0,1.06808
ESOL,fp+CLMsup,rmse,1,1.325613
ESOL,fp+CLMsup,rmse,2,1.03783
ESOL,fp+CLMsup,rmse,3,1.056665
ESOL,fp+CLMsup,rmse,4,0.904165
ESOL,desc+CLMsup,rmse,0,0.74117
ESOL,desc+CLMsup,rmse,1,0.916213
ESOL,desc+CLMsup,rmse,2,0.691368
ESOL,desc+CLMsup,rmse,3,0.716765
ESOL,desc+CLMsup,rmse,4,0.740972
ESOL,fp+desc+CLMsup,rmse,0,0.737912
ESOL,fp+desc+CLMsup,rmse,1,0.983885
ESOL,fp+desc+CLMsup,rmse,2,0.690924
ESOL,fp+desc+CLMsup,rmse,3,0.709963
ESOL,fp+desc+CLMsup,rmse,4,0.731154
QM7,CLMsup,rmse,0,196.978363
QM7,CLMsup,rmse,1,207.074875
QM7,CLMsup,rmse,2,199.453278
QM7,CLMsup,rmse,3,197.928864
QM7,CLMsup,rmse,4,197.808182
QM7,fp+CLMsup,rmse,0,196.523285
QM7,fp+CLMsup,rmse,1,205.697632
QM7,fp+CLMsup,rmse,2,197.709259
QM7,fp+CLMsup,rmse,3,194.707596
QM7,fp+CLMsup,rmse,4,197.33168
QM7,desc+CLMsup,rmse,0,190.971298
QM7,desc+CLMsup,rmse,1,199.1138
QM7,desc+CLMsup,rmse,2,190.8797
QM7,desc+CLMsup,rmse,3,185.828339
QM7,desc+CLMsup,rmse,4,189.363998
QM7,fp+desc+CLMsup,rmse,0,189.198776
QM7,fp+desc+CLMsup,rmse,1,197.431885
QM7,fp+desc+CLMsup,rmse,2,191.505585
QM7,fp+desc+CLMsup,rmse,3,185.217499
QM7,fp+desc+CLMsup,rmse,4,191.09935
BBBP,CLMsup,roc_auc,0,0.928377
BBBP,CLMsup,roc_auc,1,0.942875
BBBP,CLMsup,roc_auc,2,0.950162
BBBP,CLMsup,roc_auc,3,0.955154
BBBP,CLMsup,roc_auc,4,0.935671
BBBP,CLMsup,nef1,0,1.0
BBBP,CLMsup,nef1,1,1.0
BBBP,CLMsup,nef1,2,1.0
BBBP,CLMsup,nef1,3,1.0
BBBP,CLMsup,nef1,4,1.0
BBBP,fp+CLMsup,roc_auc,0,0.933182
BBBP,fp+CLMsup,roc_auc,1,0.946187
BBBP,fp+CLMsup,roc_auc,2,0.951299
BBBP,fp+CLMsup,roc_auc,3,0.955216
BBBP,fp+CLMsup,roc_auc,4,0.937999
BBBP,fp+CLMsup,nef1,0,1.0
BBBP,fp+CLMsup,nef1,1,1.0
BBBP,fp+CLMsup,nef1,2,1.0
BBBP,fp+CLMsup,nef1,3,1.0
BBBP,fp+CLMsup,nef1,4,1.0
