task,features,metric,fold,value
ESOL,CLMunsup,rmse,0,1.486748
ESOL,CLMunsup,rmse,1,1.420498
ESOL,CLMunsup,rmse,2,1.316772
ESOL,CLMunsup,rmse,3,1.209537
ESOL,CLMunsup,rmse,4,1.23
ESOL,fp+CLMunsup,rmse,0,1.522518
ESOL,fp+CLMunsup,rmse,1,1.332298
ESOL,fp+CLMunsup,rmse,2,1.272145
ESOL,fp+CLMunsup,rmse,3,1.239804
ESOL,fp+CLMunsup,rmse,4,1.132811
ESOL,desc+CLMunsup,rmse,0,0.722988
ESOL,desc+CLMunsup,rmse,1,0.898231
ESOL,desc+CLMunsup,rmse,2,0.711288
ESOL,desc+CLMunsup,rmse,3,0.718919
ESOL,desc+CLMunsup,rmse,4,0.757232
ESOL,fp+desc+CLMunsup,rmse,0,0.730291
ESOL,fp+desc+CLMunsup,rmse,1,0.895783
ESOL,fp+desc+CLMunsup,rmse,2,0.69827
ESOL,fp+desc+CLMunsup,rmse,3,0.728552
ESOL,fp+desc+CLMunsup,rmse,4,0.734101
QM7,CLMunsup,rmse,0,202.799347
QM7,CLMunsup,rmse,1,209.808258
QM7,CLMunsup,rmse,2,205.560745
QM7,CLMunsup,rmse,3,196.765549
QM7,CLMunsup,rmse,4,205.038162
QM7,fp+CLMunsup,rmse,0,201.499664
QM7,fp+CLMunsup,rmse,1,208.84407
QM7,fp+CLMunsup,rmse,2,203.739395
QM7,fp+CLMunsup,rmse,3,197.940994
QM7,fp+CLMunsup,rmse,4,204.238968
QM7,desc+CLMunsup,rmse,0,188.145218
QM7,desc+CLMunsup,rmse,1,198.623123
QM7,desc+CLMunsup,rmse,2,191.618179
QM7,desc+CLMunsup,rmse,3,185.284134
QM7,desc+CLMunsup,rmse,4,189.234482
QM7,fp+desc+CLMunsup,rmse,0,187.642685
QM7,fp+desc+CLMunsup,rmse,1,197.18161
QM7,fp+desc+CLMunsup,rmse,2,189.976593
QM7,fp+desc+CLMunsup,rmse,3,186.485046
QM7,fp+desc+CLMunsup,rmse,4,191.09436
BBBP,CLMunsup,roc_auc,0,0.948539
BBBP,CLMunsup,roc_auc,1,0.933429
BBBP,CLMunsup,roc_auc,2,0.956851
BBBP,CLMunsup,roc_auc,3,0.95108
BBBP,CLMunsup,roc_auc,4,0.946008
BBBP,CLMunsup,nef1,0,1.0
BBBP,CLMunsup,nef1,1,1.0
BBBP,CLMunsup,nef1,2,1.0
BBBP,CLMunsup,nef1,3,1.0
BBBP,CLMunsup,nef1,4,1.0
BBBP,fp+CLMunsup,roc_auc,0,0.952597
BBBP,fp+CLMunsup,roc_auc,1,0.93854
BBBP,fp+CLMunsup,roc_auc,2,0.955162
BBBP,fp+CLMunsup,roc_auc,3,0.94784
BBBP,fp+CLMunsup,roc_auc,4,0.951489
BBBP,fp+CLMunsup,nef1,0,1.0
BBBP,fp+CLMunsup,nef1,1,1.0
BBBP,fp+CLMunsup,nef1,2,1.0
BBBP,fp+CLMunsup,nef1,3,1.0
BBBP,fp+CLMunsup,nef1,4,1.0
BBBP,desc+CLMunsup,roc_auc,0,0.941234
BBBP,desc+CLMunsup,roc_auc,1,0.943815
BBBP,desc+CLMunsup,roc_auc,2,0.958864
BBBP,desc+CLMunsup,roc_auc,3,0.945185
BBBP,desc+CLMunsup,roc_auc,4,0.946206
BBBP,desc+CLMunsup,nef1,0,1.0
BBBP,desc+CLMunsup,nef1,1,1.0
BBBP,desc+CLMunsup,nef1,2,1.0
BBBP,desc+CLMunsup,nef1,3,1.0
BBBP,desc+CLMunsup,nef1,4,1.0
BBBP,fp+desc+CLMunsup,roc_auc,0,0.942078
BBBP,fp+desc+CLMunsup,roc_auc,1,0.941035
BBBP,fp+desc+CLMunsup,roc_auc,2,0.962468
BBBP,fp+desc+CLMunsup,roc_auc,3,0.952747
BBBP,fp+desc+CLMunsup,roc_auc,4,0.948088
BBBP,fp+desc+CLMunsup,nef1,0,1.0
BBBP,fp+desc+CLMunsup,nef1,1,1.0
BBBP,fp+desc+CLMunsup,nef1,2,1.0
BBBP,fp+desc+CLMunsup,nef1,3,1.0
BBBP,fp+desc+CLMunsup,nef1,4,1.0
BACE,CLMunsup,roc_auc,0,0.875974
BACE,CLMunsup,roc_auc,1,0.827955
BACE,CLMunsup,roc_auc,2,0.797651
BACE,CLMunsup,roc_auc,3,0.891591
BACE,CLMunsup,roc_auc,4,0.857187
BACE,CLMunsup,nef1,0,0.75
BACE,CLMunsup,nef1,1,1.0
BACE,CLMunsup,nef1,2,1.0
BACE,CLMunsup,nef1,3,1.0
BACE,CLMunsup,nef1,4,1.0
BACE,fp+CLMunsup,roc_auc,0,0.866386
BACE,fp+CLMunsup,roc_auc,1,0.835236
BACE,fp+CLMunsup,roc_auc,2,0.808853
BACE,fp+CLMunsup,roc_auc,3,0.891282
BACE,fp+CLMunsup,roc_auc,4,0.873016
BACE,fp+CLMunsup,nef1,0,0.75
BACE,fp+CLMunsup,nef1,1,0.75
BACE,fp+CLMunsup,nef1,2,1.0
BACE,fp+CLMunsup,nef1,3,1.0
BACE,fp+CLMunsup,nef1,4,1.0
BACE,desc+CLMunsup,roc_auc,0,0.873216
BACE,desc+CLMunsup,roc_auc,1,0.858876
BACE,desc+CLMunsup,roc_auc,2,0.817751
BACE,desc+CLMunsup,roc_auc,3,0.882252
BACE,desc+CLMunsup,roc_auc,4,0.854674
BACE,desc+CLMunsup,nef1,0,0.75
BACE,desc+CLMunsup,nef1,1,0.75
BACE,desc+CLMunsup,nef1,2,1.0
BACE,desc+CLMunsup,nef1,3,0.75
BACE,desc+CLMunsup,nef1,4,1.0
BACE,fp+desc+CLMunsup,roc_auc,0,0.873785
BACE,fp+desc+CLMunsup,roc_auc,1,0.847101
BACE,fp+desc+CLMunsup,roc_auc,2,0.818293
BACE,fp+desc+CLMunsup,roc_auc,3,0.874719
BACE,fp+desc+CLMunsup,roc_auc,4,0.872663
BACE,fp+desc+CLMunsup,nef1,0,1.0
BACE,fp+desc+CLMunsup,nef1,1,0.75
BACE,fp+desc+CLMunsup,nef1,2,1.0
BACE,fp+desc+CLMunsup,nef1,3,0.75
BACE,fp+desc+CLMunsup,nef1,4,0.75
Tox21,CLMunsup,roc_auc,0,0.688787
Tox21,CLMunsup,roc_auc,1,0.808326
Tox21,CLMunsup,roc_auc,2,0.800856
Tox21,CLMunsup,roc_auc,3,0.786381
Tox21,CLMunsup,roc_auc,4,0.777031
Tox21,CLMunsup,nef1,0,0.261142
Tox21,CLMunsup,nef1,1,0.65
Tox21,CLMunsup,nef1,2,0.6138
Tox21,CLMunsup,nef1,3,0.616026
Tox21,CLMunsup,nef1,4,0.571123
Tox21,fp+CLMunsup,roc_auc,0,0.708434
Tox21,fp+CLMunsup,roc_auc,1,0.812808
Tox21,fp+CLMunsup,roc_auc,2,0.805671
Tox21,fp+CLMunsup,roc_auc,3,0.796361
Tox21,fp+CLMunsup,roc_auc,4,0.79239
Tox21,fp+CLMunsup,nef1,0,0.359707
Tox21,fp+CLMunsup,nef1,1,0.657067
Tox21,fp+CLMunsup,nef1,2,0.671275
Tox21,fp+CLMunsup,nef1,3,0.691346
Tox21,fp+CLMunsup,nef1,4,0.674939
Tox21,desc+CLMunsup,roc_auc,0,0.727681
Tox21,desc+CLMunsup,roc_auc,1,0.822897
Tox21,desc+CLMunsup,roc_auc,2,0.82705
Tox21,desc+CLMunsup,roc_auc,3,0.809475
Tox21,desc+CLMunsup,roc_auc,4,0.816064
Tox21,desc+CLMunsup,nef1,0,0.408578
Tox21,desc+CLMunsup,nef1,1,0.696047
Tox21,desc+CLMunsup,nef1,2,0.760367
Tox21,desc+CLMunsup,nef1,3,0.697619
Tox21,desc+CLMunsup,nef1,4,0.719429
Tox21,fp+desc+CLMunsup,roc_auc,0,0.732815
Tox21,fp+desc+CLMunsup,roc_auc,1,0.829706
Tox21,fp+desc+CLMunsup,roc_auc,2,0.824538
Tox21,fp+desc+CLMunsup,roc_auc,3,0.816189
Tox21,fp+desc+CLMunsup,roc_auc,4,0.822127
Tox21,fp+desc+CLMunsup,nef1,0,0.418376
Tox21,fp+desc+CLMunsup,nef1,1,0.745772
Tox21,fp+desc+CLMunsup,nef1,2,0.761846
Tox21,fp+desc+CLMunsup,nef1,3,0.731944
Tox21,fp+desc+CLMunsup,nef1,4,0.7337
HIV,CLMunsup,roc_auc,0,0.74659
HIV,CLMunsup,roc_auc,1,0.723949
HIV,CLMunsup,roc_auc,2,0.819821
HIV,CLMunsup,roc_auc,3,0.740874
HIV,CLMunsup,roc_auc,4,0.761696
