task,features,metric,mean,std
ESOL,CheMel,rmse,0.85,0.0596
ESOL,fp+CheMel,rmse,0.8581,0.0706
ESOL,desc+CheMel,rmse,0.751,0.0703
ESOL,fp+desc+CheMel,rmse,0.7369,0.0408
QM7,CheMel,rmse,197.2076,3.5657
QM7,fp+CheMel,rmse,196.4883,3.9471
QM7,desc+CheMel,rmse,189.6229,4.4051
QM7,fp+desc+CheMel,rmse,189.6952,4.3657
BBBP,CheMel,roc_auc,0.8903,0.0387
BBBP,CheMel,nef1,1.0,0.0
BBBP,fp+CheMel,roc_auc,0.8958,0.033
BBBP,fp+CheMel,nef1,0.96,0.08
BBBP,desc+CheMel,roc_auc,0.8987,0.0291
BBBP,desc+CheMel,nef1,1.0,0.0
BBBP,fp+desc+CheMel,roc_auc,0.9018,0.0318
BBBP,fp+desc+CheMel,nef1,1.0,0.0
BACE,CheMel,roc_auc,0.872,0.0168
BACE,CheMel,nef1,1.0,0.0
BACE,fp+CheMel,roc_auc,0.8783,0.0116
BACE,fp+CheMel,nef1,1.0,0.0
BACE,desc+CheMel,roc_auc,0.8801,0.0147
BACE,desc+CheMel,nef1,1.0,0.0
BACE,fp+desc+CheMel,roc_auc,0.8791,0.0112
BACE,fp+desc+CheMel,nef1,0.95,0.1
Tox21,CheMel,roc_auc,0.8102,0.0353
Tox21,CheMel,nef1,0.6909,0.1406
Tox21,fp+CheMel,roc_auc,0.81,0.0382
Tox21,fp+CheMel,nef1,0.7149,0.1235
Tox21,desc+CheMel,roc_auc,0.8136,0.0341
Tox21,desc+CheMel,nef1,0.705,0.1333
Tox21,fp+desc+CheMel,roc_auc,0.8163,0.0356
Tox21,fp+desc+CheMel,nef1,0.6988,0.142
HIV,CheMel,roc_auc,0.8047,0.0236
HIV,CheMel,nef1,0.7181,0.0598
HIV,fp+CheMel,roc_auc,0.8125,0.0224
HIV,fp+CheMel,nef1,0.7181,0.0537
HIV,desc+CheMel,roc_auc,0.8107,0.024
HIV,desc+CheMel,nef1,0.7084,0.0541
HIV,fp+desc+CheMel,roc_auc,0.8084,0.0195
HIV,fp+desc+CheMel,nef1,0.7012,0.0635
