task,features,metric,fold,value
ESOL,CheMel,rmse,0,0.823397
ESOL,CheMel,rmse,1,0.95309
ESOL,CheMel,rmse,2,0.878541
ESOL,CheMel,rmse,3,0.804057
ESOL,CheMel,rmse,4,0.790973
ESOL,fp+CheMel,rmse,0,0.837425
ESOL,fp+CheMel,rmse,1,0.98852
ESOL,fp+CheMel,rmse,2,0.855607
ESOL,fp+CheMel,rmse,3,0.834232
ESOL,fp+CheMel,rmse,4,0.774817
ESOL,desc+CheMel,rmse,0,0.722004
ESOL,desc+CheMel,rmse,1,0.885803
ESOL,desc+CheMel,rmse,2,0.682851
ESOL,desc+CheMel,rmse,3,0.745839
ESOL,desc+CheMel,rmse,4,0.718728
ESOL,fp+desc+CheMel,rmse,0,0.706157
ESOL,fp+desc+CheMel,rmse,1,0.815082
ESOL,fp+desc+CheMel,rmse,2,0.708546
ESOL,fp+desc+CheMel,rmse,3,0.739346
ESOL,fp+desc+CheMel,rmse,4,0.71516
QM7,CheMel,rmse,0,195.148865
QM7,CheMel,rmse,1,203.506516
QM7,CheMel,rmse,2,197.245392
QM7,CheMel,rmse,3,192.776886
QM7,CheMel,rmse,4,197.360291
QM7,fp+CheMel,rmse,0,193.379684
QM7,fp+CheMel,rmse,1,203.071976
QM7,fp+CheMel,rmse,2,198.484482
QM7,fp+CheMel,rmse,3,192.029526
QM7,fp+CheMel,rmse,4,195.475784
QM7,desc+CheMel,rmse,0,188.198044
QM7,desc+CheMel,rmse,1,196.550797
QM7,desc+CheMel,rmse,2,192.455597
QM7,desc+CheMel,rmse,3,184.000168
QM7,desc+CheMel,rmse,4,186.910095
QM7,fp+desc+CheMel,rmse,0,186.980072
QM7,fp+desc+CheMel,rmse,1,197.333542
QM7,fp+desc+CheMel,rmse,2,190.563919
QM7,fp+desc+CheMel,rmse,3,184.344421
QM7,fp+desc+CheMel,rmse,4,189.253906
BBBP,CheMel,roc_auc,0,0.844253
BBBP,CheMel,roc_auc,1,0.844837
BBBP,CheMel,roc_auc,2,0.936218
BBBP,CheMel,roc_auc,3,0.921867
BBBP,CheMel,roc_auc,4,0.904432
BBBP,CheMel,nef1,0,1.0
BBBP,CheMel,nef1,1,1.0
BBBP,CheMel,nef1,2,1.0
BBBP,CheMel,nef1,3,1.0
BBBP,CheMel,nef1,4,1.0
BBBP,fp+CheMel,roc_auc,0,0.865146
BBBP,fp+CheMel,roc_auc,1,0.856921
BBBP,fp+CheMel,roc_auc,2,0.944269
BBBP,fp+CheMel,roc_auc,3,0.920818
BBBP,fp+CheMel,roc_auc,4,0.891982
BBBP,fp+CheMel,nef1,0,1.0
BBBP,fp+CheMel,nef1,1,1.0
BBBP,fp+CheMel,nef1,2,1.0
BBBP,fp+CheMel,nef1,3,1.0
BBBP,fp+CheMel,nef1,4,0.8
BBBP,desc+CheMel,roc_auc,0,0.873685
BBBP,desc+CheMel,roc_auc,1,0.861889
BBBP,desc+CheMel,roc_auc,2,0.94375
BBBP,desc+CheMel,roc_auc,3,0.913164
