task,features,metric,mean,std
ESOL,fp,rmse,1.5113,0.3078
ESOL,desc,rmse,0.7495,0.0374
ESOL,fp+desc,rmse,0.7451,0.0558
QM7,fp,rmse,216.341,2.2477
QM7,desc,rmse,189.0796,4.5339
QM7,fp+desc,rmse,188.7155,3.232
BBBP,fp,roc_auc,0.8822,0.0191
BBBP,fp,nef1,0.96,0.08
BBBP,desc,roc_auc,0.9003,0.0293
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.9015,0.0256
BBBP,fp+desc,nef1,1.0,0.0
BACE,fp,roc_auc,0.8743,0.0189
BACE,fp,nef1,1.0,0.0
BACE,desc,roc_auc,0.8573,0.0121
BACE,desc,nef1,0.95,0.1
BACE,fp+desc,roc_auc,0.8679,0.0104
BACE,fp+desc,nef1,1.0,0.0
Tox21,fp,roc_auc,0.7684,0.0393
Tox21,fp,nef1,0.5968,0.1565
Tox21,desc,roc_auc,0.8145,0.0371
Tox21,desc,nef1,0.688,0.1184
Tox21,fp+desc,roc_auc,0.8159,0.0388
Tox21,fp+desc,nef1,0.7188,0.1192
HIV,fp,roc_auc,0.8033,0.0281
HIV,fp,nef1,0.7133,0.0811
HIV,desc,roc_auc,0.8089,0.0262
HIV,desc,nef1,0.7012,0.0621
HIV,fp+desc,roc_auc,0.8206,0.0276
HIV,fp+desc,nef1,0.7181,0.0603
