task,features,metric,fold,value
ESOL,fp,rmse,0,2.012422
ESOL,fp,rmse,1,1.708354
ESOL,fp,rmse,2,1.391228
ESOL,fp,rmse,3,1.18728
ESOL,fp,rmse,4,1.257339
ESOL,desc,rmse,0,0.739192
ESOL,desc,rmse,1,0.803553
ESOL,desc,rmse,2,0.702391
ESOL,desc,rmse,3,0.721482
ESOL,desc,rmse,4,0.780691
ESOL,fp+desc,rmse,0,0.685956
ESOL,fp+desc,rmse,1,0.845177
ESOL,fp+desc,rmse,2,0.717331
ESOL,fp+desc,rmse,3,0.713804
ESOL,fp+desc,rmse,4,0.763146
QM7,fp,rmse,0,215.067673
QM7,fp,rmse,1,220.564316
QM7,fp,rmse,2,216.365265
QM7,fp,rmse,3,215.684494
QM7,fp,rmse,4,214.023254
QM7,desc,rmse,0,187.169006
QM7,desc,rmse,1,196.396942
QM7,desc,rmse,2,191.455597
QM7,desc,rmse,3,182.990891
QM7,desc,rmse,4,187.385376
QM7,fp+desc,rmse,0,187.238083
QM7,fp+desc,rmse,1,194.535233
QM7,fp+desc,rmse,2,188.610641
QM7,fp+desc,rmse,3,184.700821
QM7,fp+desc,rmse,4,188.492859
BBBP,fp,roc_auc,0,0.856088
BBBP,fp,roc_auc,1,0.874872
BBBP,fp,roc_auc,2,0.914724
BBBP,fp,roc_auc,3,0.885972
BBBP,fp,roc_auc,4,0.8794
BBBP,fp,nef1,0,1.0
BBBP,fp,nef1,1,1.0
BBBP,fp,nef1,2,1.0
BBBP,fp,nef1,3,0.8
BBBP,fp,nef1,4,1.0
BBBP,desc,roc_auc,0,0.85599
BBBP,desc,roc_auc,1,0.890943
BBBP,desc,roc_auc,2,0.947029
BBBP,desc,roc_auc,3,0.898966
BBBP,desc,roc_auc,4,0.908444
BBBP,desc,nef1,0,1.0
BBBP,desc,nef1,1,1.0
BBBP,desc,nef1,2,1.0
BBBP,desc,nef1,3,1.0
BBBP,desc,nef1,4,1.0
BBBP,fp+desc,roc_auc,0,0.862906
BBBP,fp+desc,roc_auc,1,0.899121
BBBP,fp+desc,roc_auc,2,0.943052
BBBP,fp+desc,roc_auc,3,0.89588
BBBP,fp+desc,roc_auc,4,0.906661
BBBP,fp+desc,nef1,0,1.0
BBBP,fp+desc,nef1,1,1.0
BBBP,fp+desc,nef1,2,1.0
BBBP,fp+desc,nef1,3,1.0
BBBP,fp+desc,nef1,4,1.0
BACE,fp,roc_auc,0,0.876149
BACE,fp,roc_auc,1,0.856494
BACE,fp,roc_auc,2,0.8507
BACE,fp,roc_auc,3,0.902075
BACE,fp,roc_auc,4,0.886133
BACE,fp,nef1,0,1.0
BACE,fp,nef1,1,1.0
BACE,fp,nef1,2,1.0
BACE,fp,nef1,3,1.0
BACE,fp,nef1,4,1.0
BACE,desc,roc_auc,0,0.856449
BACE,desc,roc_auc,1,0.852966
BACE,desc,roc_auc,2,0.837534
BACE,desc,roc_auc,3,0.870733
BACE,desc,roc_auc,4,0.868959
BACE,desc,nef1,0,1.0
BACE,desc,nef1,1,0.75
BACE,desc,nef1,2,1.0
BACE,desc,nef1,3,1.0
BACE,desc,nef1,4,1.0
BACE,fp+desc,roc_auc,0,0.877178
BACE,fp+desc,roc_auc,1,0.863348
BACE,fp+desc,roc_auc,2,0.849481
BACE,fp+desc,roc_auc,3,0.875292
BACE,fp+desc,roc_auc,4,0.874449
BACE,fp+desc,nef1,0,1.0
BACE,fp+desc,nef1,1,1.0
BACE,fp+desc,nef1,2,1.0
BACE,fp+desc,nef1,3,1.0
BACE,fp+desc,nef1,4,1.0
Tox21,fp,roc_auc,0,0.68991
Tox21,fp,roc_auc,1,0.790785
Tox21,fp,roc_auc,2,0.790542
Tox21,fp,roc_auc,3,0.782572
Tox21,fp,roc_auc,4,0.787963
Tox21,fp,nef1,0,0.292155
Tox21,fp,nef1,1,0.711126
Tox21,fp,nef1,2,0.709492
Tox21,fp,nef1,3,0.657158
Tox21,fp,nef1,4,0.613965
Tox21,desc,roc_auc,0,0.742082
Tox21,desc,roc_auc,1,0.844083
Tox21,desc,roc_auc,2,0.838178
Tox21,desc,roc_auc,3,0.822955
Tox21,desc,roc_auc,4,0.82543
Tox21,desc,nef1,0,0.461538
Tox21,desc,nef1,1,0.765369
Tox21,desc,nef1,2,0.794693
Tox21,desc,nef1,3,0.692598
Tox21,desc,nef1,4,0.725962
Tox21,fp+desc,roc_auc,0,0.738833
Tox21,fp+desc,roc_auc,1,0.841512
Tox21,fp+desc,roc_auc,2,0.839386
Tox21,fp+desc,roc_auc,3,0.830227
Tox21,fp+desc,roc_auc,4,0.829709
Tox21,fp+desc,nef1,0,0.485409
Tox21,fp+desc,nef1,1,0.751267
Tox21,fp+desc,nef1,2,0.81049
Tox21,fp+desc,nef1,3,0.749588
Tox21,fp+desc,nef1,4,0.797039
