arm,task,task_type,fraction,pct,n_train,subsample_seed,head_seed,metric,split,value
chemeleon,BACE,classification,1.0,100,1210,0,0,roc_auc,test,0.8179347826086957
chemeleon,BACE,classification,1.0,100,1210,0,0,roc_auc,train,0.9778920164839002
chemeleon,BACE,classification,1.0,100,1210,0,0,nef1,test,0.5
chemeleon,BACE,classification,1.0,100,1210,0,1,roc_auc,test,0.823913043478261
chemeleon,BACE,classification,1.0,100,1210,0,1,roc_auc,train,0.9672920304533072
chemeleon,BACE,classification,1.0,100,1210,0,1,nef1,test,0.5
chemeleon,BACE,classification,1.0,100,1210,0,2,roc_auc,test,0.8447463768115941
chemeleon,BACE,classification,1.0,100,1210,0,2,roc_auc,train,0.9667081092407627
chemeleon,BACE,classification,1.0,100,1210,0,2,nef1,test,0.5
chemeleon,Tox21,classification,1.0,100,6258,0,0,roc_auc,test,0.7484005843121659
chemeleon,Tox21,classification,1.0,100,6258,0,0,roc_auc,train,0.9146711048759902
chemeleon,Tox21,classification,1.0,100,6258,0,0,nef1,test,0.5519841269841271
chemeleon,Tox21,classification,1.0,100,6258,0,1,roc_auc,test,0.7535112671179339
chemeleon,Tox21,classification,1.0,100,6258,0,1,roc_auc,train,0.9476616747609677
chemeleon,Tox21,classification,1.0,100,6258,0,1,nef1,test,0.557936507936508
chemeleon,Tox21,classification,1.0,100,6258,0,2,roc_auc,test,0.7529941027004129
chemeleon,Tox21,classification,1.0,100,6258,0,2,roc_auc,train,0.916540011232074
chemeleon,Tox21,classification,1.0,100,6258,0,2,nef1,test,0.5837301587301588
