arm,task,task_type,fraction,pct,n_train,subsample_seed,head_seed,metric,split,value
fp_desc,BACE,classification,1.0,100,1210,0,0,roc_auc,test,0.776268115942029
fp_desc,BACE,classification,1.0,100,1210,0,0,roc_auc,train,0.9621037926940003
fp_desc,BACE,classification,1.0,100,1210,0,0,nef1,test,1.0
fp_desc,BACE,classification,1.0,100,1210,0,1,roc_auc,test,0.7902173913043478
fp_desc,BACE,classification,1.0,100,1210,0,1,roc_auc,train,0.9692519382552212
fp_desc,BACE,classification,1.0,100,1210,0,1,nef1,test,1.0
fp_desc,BACE,classification,1.0,100,1210,0,2,roc_auc,test,0.7842391304347827
fp_desc,BACE,classification,1.0,100,1210,0,2,roc_auc,train,0.9662555004540057
fp_desc,BACE,classification,1.0,100,1210,0,2,nef1,test,1.0
fp_desc,Tox21,classification,1.0,100,6258,0,0,roc_auc,test,0.7622946809726359
fp_desc,Tox21,classification,1.0,100,6258,0,0,roc_auc,train,0.988956438489082
fp_desc,Tox21,classification,1.0,100,6258,0,0,nef1,test,0.65
fp_desc,Tox21,classification,1.0,100,6258,0,1,roc_auc,test,0.7643064803553025
fp_desc,Tox21,classification,1.0,100,6258,0,1,roc_auc,train,0.9889418768403844
fp_desc,Tox21,classification,1.0,100,6258,0,1,nef1,test,0.6030753968253968
fp_desc,Tox21,classification,1.0,100,6258,0,2,roc_auc,test,0.7648230124664109
fp_desc,Tox21,classification,1.0,100,6258,0,2,roc_auc,train,0.984176391969075
fp_desc,Tox21,classification,1.0,100,6258,0,2,nef1,test,0.648015873015873
fp_desc,QM7,regression,1.0,100,5470,0,0,rmse,test,193.20664978027344
fp_desc,QM7,regression,1.0,100,5470,0,0,rmse,train,182.80210876464844
fp_desc,QM7,regression,1.0,100,5470,0,1,rmse,test,194.6810760498047
fp_desc,QM7,regression,1.0,100,5470,0,1,rmse,train,174.0781707763672
fp_desc,QM7,regression,1.0,100,5470,0,2,rmse,test,194.5709991455078
fp_desc,QM7,regression,1.0,100,5470,0,2,rmse,train,181.37570190429688
fp_desc,HIV,classification,1.0,100,32896,0,0,roc_auc,test,0.7646775876057643
fp_desc,HIV,classification,1.0,100,32896,0,0,roc_auc,train,0.9962024912145712
fp_desc,HIV,classification,1.0,100,32896,0,0,nef1,test,0.6190476190476191
fp_desc,HIV,classification,1.0,100,32896,0,1,roc_auc,test,0.7559537147934938
fp_desc,HIV,classification,1.0,100,32896,0,1,roc_auc,train,0.9926278993555712
fp_desc,HIV,classification,1.0,100,32896,0,1,nef1,test,0.6190476190476191
fp_desc,HIV,classification,1.0,100,32896,0,2,roc_auc,test,0.7621450372831589
fp_desc,HIV,classification,1.0,100,32896,0,2,roc_auc,train,0.9990071019651143
fp_desc,HIV,classification,1.0,100,32896,0,2,nef1,test,0.6190476190476191
