arm,task,task_type,fraction,pct,n_train,subsample_seed,head_seed,metric,split,value
random,ESOL,regression,0.05,5,45,0,0,rmse,test,1.6091023683547974
random,ESOL,regression,0.05,5,45,0,0,rmse,train,0.45969802141189575
random,ESOL,regression,0.05,5,45,0,1,rmse,test,1.580008625984192
random,ESOL,regression,0.05,5,45,0,1,rmse,train,0.4360961318016052
random,ESOL,regression,0.05,5,45,0,2,rmse,test,1.6345559358596802
random,ESOL,regression,0.05,5,45,0,2,rmse,train,0.5720222592353821
random,ESOL,regression,0.05,5,45,1,0,rmse,test,1.335216760635376
random,ESOL,regression,0.05,5,45,1,0,rmse,train,0.47364845871925354
random,ESOL,regression,0.05,5,45,1,1,rmse,test,1.4062591791152954
random,ESOL,regression,0.05,5,45,1,1,rmse,train,0.3269652724266052
random,ESOL,regression,0.05,5,45,1,2,rmse,test,1.4231196641921997
random,ESOL,regression,0.05,5,45,1,2,rmse,train,0.3517937660217285
random,ESOL,regression,0.05,5,45,2,0,rmse,test,1.7432628870010376
random,ESOL,regression,0.05,5,45,2,0,rmse,train,0.9056476354598999
random,ESOL,regression,0.05,5,45,2,1,rmse,test,1.776490569114685
random,ESOL,regression,0.05,5,45,2,1,rmse,train,0.8960188627243042
random,ESOL,regression,0.05,5,45,2,2,rmse,test,1.8334254026412964
random,ESOL,regression,0.05,5,45,2,2,rmse,train,0.8911111354827881
random,ESOL,regression,0.1,10,90,0,0,rmse,test,1.2169263362884521
random,ESOL,regression,0.1,10,90,0,0,rmse,train,0.6834465861320496
random,ESOL,regression,0.1,10,90,0,1,rmse,test,1.2245583534240723
random,ESOL,regression,0.1,10,90,0,1,rmse,train,0.6439486742019653
random,ESOL,regression,0.1,10,90,0,2,rmse,test,1.1878933906555176
random,ESOL,regression,0.1,10,90,0,2,rmse,train,0.7448225021362305
random,ESOL,regression,0.1,10,90,1,0,rmse,test,1.2990667819976807
random,ESOL,regression,0.1,10,90,1,0,rmse,train,0.5284897685050964
random,ESOL,regression,0.1,10,90,1,1,rmse,test,1.369211196899414
random,ESOL,regression,0.1,10,90,1,1,rmse,train,0.6300893425941467
random,ESOL,regression,0.1,10,90,1,2,rmse,test,1.3379355669021606
random,ESOL,regression,0.1,10,90,1,2,rmse,train,0.5633201003074646
random,ESOL,regression,0.1,10,90,2,0,rmse,test,1.4988622665405273
random,ESOL,regression,0.1,10,90,2,0,rmse,train,0.42312857508659363
random,ESOL,regression,0.1,10,90,2,1,rmse,test,1.525314450263977
random,ESOL,regression,0.1,10,90,2,1,rmse,train,0.3717515170574188
random,ESOL,regression,0.1,10,90,2,2,rmse,test,1.417032241821289
random,ESOL,regression,0.1,10,90,2,2,rmse,train,0.3729079067707062
random,ESOL,regression,0.25,25,226,0,0,rmse,test,1.355205774307251
random,ESOL,regression,0.25,25,226,0,0,rmse,train,0.49619632959365845
random,ESOL,regression,0.25,25,226,0,1,rmse,test,1.3190124034881592
random,ESOL,regression,0.25,25,226,0,1,rmse,train,0.6262312531471252
random,ESOL,regression,0.25,25,226,0,2,rmse,test,1.3084441423416138
random,ESOL,regression,0.25,25,226,0,2,rmse,train,0.6082178354263306
random,ESOL,regression,0.25,25,226,1,0,rmse,test,1.2594709396362305
random,ESOL,regression,0.25,25,226,1,0,rmse,train,0.5311703085899353
random,ESOL,regression,0.25,25,226,1,1,rmse,test,1.264362096786499
random,ESOL,regression,0.25,25,226,1,1,rmse,train,0.5322961807250977
random,ESOL,regression,0.25,25,226,1,2,rmse,test,1.2866984605789185
random,ESOL,regression,0.25,25,226,1,2,rmse,train,0.4558992385864258
random,ESOL,regression,0.25,25,226,2,0,rmse,test,1.3681046962738037
random,ESOL,regression,0.25,25,226,2,0,rmse,train,0.6023546457290649
random,ESOL,regression,0.25,25,226,2,1,rmse,test,1.4196672439575195
random,ESOL,regression,0.25,25,226,2,1,rmse,train,0.5502772927284241
random,ESOL,regression,0.25,25,226,2,2,rmse,test,1.4260936975479126
random,ESOL,regression,0.25,25,226,2,2,rmse,train,0.6504323482513428
random,ESOL,regression,0.5,50,451,0,0,rmse,test,1.3912025690078735
random,ESOL,regression,0.5,50,451,0,0,rmse,train,0.9437288045883179
random,ESOL,regression,0.5,50,451,0,1,rmse,test,1.3254355192184448
random,ESOL,regression,0.5,50,451,0,1,rmse,train,0.6588242650032043
random,ESOL,regression,0.5,50,451,0,2,rmse,test,1.3534221649169922
random,ESOL,regression,0.5,50,451,0,2,rmse,train,0.8000618815422058
random,ESOL,regression,0.5,50,451,1,0,rmse,test,1.2068740129470825
random,ESOL,regression,0.5,50,451,1,0,rmse,train,0.8244681358337402
random,ESOL,regression,0.5,50,451,1,1,rmse,test,1.3265693187713623
random,ESOL,regression,0.5,50,451,1,1,rmse,train,0.7231419086456299
random,ESOL,regression,0.5,50,451,1,2,rmse,test,1.217423439025879
random,ESOL,regression,0.5,50,451,1,2,rmse,train,0.5940826535224915
random,ESOL,regression,0.5,50,451,2,0,rmse,test,1.418034315109253
random,ESOL,regression,0.5,50,451,2,0,rmse,train,1.0135104656219482
random,ESOL,regression,0.5,50,451,2,1,rmse,test,1.3370352983474731
random,ESOL,regression,0.5,50,451,2,1,rmse,train,0.8294104337692261
random,ESOL,regression,0.5,50,451,2,2,rmse,test,1.3360779285430908
random,ESOL,regression,0.5,50,451,2,2,rmse,train,0.7969402074813843
random,ESOL,regression,1.0,100,902,0,0,rmse,test,1.2857201099395752
random,ESOL,regression,1.0,100,902,0,0,rmse,train,0.9892145991325378
random,ESOL,regression,1.0,100,902,0,1,rmse,test,1.348770022392273
random,ESOL,regression,1.0,100,902,0,1,rmse,train,0.9431263208389282
random,ESOL,regression,1.0,100,902,0,2,rmse,test,1.3233903646469116
random,ESOL,regression,1.0,100,902,0,2,rmse,train,0.9480489492416382
random,Lipophilicity,regression,0.05,5,168,0,0,rmse,test,1.117120385169983
random,Lipophilicity,regression,0.05,5,168,0,0,rmse,train,0.8538751006126404
random,Lipophilicity,regression,0.05,5,168,0,1,rmse,test,1.1418856382369995
random,Lipophilicity,regression,0.05,5,168,0,1,rmse,train,0.5369209051132202
random,Lipophilicity,regression,0.05,5,168,0,2,rmse,test,1.14306640625
random,Lipophilicity,regression,0.05,5,168,0,2,rmse,train,0.4103694260120392
random,Lipophilicity,regression,0.05,5,168,1,0,rmse,test,1.0621898174285889
random,Lipophilicity,regression,0.05,5,168,1,0,rmse,train,0.8488684892654419
random,Lipophilicity,regression,0.05,5,168,1,1,rmse,test,1.1234532594680786
random,Lipophilicity,regression,0.05,5,168,1,1,rmse,train,0.7026187777519226
random,Lipophilicity,regression,0.05,5,168,1,2,rmse,test,1.1446434259414673
random,Lipophilicity,regression,0.05,5,168,1,2,rmse,train,0.7834752798080444
random,Lipophilicity,regression,0.05,5,168,2,0,rmse,test,1.0667669773101807
random,Lipophilicity,regression,0.05,5,168,2,0,rmse,train,0.7398270964622498
random,Lipophilicity,regression,0.05,5,168,2,1,rmse,test,1.0924265384674072
random,Lipophilicity,regression,0.05,5,168,2,1,rmse,train,0.7319545745849609
random,Lipophilicity,regression,0.05,5,168,2,2,rmse,test,1.0735650062561035
random,Lipophilicity,regression,0.05,5,168,2,2,rmse,train,0.6481518149375916
random,Lipophilicity,regression,0.1,10,336,0,0,rmse,test,1.0849308967590332
random,Lipophilicity,regression,0.1,10,336,0,0,rmse,train,0.8429452776908875
random,Lipophilicity,regression,0.1,10,336,0,1,rmse,test,1.0667762756347656
random,Lipophilicity,regression,0.1,10,336,0,1,rmse,train,0.7623661756515503
random,Lipophilicity,regression,0.1,10,336,0,2,rmse,test,1.091966986656189
random,Lipophilicity,regression,0.1,10,336,0,2,rmse,train,0.8174189329147339
random,Lipophilicity,regression,0.1,10,336,1,0,rmse,test,1.1251732110977173
